day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss;S;K;TTE_days;T_years;IV;Delta;Gamma;Vega;Theta;Rho
1;0;VEV_6000;0;22;;;;;1;22;;;;;0.5;0.0;5245.0;6000.0;7.0;0.028;0.31467966541951436;0.005740812389824779;5.919949431893835e-05;14.349464466063955;-80.63365494875386;0.8290957075696662
1;0;VEV_5000;248;19;;;;;254;6;255.0;13.0;;;251.0;0.0;5245.0;5000.0;7.0;0.028;0.20090958051656846;0.9250311437333568;0.0008025346196042011;124.19766740260455;-445.5803796248852;128.82207376868112
1;0;VEV_6500;0;18;;;;;1;18;;;;;0.5;0.0;5245.0;6500.0;7.0;0.028;0.4756630572474314;0.003959780593492703;2.8122647477240154e-05;10.303971344311847;-87.52175913259464;0.5675333779603386
1;0;VEV_5300;46;22;;;;;48;22;;;;;47.0;0.0;5245.0;5300.0;7.0;0.028;0.20213928657061653;0.38533752235993735;0.002155183976132311;335.57074676166144;-1211.2862740066298;55.2746685337804
1;0;VEV_5400;16;22;;;;;17;22;;;;;16.5;0.0;5245.0;5400.0;7.0;0.028;0.19000862475898223;0.1840333958531824;0.0015954518783772044;233.51029940285284;-792.3030510106117;26.565144514996785
1;0;VEV_4000;1235;15;1232.0;27.0;;;1255;15;1258.0;27.0;;;1245.0;0.0;5245.0;4000.0;7.0;0.028;0.0;1.0;0.0;0.0;0.0;0.0
1;0;VEV_5100;163;19;;;;;167;6;168.0;13.0;;;165.0;0.0;5245.0;5100.0;7.0;0.028;0.20222247147653497;0.8010589108059722;0.001572378977908566;244.926433798919;-884.4576566562737;113.02351164096449
1;0;VEV_5200;94;19;;;;;97;19;;;;;95.5;0.0;5245.0;5200.0;7.0;0.028;0.20290095202181652;0.6067142683679678;0.002159640980451643;337.53177327272124;-1222.9556809758406;86.42805745252326
1;0;VEV_5500;7;22;;;;;8;22;;;;;7.5;0.0;5245.0;5500.0;7.0;0.028;0.20858991607802269;0.08969188416324325;0.0008847817238577115;142.16034507800256;-529.5216865972019;12.962150108213788
1;0;VEV_4500;737;6;735.0;13.0;;;753;6;755.0;13.0;;;745.0;0.0;5245.0;4500.0;7.0;0.028;0.0;1.0;0.0;0.0;0.0;0.0
1;100;VEV_5000;249;6;248.0;19.0;;;255;6;256.0;19.0;;;252.0;0.0;5245.5;5000.0;6.9999;0.0279996;0.20516431980426608;0.921228685202602;0.0008159430445248174;128.9695810842335;-472.50597113151457;128.24670978841968
