day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
3;0;VELVETFRUIT_EXTRACT;5293;64;;;;;5298;22;5299;42;;;5295.5;0.0
3;0;VEV_4000;1285;9;1282;30;;;1307;9;1309;30;;;1296.0;0.0
3;0;VEV_5100;199;21;;;;;204;7;205;14;;;201.5;0.0
3;0;VEV_5200;118;7;117;14;;;121;21;;;;;119.5;0.0
3;0;VEV_5000;293;21;;;;;300;7;301;14;;;296.5;0.0
3;0;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
3;0;VEV_5500;6;21;;;;;8;21;;;;;7.0;0.0
3;0;HYDROGEL_PACK;10000;10;9998;25;;;10016;10;10019;25;;;10008.0;0.0
3;0;VEV_4500;787;7;785;14;;;804;7;806;14;;;795.5;0.0
3;0;VEV_6500;0;11;;;;;1;11;;;;;0.5;0.0
3;0;VEV_5300;57;21;;;;;59;7;60;14;;;58.0;0.0
3;0;VEV_5400;20;21;;;;;21;21;;;;;20.5;0.0
3;100;VELVETFRUIT_EXTRACT;5294;16;5293;37;;;5299;53;;;;;5296.5;0.0
3;100;HYDROGEL_PACK;10000;11;9997;28;;;10016;11;10018;28;;;10008.0;0.0
3;100;VEV_4000;1296;4;1285;8;1283;20;1307;8;1310;20;;;1301.5;0.0
3;100;VEV_5100;202;4;200;7;199;20;205;27;;;;;203.5;0.0
3;100;VEV_5200;119;4;118;27;;;121;7;122;20;;;120.0;0.0
3;100;VEV_5000;297;4;294;7;293;20;301;7;302;20;;;299.0;0.0
3;100;VEV_6000;0;22;;;;;1;18;;;;;0.5;0.0
3;100;VEV_5500;7;4;6;18;;;8;18;;;;;7.5;0.0
3;100;VEV_4500;796;4;788;7;786;20;805;7;807;20;;;800.5;0.0
3;100;VEV_6500;0;18;;;;;1;14;;;;;0.5;0.0
3;100;VEV_5300;58;4;57;18;;;60;18;;;;;59.0;0.0
3;100;VEV_5400;20;22;;;;;21;18;;;;;20.5;0.0
3;200;VEV_4000;1286;14;1283;25;;;1307;14;1310;25;;;1296.5;0.0
3;200;VEV_5100;200;6;199;14;;;205;6;206;14;;;202.5;0.0
3;200;VEV_5200;118;20;;;;;122;20;;;;;120.0;0.0
3;200;VEV_5000;294;20;;;;;301;6;302;14;;;297.5;0.0
3;200;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
3;200;VEV_5500;7;7;6;14;;;8;21;;;;;7.5;0.0
3;200;HYDROGEL_PACK;10000;10;9997;20;;;10016;10;10018;20;;;10008.0;0.0
3;200;VEV_4500;788;6;786;14;;;805;6;807;14;;;796.5;0.0
3;200;VEV_6500;0;14;;;;;1;14;;;;;0.5;0.0
3;200;VEV_5300;57;21;;;;;60;21;;;;;58.5;0.0
3;200;VEV_5400;20;21;;;;;21;21;;;;;20.5;0.0
3;200;VELVETFRUIT_EXTRACT;5294;20;5293;42;;;5299;20;5300;42;;;5296.5;0.0
3;300;VEV_5500;6;27;;;;;8;27;;;;;7.0;0.0
3;300;VEV_4500;788;7;786;18;;;805;7;807;18;;;796.5;0.0
3;300;VEV_6500;0;19;;;;;1;19;;;;;0.5;0.0
3;300;VEV_5300;57;27;;;;;60;27;;;;;58.5;0.0
3;300;VEV_5400;20;27;;;;;21;27;;;;;20.5;0.0
3;300;VELVETFRUIT_EXTRACT;5294;23;5293;42;;;5299;23;5300;42;;;5296.5;0.0
3;300;HYDROGEL_PACK;9996;10;9994;20;;;10012;10;10015;20;;;10004.0;0.0
3;300;VEV_4000;1285;13;1283;22;;;1307;13;1310;22;;;1296.0;0.0
3;300;VEV_5100;200;7;199;18;;;205;25;;;;;202.5;0.0
3;300;VEV_5200;118;25;;;;;122;25;;;;;120.0;0.0
3;300;VEV_5000;294;7;293;18;;;301;7;302;18;;;297.5;0.0
3;300;VEV_6000;0;27;;;;;1;27;;;;;0.5;0.0
3;400;VELVETFRUIT_EXTRACT;5293;15;5292;47;;;5298;15;5299;47;;;5295.5;0.0
3;400;VEV_4000;1285;12;1282;21;;;1306;12;1309;21;;;1295.5;0.0
3;400;VEV_5200;117;24;;;;;121;24;;;;;119.0;0.0
