timestamp;buyer;seller;symbol;currency;price;quantity
0;;TAKER;ASH_COATED_OSMIUM;XIREC;10011;10
0;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12006;9
100;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11994;8
100;TAKER;;ASH_COATED_OSMIUM;XIREC;9995;6
200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12007;11
200;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;7
300;TAKER;;ASH_COATED_OSMIUM;XIREC;10000;11
800;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;11
1000;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;16
1200;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11995;6
1500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11995;16
1600;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;17
1600;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11995;10
1900;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;16
2100;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;13
2500;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12009;14
2600;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;19
2600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12009;14
2700;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;11
2800;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11996;8
3100;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;14
3100;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12010;12
3300;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11997;9
3400;TAKER;;ASH_COATED_OSMIUM;XIREC;10003;6
3500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11997;4
3500;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;11
3700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11997;10
3800;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;14
3900;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11997;17
4200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12011;8
4400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11998;11
4400;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;13
4500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11998;5
4700;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;12
4700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11998;5
4800;TAKER;;ASH_COATED_OSMIUM;XIREC;9998;11
4900;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;10
5100;;TAKER;ASH_COATED_OSMIUM;XIREC;9998;7
5300;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11999;13
5400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11999;15
5500;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;13
5500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11999;13
5600;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;10
5800;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;11999;10
6000;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;17
6100;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;10
6100;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12009;8
6400;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;9
6500;;TAKER;ASH_COATED_OSMIUM;XIREC;9998;8
6700;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;18
7100;TAKER;;ASH_COATED_OSMIUM;XIREC;10002;2
7200;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12001;11
7500;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;16
8000;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12001;10
8000;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;15
8200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12015;13
8400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12005;2
8400;TAKER;;ASH_COATED_OSMIUM;XIREC;9998;8
8500;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;11
8900;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12002;13
9000;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12016;13
9200;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;11
9300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12016;9
9400;;TAKER;ASH_COATED_OSMIUM;XIREC;10002;11
9400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12013;3
9500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12003;15
9500;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;10
9600;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;8
10100;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12017;5
10300;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;13
10900;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12008;2
11200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12018;14
11400;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;15
11500;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12018;13
11600;;TAKER;ASH_COATED_OSMIUM;XIREC;10010;9
11700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12005;7
12100;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;8
12200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12019;5
12200;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;11
12400;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12019;7
12400;;TAKER;ASH_COATED_OSMIUM;XIREC;10011;16
12500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12006;11
12600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12019;13
12700;;TAKER;ASH_COATED_OSMIUM;XIREC;10011;15
13000;TAKER;;ASH_COATED_OSMIUM;XIREC;9995;18
13100;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12020;12
13200;;TAKER;ASH_COATED_OSMIUM;XIREC;10012;17
13300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12020;7
13600;TAKER;;ASH_COATED_OSMIUM;XIREC;9995;14
13800;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12007;8
14200;TAKER;;ASH_COATED_OSMIUM;XIREC;9999;9
14300;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12017;6
14400;;TAKER;ASH_COATED_OSMIUM;XIREC;10003;6
14700;;TAKER;ASH_COATED_OSMIUM;XIREC;10010;10
15100;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12022;12
15200;;TAKER;ASH_COATED_OSMIUM;XIREC;10010;6
15500;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;15
15700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12009;7
15800;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;14
15800;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12013;1
15900;;TAKER;ASH_COATED_OSMIUM;XIREC;10003;11
16000;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;9
16000;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12023;15
16100;;TAKER;ASH_COATED_OSMIUM;XIREC;10003;11
16200;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;12
16300;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;10
16400;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;13
16500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12010;16
16700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12010;14
16800;TAKER;;ASH_COATED_OSMIUM;XIREC;10002;6
17000;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12010;13
17000;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;15
17100;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12011;11
18200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12025;7
18200;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;9
18300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12025;12
18700;;TAKER;ASH_COATED_OSMIUM;XIREC;10003;12
18700;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12021;4
18900;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12012;16
18900;;TAKER;ASH_COATED_OSMIUM;XIREC;10010;10
19100;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;10
19300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12015;3
19300;TAKER;;ASH_COATED_OSMIUM;XIREC;10003;3
19400;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12026;7
19500;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;8
19700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12013;6
19700;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;15
20100;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;14
20200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12016;4
20300;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;10
20400;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12027;14
20500;;TAKER;ASH_COATED_OSMIUM;XIREC;10002;23
20700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12014;4
20800;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12027;13
21000;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12014;7
21100;TAKER;;ASH_COATED_OSMIUM;XIREC;9998;10
21400;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;15
21600;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;6
21700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12015;4
21800;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;11
22000;TAKER;;ASH_COATED_OSMIUM;XIREC;10003;9
22300;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;15
22400;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;13
22600;;TAKER;ASH_COATED_OSMIUM;XIREC;10010;10
22800;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12029;14
22800;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;14
23000;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;8
23400;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;14
23500;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;20
23500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12017;6
23700;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;5
24100;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;10
24300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12031;10
24700;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12031;1
25100;TAKER;;ASH_COATED_OSMIUM;XIREC;9999;8
25200;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12019;8
25400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12019;10
25800;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;17
26200;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;13
26400;;TAKER;ASH_COATED_OSMIUM;XIREC;9999;4
26500;;TAKER;ASH_COATED_OSMIUM;XIREC;9999;8
26700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12020;11
26800;;TAKER;ASH_COATED_OSMIUM;XIREC;10010;10
27000;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;16
27300;TAKER;;ASH_COATED_OSMIUM;XIREC;10002;5
27300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12034;11
27600;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12021;9
27700;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12030;5
27900;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12034;14
28200;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;13
28200;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12022;11
28400;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12035;8
28600;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;14
28600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12035;8
28700;;TAKER;ASH_COATED_OSMIUM;XIREC;10010;8
28900;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12022;14
29000;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;13
29200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12036;14
29300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12025;6
29500;TAKER;;ASH_COATED_OSMIUM;XIREC;9998;18
29700;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;7
29800;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;12
30000;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12023;9
30400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12024;6
30500;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;17
30800;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;19
30900;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12037;15
31000;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12024;8
31000;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;14
31100;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;10
31200;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12025;7
31400;TAKER;;ASH_COATED_OSMIUM;XIREC;9998;17
31600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12038;8
31700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12035;8
32100;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;13
32200;TAKER;;ASH_COATED_OSMIUM;XIREC;9999;11
32300;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12026;12
32500;;TAKER;ASH_COATED_OSMIUM;XIREC;10002;12
32500;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12039;5
32600;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12036;5
32600;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;14
32700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12026;12
32900;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;10
32900;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12039;8
33000;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12026;9
33100;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;12
33600;TAKER;;ASH_COATED_OSMIUM;XIREC;9999;10
33700;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;12
34000;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12027;15
34100;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12028;5
34200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12041;13
34400;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;16
34600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12041;7
34600;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;14
34800;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12041;11
35400;TAKER;;ASH_COATED_OSMIUM;XIREC;9994;15
35500;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;16
35600;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12029;11
35800;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12042;13
36100;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12030;7
36300;;TAKER;ASH_COATED_OSMIUM;XIREC;10002;8
36400;;TAKER;ASH_COATED_OSMIUM;XIREC;10002;7
36400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12030;15
36500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12030;7
36600;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;19
36700;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;10
36900;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12030;4
36900;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;11
37000;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;8
37100;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;9
37200;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12031;13
37300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12044;11
37600;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;13
37600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12044;14
37700;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;9
37800;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12044;7
38000;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12031;4
38200;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12032;9
38300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12045;14
38700;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12035;1
38800;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12032;15
38800;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;13
38900;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;9
39000;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;9
39400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12033;11
39500;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;19
39700;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12033;6
39800;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12036;6
39900;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12046;16
40100;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12034;13
40400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12034;6
40600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12043;13
40700;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;19
41400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12035;10
41500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12035;15
41600;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12035;10
41600;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;12
41800;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;10
42200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12049;14
42400;;TAKER;ASH_COATED_OSMIUM;XIREC;10002;7
42900;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12036;12
43100;TAKER;;ASH_COATED_OSMIUM;XIREC;9993;13
43100;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12037;9
43300;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12037;4
43400;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12037;8
43600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12039;5
44100;;TAKER;ASH_COATED_OSMIUM;XIREC;10009;8
44100;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12038;14
44400;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12051;17
44800;;TAKER;ASH_COATED_OSMIUM;XIREC;9999;10
45000;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;14
45000;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12038;11
45200;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;6
45300;;TAKER;ASH_COATED_OSMIUM;XIREC;9998;8
45600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12052;14
45600;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;8
45700;TAKER;;ASH_COATED_OSMIUM;XIREC;9992;9
46000;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12039;13
46000;;TAKER;ASH_COATED_OSMIUM;XIREC;10001;9
46100;;TAKER;ASH_COATED_OSMIUM;XIREC;10007;13
46100;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12040;11
46200;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12040;5
46300;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12040;11
46300;;TAKER;ASH_COATED_OSMIUM;XIREC;10008;14
46600;TAKER;;ASH_COATED_OSMIUM;XIREC;9991;17
46700;;TAKER;ASH_COATED_OSMIUM;XIREC;10007;15
46800;;TAKER;ASH_COATED_OSMIUM;XIREC;10007;12
46900;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12044;10
47200;;TAKER;ASH_COATED_OSMIUM;XIREC;10001;13
47200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12054;7
47400;;TAKER;ASH_COATED_OSMIUM;XIREC;10007;11
47500;;TAKER;ASH_COATED_OSMIUM;XIREC;10006;9
47600;TAKER;;ASH_COATED_OSMIUM;XIREC;9990;10
47700;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12044;7
47700;;TAKER;ASH_COATED_OSMIUM;XIREC;10000;6
48100;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12042;14
48300;;TAKER;ASH_COATED_OSMIUM;XIREC;10006;5
48400;TAKER;;ASH_COATED_OSMIUM;XIREC;9990;19
48500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12042;14
48800;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12051;9
48900;;TAKER;ASH_COATED_OSMIUM;XIREC;10007;7
48900;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12046;3
49000;TAKER;;ASH_COATED_OSMIUM;XIREC;9991;16
49100;TAKER;;ASH_COATED_OSMIUM;XIREC;10000;3
49300;TAKER;;ASH_COATED_OSMIUM;XIREC;9990;17
49800;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12046;6
49800;TAKER;;ASH_COATED_OSMIUM;XIREC;9991;5
50000;;TAKER;ASH_COATED_OSMIUM;XIREC;10007;12
50200;;TAKER;ASH_COATED_OSMIUM;XIREC;10007;16
50600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12057;4
50600;;TAKER;ASH_COATED_OSMIUM;XIREC;10006;8
50800;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12044;14
51200;TAKER;;ASH_COATED_OSMIUM;XIREC;9991;17
51300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12058;10
51300;;TAKER;ASH_COATED_OSMIUM;XIREC;10007;10
51500;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12045;9
51600;;TAKER;ASH_COATED_OSMIUM;XIREC;10007;9
51700;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12048;4
51900;;TAKER;ASH_COATED_OSMIUM;XIREC;10007;15
51900;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12058;9
52400;;TAKER;ASH_COATED_OSMIUM;XIREC;10000;12
52500;TAKER;;ASH_COATED_OSMIUM;XIREC;9990;10
52600;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12059;17
52600;;TAKER;ASH_COATED_OSMIUM;XIREC;10006;16
52800;;TAKER;ASH_COATED_OSMIUM;XIREC;10005;12
53000;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12060;13
53100;TAKER;;ASH_COATED_OSMIUM;XIREC;9989;6
53300;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12060;13
53300;;TAKER;ASH_COATED_OSMIUM;XIREC;10006;7
53400;;TAKER;ASH_COATED_OSMIUM;XIREC;10006;16
53600;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12047;16
53700;TAKER;;ASH_COATED_OSMIUM;XIREC;9999;16
54200;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12048;13
54400;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12061;6
54500;TAKER;;ASH_COATED_OSMIUM;XIREC;9988;16
54600;;TAKER;ASH_COATED_OSMIUM;XIREC;10004;19
54900;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12057;17
54900;TAKER;;ASH_COATED_OSMIUM;XIREC;9988;9
55000;;TAKER;ASH_COATED_OSMIUM;XIREC;10004;10
55200;;TAKER;INTARIAN_PEPPER_ROOT;XIREC;12062;15
55700;TAKER;;ASH_COATED_OSMIUM;XIREC;9988;11
55800;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12049;16
56000;;TAKER;ASH_COATED_OSMIUM;XIREC;9997;9
56100;;TAKER;ASH_COATED_OSMIUM;XIREC;10004;16
56200;TAKER;;ASH_COATED_OSMIUM;XIREC;9988;17
56400;TAKER;;ASH_COATED_OSMIUM;XIREC;9997;1
56600;TAKER;;INTARIAN_PEPPER_ROOT;XIREC;12050;7
