day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;VEV_5200;107;21;;;;;111;21;;;;;109.0;0.0
0;0;VEV_5300;57;20;;;;;59;20;;;;;58.0;0.0
0;0;VEV_5000;272;7;271;14;;;278;7;279;14;;;275.0;0.0
0;0;VEV_4000;1262;15;1259;27;;;1283;15;1285;27;;;1272.5;0.0
0;0;VEV_5100;182;7;181;14;;;186;7;187;14;;;184.0;0.0
0;0;VEV_4500;764;7;762;14;;;780;7;782;14;;;772.0;0.0
0;0;VEV_5400;21;20;;;;;23;20;;;;;22.0;0.0
0;0;VEV_6500;5;18;;;;;6;18;;;;;5.5;0.0
0;0;VEV_5500;11;20;;;;;12;20;;;;;11.5;0.0
0;0;HYDROGEL_PACK;10008;13;10006;21;;;10024;13;10027;21;;;10016.0;0.0
0;0;VELVETFRUIT_EXTRACT;5270;25;5269;35;;;5275;60;;;;;5272.5;0.0
0;0;VEV_6000;5;20;;;;;6;20;;;;;5.5;0.0
0;100;VEV_4500;762;10;761;14;;;779;10;781;14;;;770.5;0.0
0;100;VEV_5400;21;25;;;;;23;25;;;;;22.0;0.0
0;100;VEV_6500;5;17;;;;;6;17;;;;;5.5;0.0
0;100;VEV_5500;11;25;;;;;12;25;;;;;11.5;0.0
0;100;VELVETFRUIT_EXTRACT;5268;69;;;;;5273;22;5274;47;;;5270.5;0.0
0;100;VEV_6000;5;25;;;;;6;25;;;;;5.5;0.0
0;100;VEV_5200;106;24;;;;;110;24;;;;;108.0;0.0
0;100;VEV_5300;56;25;;;;;58;6;59;19;;;57.0;0.0
0;100;VEV_5000;270;24;;;;;277;24;;;;;273.5;0.0
0;100;HYDROGEL_PACK;10009;15;10006;26;;;10025;15;10028;26;;;10017.0;0.0
0;100;VEV_4000;1260;12;1257;20;;;1281;12;1284;20;;;1270.5;0.0
0;100;VEV_5100;180;24;;;;;185;24;;;;;182.5;0.0
0;200;HYDROGEL_PACK;10009;15;10007;30;;;10025;15;10028;30;;;10017.0;0.0
0;200;VELVETFRUIT_EXTRACT;5268;67;;;;;5273;22;5274;45;;;5270.5;0.0
0;200;VEV_6000;5;19;;;;;6;19;;;;;5.5;0.0
0;200;VEV_5200;107;8;106;15;;;110;23;;;;;108.5;0.0
0;200;VEV_5300;56;19;;;;;58;6;59;13;;;57.0;0.0
0;200;VEV_5000;271;8;270;15;;;277;8;278;15;;;274.0;0.0
0;200;VEV_4000;1260;10;1258;20;;;1281;10;1284;20;;;1270.5;0.0
0;200;VEV_5100;180;23;;;;;185;23;;;;;182.5;0.0
0;200;VEV_4500;763;8;761;15;;;779;8;781;15;;;771.0;0.0
0;200;VEV_5400;21;19;;;;;23;19;;;;;22.0;0.0
0;200;VEV_6500;5;18;;;;;6;18;;;;;5.5;0.0
0;200;VEV_5500;11;19;;;;;12;19;;;;;11.5;0.0
0;300;VEV_6000;5;25;;;;;6;25;;;;;5.5;0.0
0;300;VEV_5200;107;26;;;;;110;26;;;;;108.5;0.0
0;300;VEV_5300;56;25;;;;;59;25;;;;;57.5;0.0
0;300;VEV_5000;271;9;270;17;;;277;9;278;17;;;274.0;0.0
0;300;HYDROGEL_PACK;10010;12;10007;27;;;10026;12;10028;27;;;10018.0;0.0
0;300;VEV_4000;1261;10;1258;18;;;1282;10;1284;18;;;1271.5;0.0
0;300;VEV_5100;181;9;180;17;;;185;9;186;17;;;183.0;0.0
0;300;VEV_4500;763;9;761;17;;;779;9;781;17;;;771.0;0.0
0;300;VEV_5400;21;25;;;;;23;25;;;;;22.0;0.0
0;300;VEV_6500;5;13;;;;;6;13;;;;;5.5;0.0
0;300;VEV_5500;11;25;;;;;12;25;;;;;11.5;0.0
0;300;VELVETFRUIT_EXTRACT;5269;23;5268;44;;;5274;67;;;;;5271.5;0.0
0;400;VEV_5300;56;26;;;;;58;26;;;;;57.0;0.0
0;400;VEV_5200;106;22;;;;;109;22;;;;;107.5;0.0
0;400;VEV_5000;270;8;269;14;;;276;8;277;14;;;273.0;0.0
0;400;VEV_4000;1259;8;1257;30;;;1280;8;1283;30;;;1269.5;0.0
0;400;VEV_5100;180;8;179;14;;;184;22;;;;;182.0;0.0
0;400;VEV_4500;762;8;760;14;;;778;8;780;14;;;770.0;0.0
0;400;VEV_5500;11;26;;;;;12;26;;;;;11.5;0.0
0;400;VEV_5400;21;26;;;;;22;26;;;;;21.5;0.0
0;400;VEV_6500;5;20;;;;;6;20;;;;;5.5;0.0
0;400;HYDROGEL_PACK;10016;8;10008;12;10006;25;10024;12;10027;25;;;10020.0;0.0
