day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;VEV_5200;102;21;;;;;106;21;;;;;104.0;0.0
0;0;VEV_5300;52;20;;;;;54;20;;;;;53.0;0.0
0;0;VEV_5000;267;7;266;14;;;273;7;274;14;;;270.0;0.0
0;0;VEV_4000;1257;15;1254;27;;;1278;15;1280;27;;;1267.5;0.0
0;0;VEV_5100;177;7;176;14;;;181;7;182;14;;;179.0;0.0
0;0;VEV_4500;759;7;757;14;;;775;7;777;14;;;767.0;0.0
0;0;VEV_5400;16;20;;;;;18;20;;;;;17.0;0.0
0;0;VEV_6500;0;18;;;;;1;18;;;;;0.5;0.0
0;0;VEV_5500;6;20;;;;;7;20;;;;;6.5;0.0
0;0;HYDROGEL_PACK;10003;13;10001;21;;;10019;13;10022;21;;;10011.0;0.0
0;0;VELVETFRUIT_EXTRACT;5265;25;5264;35;;;5270;60;;;;;5267.5;0.0
0;0;VEV_6000;0;20;;;;;1;20;;;;;0.5;0.0
0;100;VEV_4500;757;10;756;14;;;774;10;776;14;;;765.5;0.0
0;100;VEV_5400;16;25;;;;;18;25;;;;;17.0;0.0
0;100;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
0;100;VEV_5500;6;25;;;;;7;25;;;;;6.5;0.0
0;100;VELVETFRUIT_EXTRACT;5263;69;;;;;5268;22;5269;47;;;5265.5;0.0
0;100;VEV_6000;0;25;;;;;1;25;;;;;0.5;0.0
0;100;VEV_5200;101;24;;;;;105;24;;;;;103.0;0.0
0;100;VEV_5300;51;25;;;;;53;6;54;19;;;52.0;0.0
0;100;VEV_5000;265;24;;;;;272;24;;;;;268.5;0.0
0;100;HYDROGEL_PACK;10004;15;10001;26;;;10020;15;10023;26;;;10012.0;0.0
0;100;VEV_4000;1255;12;1252;20;;;1276;12;1279;20;;;1265.5;0.0
0;100;VEV_5100;175;24;;;;;180;24;;;;;177.5;0.0
0;200;HYDROGEL_PACK;10004;15;10002;30;;;10020;15;10023;30;;;10012.0;0.0
0;200;VELVETFRUIT_EXTRACT;5263;67;;;;;5268;22;5269;45;;;5265.5;0.0
0;200;VEV_6000;0;19;;;;;1;19;;;;;0.5;0.0
0;200;VEV_5200;102;8;101;15;;;105;23;;;;;103.5;0.0
0;200;VEV_5300;51;19;;;;;53;6;54;13;;;52.0;0.0
0;200;VEV_5000;266;8;265;15;;;272;8;273;15;;;269.0;0.0
0;200;VEV_4000;1255;10;1253;20;;;1276;10;1279;20;;;1265.5;0.0
0;200;VEV_5100;175;23;;;;;180;23;;;;;177.5;0.0
0;200;VEV_4500;758;8;756;15;;;774;8;776;15;;;766.0;0.0
0;200;VEV_5400;16;19;;;;;18;19;;;;;17.0;0.0
0;200;VEV_6500;0;18;;;;;1;18;;;;;0.5;0.0
0;200;VEV_5500;6;19;;;;;7;19;;;;;6.5;0.0
0;300;VEV_6000;0;25;;;;;1;25;;;;;0.5;0.0
0;300;VEV_5200;102;26;;;;;105;26;;;;;103.5;0.0
0;300;VEV_5300;51;25;;;;;54;25;;;;;52.5;0.0
0;300;VEV_5000;266;9;265;17;;;272;9;273;17;;;269.0;0.0
0;300;HYDROGEL_PACK;10005;12;10002;27;;;10021;12;10023;27;;;10013.0;0.0
0;300;VEV_4000;1256;10;1253;18;;;1277;10;1279;18;;;1266.5;0.0
0;300;VEV_5100;176;9;175;17;;;180;9;181;17;;;178.0;0.0
0;300;VEV_4500;758;9;756;17;;;774;9;776;17;;;766.0;0.0
0;300;VEV_5400;16;25;;;;;18;25;;;;;17.0;0.0
0;300;VEV_6500;0;13;;;;;1;13;;;;;0.5;0.0
0;300;VEV_5500;6;25;;;;;7;25;;;;;6.5;0.0
0;300;VELVETFRUIT_EXTRACT;5264;23;5263;44;;;5269;67;;;;;5266.5;0.0
0;400;VEV_5300;51;26;;;;;53;26;;;;;52.0;0.0
0;400;VEV_5200;101;22;;;;;104;22;;;;;102.5;0.0
0;400;VEV_5000;265;8;264;14;;;271;8;272;14;;;268.0;0.0
0;400;VEV_4000;1254;8;1252;30;;;1275;8;1278;30;;;1264.5;0.0
0;400;VEV_5100;175;8;174;14;;;179;22;;;;;177.0;0.0
0;400;VEV_4500;757;8;755;14;;;773;8;775;14;;;765.0;0.0
0;400;VEV_5500;6;26;;;;;7;26;;;;;6.5;0.0
0;400;VEV_5400;16;26;;;;;17;26;;;;;16.5;0.0
0;400;VEV_6500;0;20;;;;;1;20;;;;;0.5;0.0
0;400;HYDROGEL_PACK;10011;8;10003;12;10001;25;10019;12;10022;25;;;10015.0;0.0
0;400;VELVETFRUIT_EXTRACT;5262;53;;;;;5267;15;5268;38;;;5264.5;0.0
0;400;VEV_6000;0;26;;;;;1;26;;;;;0.5;0.0
0;500;VEV_4500;755;7;753;16;;;771;7;773;16;;;763.0;0.0
0;500;VEV_5500;6;19;;;;;7;19;;;;;6.5;0.0
0;500;VEV_5400;16;19;;;;;17;19;;;;;16.5;0.0
0;500;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
0;500;VELVETFRUIT_EXTRACT;5261;19;5260;37;;;5266;56;;;;;5263.5;0.0
0;500;VEV_6000;0;19;;;;;1;19;;;;;0.5;0.0
0;500;VEV_5300;50;19;;;;;52;5;53;14;;;51.0;0.0
0;500;VEV_5200;100;23;;;;;103;23;;;;;101.5;0.0
0;500;VEV_5100;173;23;;;;;178;23;;;;;175.5;0.0
0;500;HYDROGEL_PACK;10002;11;9999;22;;;10018;11;10020;22;;;10010.0;0.0
0;500;VEV_4000;1253;9;1250;20;;;1274;9;1276;20;;;1263.5;0.0
0;500;VEV_5000;263;7;262;16;;;269;7;270;16;;;266.0;0.0
0;600;HYDROGEL_PACK;10002;13;9999;25;;;10018;13;10020;25;;;10010.0;0.0
0;600;VELVETFRUIT_EXTRACT;5259;66;;;;;5265;66;;;;;5262.0;0.0
0;600;VEV_6000;0;29;;;;;1;24;;;;;0.5;0.0
0;600;VEV_5300;50;15;49;14;;;52;24;;;;;51.0;0.0
0;600;VEV_5200;100;5;99;23;;;102;23;;;;;101.0;0.0
0;600;VEV_5100;174;5;172;23;;;177;23;;;;;175.5;0.0
0;600;VEV_4000;1261;5;1251;9;1249;23;1273;9;1275;23;;;1267.0;0.0
0;600;VEV_5000;265;5;262;9;261;14;268;9;269;14;;;266.5;0.0
0;600;VEV_4500;761;5;754;9;752;14;770;9;772;14;;;765.5;0.0
0;600;VEV_5500;6;29;;;;;7;24;;;;;6.5;0.0
0;600;VEV_5400;16;5;15;24;;;17;24;;;;;16.5;0.0
0;600;VEV_6500;0;15;;;;;1;10;;;;;0.5;0.0
0;700;VEV_6000;0;18;;;;;1;18;;;;;0.5;0.0
0;700;VEV_5300;50;18;;;;;52;18;;;;;51.0;0.0
0;700;VEV_5200;99;22;;;;;102;7;103;15;;;100.5;0.0
0;700;VEV_5100;173;7;172;15;;;177;7;178;15;;;175.0;0.0
0;700;HYDROGEL_PACK;10003;11;10001;23;;;10019;11;10022;23;;;10011.0;0.0
0;700;VEV_4000;1252;11;1249;18;;;1273;11;1276;18;;;1262.5;0.0
0;700;VEV_5000;262;22;;;;;269;22;;;;;265.5;0.0
0;700;VEV_4500;754;7;753;15;;;771;7;773;15;;;762.5;0.0
0;700;VEV_5500;6;18;;;;;7;18;;;;;6.5;0.0
0;700;VEV_5400;16;18;;;;;17;18;;;;;16.5;0.0
0;700;VEV_6500;0;11;;;;;1;11;;;;;0.5;0.0
0;700;VELVETFRUIT_EXTRACT;5260;24;5259;44;;;5265;24;5266;44;;;5262.5;0.0
0;800;VEV_5300;50;20;;;;;52;20;;;;;51.0;0.0
0;800;VEV_5200;100;9;99;13;;;103;22;;;;;101.5;0.0
0;800;VEV_5100;173;9;172;13;;;177;9;178;13;;;175.0;0.0
0;800;VEV_4000;1252;8;1250;28;;;1273;8;1276;28;;;1262.5;0.0
0;800;VEV_5000;263;9;262;13;;;269;9;270;13;;;266.0;0.0
0;800;VEV_4500;755;9;753;13;;;771;9;773;13;;;763.0;0.0
0;800;VEV_5500;6;20;;;;;7;20;;;;;6.5;0.0
0;800;VEV_5400;16;20;;;;;17;20;;;;;16.5;0.0
0;800;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
0;800;HYDROGEL_PACK;10005;12;10003;27;;;10021;12;10024;27;;;10013.0;0.0
0;800;VELVETFRUIT_EXTRACT;5260;52;;;;;5265;20;5266;32;;;5262.5;0.0
0;800;VEV_6000;0;20;;;;;1;20;;;;;0.5;0.0
0;900;VEV_4500;755;6;753;19;;;771;6;773;19;;;763.0;0.0
0;900;VEV_5500;6;24;;;;;7;24;;;;;6.5;0.0
0;900;VEV_5400;16;24;;;;;17;24;;;;;16.5;0.0
0;900;VEV_6500;0;12;;;;;1;12;;;;;0.5;0.0
0;900;VELVETFRUIT_EXTRACT;5260;66;;;;;5262;8;5265;25;5266;41;5261.0;0.0
0;900;VEV_6000;0;24;;;;;1;24;;;;;0.5;0.0
0;900;VEV_5300;50;24;;;;;52;24;;;;;51.0;0.0
0;900;VEV_5200;100;6;99;19;;;103;25;;;;;101.5;0.0
0;900;HYDROGEL_PACK;10009;12;10006;21;;;10025;12;10027;21;;;10017.0;0.0
0;900;VEV_5100;173;6;172;19;;;177;6;178;19;;;175.0;0.0
0;900;VEV_4000;1252;11;1250;24;;;1273;11;1276;24;;;1262.5;0.0
0;900;VEV_5000;263;6;262;19;;;269;6;270;19;;;266.0;0.0
0;1000;HYDROGEL_PACK;10012;14;10010;28;;;10028;14;10031;28;;;10020.0;0.0
0;1000;VELVETFRUIT_EXTRACT;5260;69;;;;;5265;21;5266;48;;;5262.5;0.0
0;1000;VEV_6000;0;26;;;;;1;26;;;;;0.5;0.0
0;1000;VEV_6500;0;19;;;;;1;19;;;;;0.5;0.0
0;1000;VEV_5300;50;26;;;;;52;26;;;;;51.0;0.0
0;1000;VEV_5200;100;12;99;12;;;103;24;;;;;101.5;0.0
0;1000;VEV_4000;1252;12;1250;30;;;1273;12;1276;30;;;1262.5;0.0
0;1000;VEV_5100;173;12;172;12;;;177;12;178;12;;;175.0;0.0
0;1000;VEV_5000;263;12;262;12;;;269;12;270;12;;;266.0;0.0
0;1000;VEV_4500;755;12;753;12;;;771;12;773;12;;;763.0;0.0
0;1000;VEV_5500;6;26;;;;;7;26;;;;;6.5;0.0
0;1000;VEV_5400;16;26;;;;;17;26;;;;;16.5;0.0
0;1100;VEV_5300;50;29;;;;;53;29;;;;;51.5;0.0
0;1100;VEV_5200;100;23;;;;;103;23;;;;;101.5;0.0
0;1100;HYDROGEL_PACK;10011;13;10009;28;;;10027;13;10030;28;;;10019.0;0.0
0;1100;VEV_4000;1253;9;1251;27;;;1274;9;1277;27;;;1263.5;0.0
0;1100;VEV_5100;174;8;173;15;;;178;8;179;15;;;176.0;0.0
0;1100;VEV_5000;264;8;263;15;;;270;8;271;15;;;267.0;0.0
0;1100;VEV_6000;0;29;;;;;1;29;;;;;0.5;0.0
0;1100;VEV_4500;756;8;754;15;;;772;8;774;15;;;764.0;0.0
0;1100;VEV_5500;6;29;;;;;7;29;;;;;6.5;0.0
0;1100;VEV_5400;16;29;;;;;17;29;;;;;16.5;0.0
0;1100;VEV_6500;0;14;;;;;1;14;;;;;0.5;0.0
0;1100;VELVETFRUIT_EXTRACT;5261;60;;;;;5266;24;5267;36;;;5263.5;0.0
0;1200;VEV_6500;0;14;;;;;1;14;;;;;0.5;0.0
0;1200;VEV_5300;50;21;;;;;52;21;;;;;51.0;0.0
0;1200;VEV_5200;99;24;;;;;102;8;103;16;;;100.5;0.0
0;1200;VEV_4000;1252;15;1249;20;;;1273;15;1275;20;;;1262.5;0.0
0;1200;VEV_5100;172;24;;;;;177;24;;;;;174.5;0.0
0;1200;VEV_5000;262;24;;;;;269;24;;;;;265.5;0.0
0;1200;VEV_4500;754;8;752;16;;;770;8;772;16;;;762.0;0.0
0;1200;VEV_5500;6;21;;;;;7;21;;;;;6.5;0.0
0;1200;VEV_5400;16;21;;;;;17;21;;;;;16.5;0.0
0;1200;HYDROGEL_PACK;10013;12;10010;28;;;10029;12;10031;28;;;10021.0;0.0
0;1200;VELVETFRUIT_EXTRACT;5260;22;5259;36;;;5265;58;;;;;5262.5;0.0
0;1200;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
0;1300;VEV_4500;754;6;752;15;;;770;6;772;15;;;762.0;0.0
0;1300;VEV_5500;6;16;;;;;7;16;;;;;6.5;0.0
0;1300;VEV_5400;16;16;;;;;17;16;;;;;16.5;0.0
0;1300;VEV_6500;0;13;;;;;1;13;;;;;0.5;0.0
0;1300;VELVETFRUIT_EXTRACT;5259;51;;;;;5265;51;;;;;5262.0;0.0
0;1300;VEV_5300;50;6;49;10;;;52;16;;;;;51.0;0.0
0;1300;VEV_5200;99;21;;;;;102;21;;;;;100.5;0.0
0;1300;HYDROGEL_PACK;10013;13;10010;23;;;10029;13;10032;23;;;10021.0;0.0
