day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;VEV_5400;22;25;;;;;24;25;;;;;23.0;0.0
2;0;VEV_6500;0;16;;;;;1;16;;;;;0.5;0.0
2;0;VEV_5500;8;25;;;;;9;25;;;;;8.5;0.0
2;0;VEV_5200;100;19;;;;;103;6;104.0;13.0;;;101.5;0.0
2;0;VEV_5300;52;6;51.0;19.0;;;54;25;;;;;53.0;0.0
2;0;VELVETFRUIT_EXTRACT;5247;67;;;;;5253;67;;;;;5250.0;0.0
2;0;VEV_4500;742;6;740.0;13.0;;;758;6;760.0;13.0;;;750.0;0.0
2;0;HYDROGEL_PACK;9992;15;9990.0;30.0;;;10008;15;10010.0;30.0;;;10000.0;0.0
2;0;VEV_5000;254;19;;;;;260;6;261.0;13.0;;;257.0;0.0
2;0;VEV_4000;1240;7;1237.0;24.0;;;1260;7;1263.0;24.0;;;1250.0;0.0
2;0;VEV_5100;169;19;;;;;174;19;;;;;171.5;0.0
2;0;VEV_6000;0;25;;;;;1;25;;;;;0.5;0.0
2;100;VEV_4500;743;9;741.0;13.0;;;759;9;761.0;13.0;;;751.0;0.0
2;100;VELVETFRUIT_EXTRACT;5248;69;;;;;5253;23;5254.0;46.0;;;5250.5;0.0
2;100;VEV_5000;255;9;254.0;13.0;;;261;9;262.0;13.0;;;258.0;0.0
2;100;VEV_4000;1240;11;1238.0;20.0;;;1261;11;1264.0;20.0;;;1250.5;0.0
2;100;VEV_5100;170;22;;;;;174;9;175.0;13.0;;;172.0;0.0
2;100;VEV_6000;0;17;;;;;1;17;;;;;0.5;0.0
2;100;VEV_5400;23;17;;;;;24;17;;;;;23.5;0.0
2;100;HYDROGEL_PACK;9992;13;9990.0;30.0;;;10008;13;10011.0;30.0;;;10000.0;0.0
2;100;VEV_6500;0;18;;;;;1;18;;;;;0.5;0.0
2;100;VEV_5500;8;17;;;;;9;17;;;;;8.5;0.0
2;100;VEV_5200;101;22;;;;;104;22;;;;;102.5;0.0
2;100;VEV_5300;52;17;;;;;54;17;;;;;53.0;0.0
2;200;HYDROGEL_PACK;9995;13;9992.0;21.0;;;10011;13;10013.0;21.0;;;10003.0;0.0
2;200;VELVETFRUIT_EXTRACT;5248;20;5247.0;40.0;;;5253;60;;;;;5250.5;0.0
2;200;VEV_5000;254;22;;;;;260;10;261.0;12.0;;;257.0;0.0
2;200;VEV_4000;1240;13;1237.0;21.0;;;1261;13;1263.0;21.0;;;1250.5;0.0
2;200;VEV_5100;170;10;169.0;12.0;;;174;22;;;;;172.0;0.0
2;200;VEV_6000;0;24;;;;;1;24;;;;;0.5;0.0
2;200;VEV_5400;23;10;22.0;14.0;;;24;24;;;;;23.5;0.0
2;200;VEV_6500;0;16;;;;;1;16;;;;;0.5;0.0
2;200;VEV_5500;8;24;;;;;9;24;;;;;8.5;0.0
2;200;VEV_5200;101;10;100.0;12.0;;;104;22;;;;;102.5;0.0
2;200;VEV_5300;52;10;51.0;14.0;;;54;24;;;;;53.0;0.0
2;200;VEV_4500;742;10;740.0;12.0;;;758;10;760.0;12.0;;;750.0;0.0
2;300;VEV_5000;254;29;;;;;261;29;;;;;257.5;0.0
2;300;VEV_4000;1240;10;1237.0;29.0;;;1261;10;1263.0;29.0;;;1250.5;0.0
2;300;VEV_5100;170;11;169.0;18.0;;;174;11;175.0;18.0;;;172.0;0.0
2;300;VEV_6000;0;20;;;;;1;20;;;;;0.5;0.0
2;300;VEV_5400;23;9;22.0;11.0;;;24;20;;;;;23.5;0.0
2;300;HYDROGEL_PACK;9994;11;9992.0;23.0;;;10010;11;10013.0;23.0;;;10002.0;0.0
2;300;VEV_6500;0;15;;;;;1;15;;;;;0.5;0.0
2;300;VEV_5500;8;20;;;;;9;20;;;;;8.5;0.0
2;300;VEV_5200;101;11;100.0;18.0;;;104;29;;;;;102.5;0.0
2;300;VEV_5300;52;9;51.0;11.0;;;54;20;;;;;53.0;0.0
2;300;VEV_4500;742;11;740.0;18.0;;;758;11;760.0;18.0;;;750.0;0.0
2;300;VELVETFRUIT_EXTRACT;5248;24;5247.0;40.0;;;5253;64;;;;;5250.5;0.0
2;400;VEV_5400;23;6;22.0;13.0;;;24;19;;;;;23.5;0.0
2;400;VEV_6500;0;15;;;;;1;15;;;;;0.5;0.0
2;400;VEV_5500;8;19;;;;;9;19;;;;;8.5;0.0
2;400;VEV_5200;101;8;100.0;23.0;;;104;31;;;;;102.5;0.0
2;400;VEV_5300;52;6;51.0;13.0;;;54;19;;;;;53.0;0.0
2;400;VEV_4500;742;8;740.0;23.0;;;758;8;760.0;23.0;;;750.0;0.0
2;400;HYDROGEL_PACK;9995;13;9993.0;23.0;;;10011;13;10014.0;23.0;;;10003.0;0.0
2;400;VELVETFRUIT_EXTRACT;5248;25;5247.0;37.0;;;5253;62;;;;;5250.5;0.0
2;400;VEV_5000;254;31;;;;;260;8;261.0;23.0;;;257.0;0.0
2;400;VEV_4000;1240;10;1237.0;25.0;;;1261;10;1263.0;25.0;;;1250.5;0.0
2;400;VEV_5100;170;8;169.0;23.0;;;174;8;175.0;23.0;;;172.0;0.0
2;400;VEV_6000;0;19;;;;;1;19;;;;;0.5;0.0
2;500;VEV_4500;741;7;740.0;20.0;;;757;7;759.0;20.0;;;749.0;0.0
2;500;VELVETFRUIT_EXTRACT;5247;25;5246.0;35.0;;;5252;25;5253.0;35.0;;;5249.5;0.0
2;500;VEV_5000;254;7;253.0;20.0;;;260;27;;;;;257.0;0.0
2;500;VEV_4000;1239;7;1236.0;30.0;;;1260;7;1262.0;30.0;;;1249.5;0.0
2;500;VEV_5100;169;27;;;;;174;27;;;;;171.5;0.0
2;500;VEV_6000;0;22;;;;;1;22;;;;;0.5;0.0
2;500;HYDROGEL_PACK;9992;12;9989.0;22.0;;;10008;12;10010.0;22.0;;;10000.0;0.0
2;500;VEV_5500;8;22;;;;;9;22;;;;;8.5;0.0
2;500;VEV_5400;22;22;;;;;24;22;;;;;23.0;0.0
2;500;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
2;500;VEV_5200;100;27;;;;;103;27;;;;;101.5;0.0
2;500;VEV_5300;51;22;;;;;53;6;54.0;16.0;;;52.0;0.0
2;600;HYDROGEL_PACK;9994;12;9991.0;24.0;;;10010;12;10012.0;24.0;;;10002.0;0.0
2;600;VELVETFRUIT_EXTRACT;5246;17;5245.0;46.0;;;5251;63;;;;;5248.5;0.0
2;600;VEV_5100;168;20;;;;;173;20;;;;;170.5;0.0
2;600;VEV_4000;1238;13;1235.0;21.0;;;1259;13;1261.0;21.0;;;1248.5;0.0
2;600;VEV_5000;253;7;252.0;13.0;;;259;20;;;;;256.0;0.0
2;600;VEV_6000;0;22;;;;;1;22;;;;;0.5;0.0
2;600;VEV_5500;8;22;;;;;9;22;;;;;8.5;0.0
2;600;VEV_5400;22;22;;;;;24;22;;;;;23.0;0.0
2;600;VEV_6500;0;20;;;;;1;20;;;;;0.5;0.0
2;600;VEV_5300;51;22;;;;;53;22;;;;;52.0;0.0
2;600;VEV_5200;99;20;;;;;102;7;103.0;13.0;;;100.5;0.0
2;600;VEV_4500;740;7;739.0;13.0;;;756;7;758.0;13.0;;;748.0;0.0
2;700;VEV_5100;168;25;;;;;173;25;;;;;170.5;0.0
2;700;VEV_4000;1238;12;1235.0;20.0;;;1259;12;1261.0;20.0;;;1248.5;0.0
2;700;VEV_5000;253;6;252.0;19.0;;;259;25;;;;;256.0;0.0
2;700;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
2;700;HYDROGEL_PACK;9995;10;9993.0;27.0;;;10011;10;10014.0;27.0;;;10003.0;0.0
2;700;VEV_5500;8;21;;;;;9;21;;;;;8.5;0.0
2;700;VEV_5400;22;21;;;;;24;21;;;;;23.0;0.0
2;700;VEV_6500;0;14;;;;;1;14;;;;;0.5;0.0
2;700;VEV_5300;51;21;;;;;53;21;;;;;52.0;0.0
