bucket,count,timestamp_min,timestamp_max,mid_start,mid_end,mid_mean,mid_std,spread_mean,ret1_std,imbalance_L1_mean,future_abs_ret_1_mean,imbalance_corr_future_ret_1,dev500_corr_future_ret_1,future_abs_ret_2_mean,imbalance_corr_future_ret_2,dev500_corr_future_ret_2,future_abs_ret_3_mean,imbalance_corr_future_ret_3,dev500_corr_future_ret_3,future_abs_ret_5_mean,imbalance_corr_future_ret_5,dev500_corr_future_ret_5,future_abs_ret_10_mean,imbalance_corr_future_ret_10,dev500_corr_future_ret_10,future_abs_ret_20_mean,imbalance_corr_future_ret_20,dev500_corr_future_ret_20,future_abs_ret_50_mean,imbalance_corr_future_ret_50,dev500_corr_future_ret_50,future_abs_ret_100_mean,imbalance_corr_future_ret_100,dev500_corr_future_ret_100,future_abs_ret_200_mean,imbalance_corr_future_ret_200,dev500_corr_future_ret_200,future_abs_ret_500_mean,imbalance_corr_future_ret_500,dev500_corr_future_ret_500,future_abs_ret_1000_mean,imbalance_corr_future_ret_1000,dev500_corr_future_ret_1000
0,500,0,49900,10000.0,9981.0,9993.278,14.367517779152687,15.632,2.254079992516476,-0.0011608474705324888,1.732,0.35207471388017547,-0.06953735268663223,2.338,0.2746747927890086,-0.08615184102161841,2.676,0.2568462312575161,-0.09955036767051474,3.5,0.19246603124087633,-0.1250711319921595,4.917,0.0952330142638659,-0.1746398483839453,6.841,0.0984827965875008,-0.23625033754872887,8.96,0.02546664780812795,-0.22889571503650455,12.86,2.9709927393303654e-05,-0.4390423581461368,15.854,0.037298951805325276,-0.8231751197978606,21.305,0.12156954957800625,-0.10553600668365876,39.565,0.07511162824184948,-0.8603369456966932
1,500,50000,99900,9982.0,9954.0,9972.039,18.09363806637443,15.726,2.1333509727059656,0.005709491119102103,1.685,0.1949696678041547,-0.07223848345953095,2.263,0.1477708410058353,-0.09877906038557709,2.807,0.0883302743881,-0.1182384121367807,3.601,0.0515293329065598,-0.14866862404156642,4.958,0.08285995854552548,-0.20726854237011813,6.734,0.03130166104745635,-0.2761083869234573,8.752,0.03736510575198113,-0.3468360704150893,12.232,0.05899255641441123,-0.5268465731382533,17.843,-0.02069495758306796,-0.7369818059775128,24.322,0.02578913201369878,-0.8054157281358048,13.471,0.046762171825607414,-0.9407744288874995
2,500,100000,149900,9955.5,9982.0,9954.503,10.745204038064575,15.646,2.233347191853232,-0.0007047728695527864,1.735,0.3072763035852427,-0.042391071485884904,2.366,0.20619153542059931,-0.04840922676216127,2.816,0.16203469229457335,-0.05224321771133439,3.586,0.15053524188118084,-0.06985043374812296,5.048,0.13285336532783998,-0.10297947349550031,7.312,0.13179641537178688,-0.12994300614622578,10.543,0.06763163528514794,-0.21740315480368366,14.488,0.020143404737718685,-0.3769533945933142,15.775,-0.020468051256874637,-0.4828202148526253,16.593,0.018094517382373408,-0.9270572421793943,29.62,0.04418407853892463,-0.6673288789788122
3,500,150000,199900,9980.0,9970.0,9968.556,6.805769684760425,15.656,2.309565366983307,0.003440311990547554,1.748,0.27603651200466073,-0.12254551171042287,2.319,0.21455293970288142,-0.1605888773747335,2.745,0.15534259104567566,-0.18946962937091205,3.343,0.20975081945543023,-0.23599271222958335,4.213,0.18452112276092988,-0.31551876926700395,5.661,0.11407365877440294,-0.44335995235561343,6.21,0.043716599819500844,-0.5359327796879223,7.914,-0.028377395652955616,-0.719412091175117,11.662,-0.043035913479452806,-0.7718541280332638,14.925,0.046961495712741164,-0.4381210474714961,23.286,-0.06225427625927421,-0.7512995453296252
4,500,200000,249900,9970.0,9948.0,9981.475,10.456507643769424,15.698,2.177279286214876,-0.0017685258251417895,1.692,0.234127010451347,-0.026250112025006975,2.174,0.17073842856828492,-0.021584416514148285,2.526,0.15200731638996937,-0.016696029525423525,3.078,0.1448682918054237,-0.0011132141152030677,4.44,0.09790010829315685,0.013663681990196455,6.426,0.05453582922563866,0.03233310666021223,9.795,0.04887438976815022,-0.04157756936723256,12.721,0.06493184937734221,-0.2312690547439423,19.574,0.0304480386140159,-0.7137815310934958,14.201,0.035836847802100585,-0.613108212481524,41.559,0.010543004351298632,-0.7156145542908288
5,500,250000,299900,9950.0,10014.0,9986.542,15.495400959697802,15.66,2.236645068473013,0.0017929330903015113,1.674,0.37618904283021487,-0.09297073266919026,2.264,0.2506768322090433,-0.12120041643512064,2.676,0.23151105888330084,-0.146430954569308,3.288,0.1617980784366276,-0.19069103441523003,4.626,0.172323450480147,-0.27915837732945975,6.554,0.1604304127018443,-0.41396755402567303,12.308,0.07696979553106507,-0.6384745545686317,18.859,0.06053573942571525,-0.7454053515557774,22.974,0.05146895402883357,-0.7046586778947157,37.276,0.024662791842218975,-0.8365958498352121,40.591,0.04740194489957842,-0.5834651469850047
6,500,300000,349900,10011.0,10005.0,10023.034,10.350028511089269,15.788,2.064509724075332,0.0010552859421280472,1.576,0.23666638648781554,-0.029143412686716188,2.094,0.13646835722763087,-0.026500711340946115,2.392,0.062259159913724896,-0.023316105191243185,2.975,0.0358435643170434,-0.01791093460462369,3.891,0.0897919955577925,-0.007161820238026009,5.429,0.008470321360325958,-0.010023958601022898,8.063,0.018216504089237147,0.0810717992974279,11.535,0.038482454885321905,0.07082205012855472,18.106,0.0392061176255367,-0.47042744049279783,13.453,0.03475932343796624,-0.04061057320987131,46.375,0.015232443023958667,0.2142885585220916
7,500,350000,399900,10007.0,10004.0,10027.009,17.14381052972057,15.758,2.256141917678365,0.00418589195611675,1.746,0.3230681055311626,-0.0489962028017239,2.368,0.2055922564592448,-0.06030579054347057,2.834,0.19203124154079468,-0.07317762238368426,3.459,0.14587828393009855,-0.0863052535361482,5.045,0.10638858066434632,-0.12659296762568756,7.301,0.1164961029037721,-0.1949575439807116,14.014,0.0797990059407972,-0.3295180792405201,20.789,-0.010523950901930548,-0.5014277415199409,35.29,-0.043883568913615716,-0.5188513652853601,50.31,-0.05371762086549205,-0.7592567545955008,63.195,0.015199483557206487,-0.8144175027581788
8,500,400000,449900,10004.0,9962.0,9976.735,14.934502124524098,15.778,2.042618069330218,0.003335928948932045,1.54,0.23144782996183683,-0.06833824890638833,2.218,0.17935205442254504,-0.0956446990261439,2.768,0.1632846467862218,-0.11822028176796986,3.551,0.09466343910894398,-0.14688435798266453,5.067,-0.0025298087964318225,-0.21007885605114207,7.047,-0.01272557049900191,-0.281325267624709,12.406,0.021515741077870288,-0.42789418979138727,16.027,0.013449079240554829,-0.5752731181000543,14.641,-0.006778549129164424,-0.5081801232051663,23.073,0.03499988888661221,-0.5301339759444443,17.854,0.016304119168493007,0.28859066014467316
9,500,450000,499900,9964.0,9985.0,9963.814,13.804075811804138,15.644,2.249667978174568,0.0008084546015896132,1.762,0.30840794878266303,-0.05391762448513869,2.392,0.16917137242130748,-0.06350071853375235,2.918,0.11844900802642158,-0.07615981561219846,3.747,0.06992468754883943,-0.10364575486094148,5.229,0.05790512819138046,-0.13998636316294324,7.375,-0.026670067436994748,-0.1861905349584756,11.388,-0.07422343012610269,-0.33116331181130226,18.24,-0.07990351560887199,-0.6655293080127617,23.423,-0.03270294173442817,-0.8899408015097139,17.991,-0.012988349921720876,-0.7407048184290587,17.852,-0.035443992952624785,-0.5475525202885884
