timestamp,trade_count,total_qty,signed_qty,avg_trade_price,avg_trade_vs_mid,future_ret_1,future_ret_2,future_ret_3,future_ret_5,future_ret_10,future_ret_20,future_ret_50,future_ret_100,future_ret_200,future_ret_500,future_ret_1000
8000,1,6,6,10018.0,4.0,-2.0,-2.0,-4.0,-9.0,-9.0,-11.0,-1.0,-7.0,-21.0,-22.0,-68.0
10100,1,5,5,10014.0,8.0,2.0,2.0,1.0,-1.0,0.0,0.0,10.0,6.0,-15.0,-10.0,-66.0
15300,1,3,3,10026.0,8.5,-0.5,-2.5,-0.5,1.5,-2.5,-5.5,-7.5,-18.5,-43.5,-33.5,-71.5
15700,1,2,-2,10009.0,-8.0,2.0,1.0,-1.0,1.0,-1.0,-11.0,-7.0,-18.0,-47.0,-30.0,-74.0
16400,1,4,-4,10009.0,-8.0,5.0,1.0,-1.0,-3.0,-6.0,-4.0,-15.5,-20.0,-49.0,-28.0,-80.0
20300,1,5,-5,10002.0,-8.0,-2.0,-2.0,0.0,-1.0,-3.5,-9.0,-11.0,-14.0,-26.0,-41.0,-50.0
20500,1,3,-3,10000.0,-8.0,2.0,2.0,1.0,1.0,-3.0,-9.0,-9.0,-12.0,-26.0,-31.0,-45.0
23300,1,2,2,9997.0,8.0,4.0,6.0,7.0,5.0,12.0,10.0,0.0,-20.0,-12.0,1.0,-17.0
28500,1,5,5,9994.0,8.0,-3.0,-2.0,-3.0,-5.0,-3.0,10.0,-11.0,-7.0,-13.0,-10.0,-23.0
29100,1,6,-6,9973.0,-8.0,0.0,-1.0,0.0,0.0,10.0,10.0,-14.0,0.0,-2.0,-2.0,-26.0
45800,1,2,-2,9978.0,-8.0,1.0,0.0,-1.0,-2.0,-2.0,-17.0,5.0,-5.0,0.0,-35.0,-30.0
54600,1,3,3,9987.0,8.0,0.0,0.0,3.0,-2.0,0.0,3.0,16.0,15.0,11.0,-29.0,-7.0
55000,1,6,6,9987.0,8.0,-2.0,-1.0,-3.0,-1.0,3.0,4.0,17.0,7.0,6.0,-25.0,0.0
56700,1,6,6,9991.0,8.0,-2.0,0.0,0.0,2.0,6.0,9.0,6.0,6.0,-2.0,-32.0,-5.0
60000,1,4,-4,9988.0,-8.0,0.0,-2.0,-3.0,-5.0,4.0,-10.0,-10.0,-22.0,-20.0,-56.0,-22.0
