feature,horizon,corr,slope
trade_count,1,,
trade_count,2,,
trade_count,3,,
trade_count,5,,
trade_count,10,,
trade_count,20,,
trade_count,50,,
trade_count,100,,
trade_count,200,,
trade_count,500,,
trade_count,1000,,
total_qty,1,0.011216868688287196,0.018421106442147457
total_qty,2,-0.05570846459577393,-0.11215481192937261
total_qty,3,-0.05544558847265467,-0.13340541258984356
total_qty,5,-0.06653655717112437,-0.21243955055260766
total_qty,10,0.034009386933964665,0.15438252103589648
total_qty,20,0.07944517705696218,0.48568638877812886
total_qty,50,0.07753285622953841,0.7348255769181407
total_qty,100,0.05709263971847014,0.7313129596440269
total_qty,200,0.016551564510407596,0.2892472054604808
total_qty,500,0.039512607842958944,0.8408391987005954
total_qty,1000,0.014369984212658792,0.37090554063949205
signed_qty,1,0.06747508489377402,0.03468904075688642
signed_qty,2,0.012391715219758383,0.007809674287563535
signed_qty,3,0.06426533368230997,0.04840475148007845
signed_qty,5,0.09015439218523028,0.09010869772134551
signed_qty,10,0.09062500271197313,0.12878110068340598
signed_qty,20,0.06646073414926966,0.12719156307704024
signed_qty,50,0.06381826202907216,0.18965446749228343
signed_qty,100,0.04387538138414838,0.17648001291913556
signed_qty,200,0.027391423062587763,0.14979369233365505
signed_qty,500,0.02360225686176007,0.1581022388075715
signed_qty,1000,0.023896422292999264,0.19452240030686027
avg_trade_vs_mid,1,0.02114078033096654,0.006036026883612376
avg_trade_vs_mid,2,-0.042518381281026585,-0.01488193900700288
avg_trade_vs_mid,3,0.04699723223667715,0.019659153372484195
avg_trade_vs_mid,5,0.04723287546455712,0.026218359240556106
avg_trade_vs_mid,10,0.04130359286351056,0.032596669716998955
avg_trade_vs_mid,20,0.03339446109775954,0.0354935068095546
avg_trade_vs_mid,50,0.027198796077610676,0.04481550857806935
avg_trade_vs_mid,100,0.02342404230978097,0.05225216775509977
avg_trade_vs_mid,200,0.006729889716643472,0.020437510354655467
avg_trade_vs_mid,500,0.0019826479980074633,0.0073767511312022895
avg_trade_vs_mid,1000,0.015772904672391095,0.07112937101509191
