day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,best_bid,best_ask,computed_mid,mid_error,spread,half_spread,bid_size_1,ask_size_1,bid_size_2,ask_size_2,bid_size_3,ask_size_3,bid_gap_12,bid_gap_23,ask_gap_12,ask_gap_23,bid_depth_L1,ask_depth_L1,total_depth_L1,imbalance_L1,bid_depth_L2,ask_depth_L2,total_depth_L2,imbalance_L2,bid_depth_L3,ask_depth_L3,total_depth_L3,imbalance_L3,microprice_L1,micro_edge_L1,bid_wap_L1,ask_wap_L1,book_wap_mid_L1,book_wap_edge_L1,bid_wap_L2,ask_wap_L2,book_wap_mid_L2,book_wap_edge_L2,bid_wap_L3,ask_wap_L3,book_wap_mid_L3,book_wap_edge_L3,mid_change,bid_change,ask_change,spread_change,bid_size_1_change,ask_size_1_change,mid_changed,bid_changed,ask_changed,spread_changed,bid_size_1_changed,ask_size_1_changed,past_ret_1,future_ret_1,future_abs_ret_1,future_up_1,past_ret_2,future_ret_2,future_abs_ret_2,future_up_2,past_ret_3,future_ret_3,future_abs_ret_3,future_up_3,past_ret_5,future_ret_5,future_abs_ret_5,future_up_5,past_ret_10,future_ret_10,future_abs_ret_10,future_up_10,past_ret_20,future_ret_20,future_abs_ret_20,future_up_20,past_ret_50,future_ret_50,future_abs_ret_50,future_up_50,past_ret_100,future_ret_100,future_abs_ret_100,future_up_100,past_ret_200,future_ret_200,future_abs_ret_200,future_up_200,past_ret_500,future_ret_500,future_abs_ret_500,future_up_500,past_ret_1000,future_ret_1000,future_abs_ret_1000,future_up_1000,roll_mean_10,roll_median_10,roll_std_mid_10,roll_vol_ret1_10,dev_roll_mean_10,dev_roll_median_10,z_roll_mean_10,ema_10,dev_ema_10,roll_mean_20,roll_median_20,roll_std_mid_20,roll_vol_ret1_20,dev_roll_mean_20,dev_roll_median_20,z_roll_mean_20,ema_20,dev_ema_20,roll_mean_50,roll_median_50,roll_std_mid_50,roll_vol_ret1_50,dev_roll_mean_50,dev_roll_median_50,z_roll_mean_50,ema_50,dev_ema_50,roll_mean_100,roll_median_100,roll_std_mid_100,roll_vol_ret1_100,dev_roll_mean_100,dev_roll_median_100,z_roll_mean_100,ema_100,dev_ema_100,roll_mean_200,roll_median_200,roll_std_mid_200,roll_vol_ret1_200,dev_roll_mean_200,dev_roll_median_200,z_roll_mean_200,ema_200,dev_ema_200,roll_mean_500,roll_median_500,roll_std_mid_500,roll_vol_ret1_500,dev_roll_mean_500,dev_roll_median_500,z_roll_mean_500,ema_500,dev_ema_500,roll_mean_1000,roll_median_1000,roll_std_mid_1000,roll_vol_ret1_1000,dev_roll_mean_1000,dev_roll_median_1000,z_roll_mean_1000,ema_1000,dev_ema_1000,global_mean,dev_global_mean,z_global_mean,row_index,time_bucket_10,time_bucket_20
1,0,HYDROGEL_PACK,9950,13,9947.0,23.0,,,9966,13,9968.0,23.0,,,9958.0,0.0,9950,9966,9958.0,0.0,16,8.0,13,13,23.0,23.0,0.0,0.0,3.0,,2.0,,13,13,26,0.0,36.0,36.0,72.0,0.0,36.0,36.0,72.0,0.0,9958.0,0.0,9950.0,9966.0,9958.0,0.0,9948.083333333334,9967.277777777777,9957.680555555555,-0.3194444444452529,9948.083333333334,9967.277777777777,9957.680555555555,-0.3194444444452529,,,,,,,0,0,0,0,0,0,,3.0,3.0,1,,3.0,3.0,1,,2.0,2.0,1,,5.0,5.0,1,,1.0,1.0,1,,5.0,5.0,1,,4.0,4.0,1,,-17.0,17.0,0,,-7.0,7.0,0,,22.0,22.0,1,,-13.0,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.0551,-34.055099999999584,-0.9054074427584932,0,0,0
1,100,HYDROGEL_PACK,9953,15,9950.0,21.0,,,9969,15,9971.0,21.0,,,9961.0,0.0,9953,9969,9961.0,0.0,16,8.0,15,15,21.0,21.0,0.0,0.0,3.0,,2.0,,15,15,30,0.0,36.0,36.0,72.0,0.0,36.0,36.0,72.0,0.0,9961.0,0.0,9953.0,9969.0,9961.0,0.0,9951.25,9970.166666666666,9960.708333333332,-0.2916666666678793,9951.25,9970.166666666666,9960.708333333332,-0.2916666666678793,3.0,3.0,3.0,0.0,2.0,2.0,1,1,1,0,1,1,3.0,0.0,0.0,0,,-1.0,1.0,0,,0.0,0.0,0,,3.0,3.0,1,,1.0,1.0,1,,-1.0,1.0,0,,-5.0,5.0,0,,-17.0,17.0,0,,-10.0,10.0,0,,19.0,19.0,1,,-15.0,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.0551,-31.055099999999584,-0.8256478082756841,1,0,0
1,200,HYDROGEL_PACK,9953,14,9951.0,21.0,,,9969,14,9972.0,21.0,,,9961.0,0.0,9953,9969,9961.0,0.0,16,8.0,14,14,21.0,21.0,0.0,0.0,2.0,,3.0,,14,14,28,0.0,35.0,35.0,70.0,0.0,35.0,35.0,70.0,0.0,9961.0,0.0,9953.0,9969.0,9961.0,0.0,9951.8,9970.8,9961.3,0.2999999999992724,9951.8,9970.8,9961.3,0.2999999999992724,0.0,0.0,0.0,0.0,-1.0,-1.0,0,0,0,0,1,1,0.0,-1.0,1.0,0,3.0,0.0,0.0,0,,2.0,2.0,1,,3.0,3.0,1,,0.5,0.5,1,,1.0,1.0,1,,-5.0,5.0,0,,-15.0,15.0,0,,-8.0,8.0,0,,21.0,21.0,1,,-13.0,13.0,0,9960.0,9961.0,1.7320508075688772,,1.0,0.0,0.5773502691896258,9958.991735537189,2.0082644628109847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.0551,-31.055099999999584,-0.8256478082756841,2,0,0
1,300,HYDROGEL_PACK,9952,15,9950.0,26.0,,,9968,15,9971.0,26.0,,,9960.0,0.0,9952,9968,9960.0,0.0,16,8.0,15,15,26.0,26.0,0.0,0.0,2.0,,3.0,,15,15,30,0.0,41.0,41.0,82.0,0.0,41.0,41.0,82.0,0.0,9960.0,0.0,9952.0,9968.0,9960.0,0.0,9950.731707317073,9969.90243902439,9960.317073170732,0.31707317073232844,9950.731707317073,9969.90243902439,9960.317073170732,0.31707317073232844,-1.0,-1.0,-1.0,0.0,1.0,1.0,1,1,1,0,1,1,-1.0,1.0,1.0,1,-1.0,3.0,3.0,1,2.0,4.0,4.0,1,,2.0,2.0,1,,1.0,1.0,1,,1.0,1.0,1,,-2.0,2.0,0,,-15.0,15.0,0,,-8.0,8.0,0,,20.0,20.0,1,,-9.0,9.0,0,9960.0,9960.5,1.4142135623730951,2.0816659994661326,0.0,-0.5,0.0,9959.17505634861,0.8249436513906403,9960.0,9960.5,1.4142135623730951,,0.0,-0.5,0.0,9958.68286362164,1.3171363783603738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.0551,-32.055099999999584,-0.8522343531032871,3,0,0
1,400,HYDROGEL_PACK,9953,10,9951.0,26.0,,,9969,10,9972.0,26.0,,,9961.0,0.0,9953,9969,9961.0,0.0,16,8.0,10,10,26.0,26.0,0.0,0.0,2.0,,3.0,,10,10,20,0.0,36.0,36.0,72.0,0.0,36.0,36.0,72.0,0.0,9961.0,0.0,9953.0,9969.0,9961.0,0.0,9951.555555555555,9971.166666666666,9961.36111111111,0.36111111110949423,9951.555555555555,9971.166666666666,9961.36111111111,0.36111111110949423,1.0,1.0,1.0,0.0,-5.0,-5.0,1,1,1,0,1,1,1.0,2.0,2.0,1,0.0,3.0,3.0,1,0.0,3.0,3.0,1,,0.0,0.0,0,,1.0,1.0,1,,1.0,1.0,1,,-4.5,4.5,0,,-17.0,17.0,0,,-10.0,10.0,0,,19.0,19.0,1,,-4.0,4.0,0,9960.2,9961.0,1.30384048104046,1.707825127659933,0.7999999999992724,0.0,0.6135719910773711,9959.506864285226,1.4931357147743256,9960.2,9961.0,1.30384048104046,1.707825127659933,0.7999999999992724,0.0,0.6135719910773711,9958.903543276721,2.0964567232786067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.0551,-31.055099999999584,-0.8256478082756841,4,0,0
1,500,HYDROGEL_PACK,9955,13,9952.0,23.0,,,9971,13,9973.0,23.0,,,9963.0,0.0,9955,9971,9963.0,0.0,16,8.0,13,13,23.0,23.0,0.0,0.0,3.0,,2.0,,13,13,26,0.0,36.0,36.0,72.0,0.0,36.0,36.0,72.0,0.0,9963.0,0.0,9955.0,9971.0,9963.0,0.0,9953.083333333334,9972.277777777777,9962.680555555555,-0.3194444444452529,9953.083333333334,9972.277777777777,9962.680555555555,-0.3194444444452529,2.0,2.0,2.0,0.0,3.0,3.0,1,1,1,0,1,1,2.0,1.0,1.0,1,3.0,1.0,1.0,1,2.0,-1.0,1.0,0,5.0,-4.0,4.0,0,,2.0,2.0,1,,-4.0,4.0,0,,-12.0,12.0,0,,-19.0,19.0,0,,-10.0,10.0,0,,17.0,17.0,1,,-10.0,10.0,0,9960.666666666666,9961.0,1.6329931618550957,1.5811388300841898,2.3333333333339397,2.0,1.4288690166242037,9960.14197986973,2.8580201302702335,9960.666666666666,9961.0,1.6329931618550957,1.5811388300841898,2.3333333333339397,2.0,1.4288690166242037,9959.293682012272,3.7063179877277435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.0551,-29.055099999999584,-0.772474718620478,5,0,0
1,600,HYDROGEL_PACK,9956,15,9954.0,28.0,,,9972,15,9975.0,28.0,,,9964.0,0.0,9956,9972,9964.0,0.0,16,8.0,15,15,28.0,28.0,0.0,0.0,2.0,,3.0,,15,15,30,0.0,43.0,43.0,86.0,0.0,43.0,43.0,86.0,0.0,9964.0,0.0,9956.0,9972.0,9964.0,0.0,9954.697674418605,9973.953488372093,9964.32558139535,0.32558139534921793,9954.697674418605,9973.953488372093,9964.32558139535,0.32558139534921793,1.0,1.0,1.0,0.0,2.0,2.0,1,1,1,0,1,1,1.0,0.0,0.0,0,3.0,-2.0,2.0,0,4.0,-3.0,3.0,0,3.0,-2.0,2.0,0,,1.0,1.0,1,,-5.0,5.0,0,,-12.0,12.0,0,,-22.0,22.0,0,,-8.5,8.5,0,,15.0,15.0,1,,-11.5,11.5,0,9961.142857142857,9961.0,1.951800145896448,1.4142135623730951,2.857142857143117,3.0,1.4638501094233967,9960.843438075233,3.15656192476672,9961.142857142857,9961.0,1.951800145896448,1.4142135623730951,2.857142857143117,3.0,1.4638501094233967,9959.741902773008,4.258097226991595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.0551,-28.055099999999584,-0.745888173792875,6,0,0
1,700,HYDROGEL_PACK,9956,11,9954.0,22.0,,,9972,11,9975.0,22.0,,,9964.0,0.0,9956,9972,9964.0,0.0,16,8.0,11,11,22.0,22.0,0.0,0.0,2.0,,3.0,,11,11,22,0.0,33.0,33.0,66.0,0.0,33.0,33.0,66.0,0.0,9964.0,0.0,9956.0,9972.0,9964.0,0.0,9954.666666666666,9974.0,9964.333333333332,0.3333333333321207,9954.666666666666,9974.0,9964.333333333332,0.3333333333321207,0.0,0.0,0.0,0.0,-4.0,-4.0,0,0,0,0,1,1,0.0,-2.0,2.0,0,1.0,-3.0,3.0,0,3.0,-5.0,5.0,0,3.0,-2.5,2.5,0,,2.0,2.0,1,,-6.0,6.0,0,,-14.0,14.0,0,,-22.0,22.0,0,,-4.0,4.0,0,,12.0,12.0,1,,-13.0,13.0,0,9961.5,9961.0,2.070196678026249,1.3451854182690985,2.5,3.0,1.2076147288495944,9961.417358425191,2.582641574808804,9961.5,9961.0,2.070196678026249,1.3451854182690985,2.5,3.0,1.2076147288495944,9960.147435842246,3.8525641577543865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.0551,-28.055099999999584,-0.745888173792875,7,0,0
1,800,HYDROGEL_PACK,9954,13,9952.0,24.0,,,9970,13,9973.0,24.0,,,9962.0,0.0,9954,9970,9962.0,0.0,16,8.0,13,13,24.0,24.0,0.0,0.0,2.0,,3.0,,13,13,26,0.0,37.0,37.0,74.0,0.0,37.0,37.0,74.0,0.0,9962.0,0.0,9954.0,9970.0,9962.0,0.0,9952.702702702703,9971.945945945947,9962.324324324325,0.32432432432506175,9952.702702702703,9971.945945945947,9962.324324324325,0.32432432432506175,-2.0,-2.0,-2.0,0.0,2.0,2.0,1,1,1,0,1,1,-2.0,-1.0,1.0,0,-2.0,-3.0,3.0,0,-1.0,0.0,0.0,0,2.0,-1.0,1.0,0,,3.0,3.0,1,,-5.0,5.0,0,,-15.0,15.0,0,,-22.0,22.0,0,,-2.0,2.0,0,,13.0,13.0,1,,-18.0,18.0,0,9961.555555555555,9961.0,1.9436506316142996,1.6035674514745464,0.4444444444452529,1.0,0.2286647801905219,9961.523293256974,0.4767067430257157,9961.555555555555,9961.0,1.9436506316142996,1.6035674514745464,0.4444444444452529,1.0,0.2286647801905219,9960.323870523936,1.6761294760635792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.0551,-30.055099999999584,-0.799061263448081,8,0,0
1,900,HYDROGEL_PACK,9953,12,9951.0,20.0,,,9969,12,9972.0,20.0,,,9961.0,0.0,9953,9969,9961.0,0.0,16,8.0,12,12,20.0,20.0,0.0,0.0,2.0,,3.0,,12,12,24,0.0,32.0,32.0,64.0,0.0,32.0,32.0,64.0,0.0,9961.0,0.0,9953.0,9969.0,9961.0,0.0,9951.75,9970.875,9961.3125,0.3125,9951.75,9970.875,9961.3125,0.3125,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1,1,1,0,1,1,-1.0,-2.0,2.0,0,-3.0,1.0,1.0,1,-3.0,0.5,0.5,1,0.0,1.0,1.0,1,,0.0,0.0,0,,-3.5,3.5,0,,-11.0,11.0,0,,-19.0,19.0,0,,-1.0,1.0,0,,18.0,18.0,1,,-16.5,16.5,0,9961.5,9961.0,1.8408935028638074,1.5811388300841898,-0.5,0.0,-0.2716072381276642,9961.428149028434,-0.42814902843383607,9961.5,9961.0,1.8408935028638074,1.5811388300841898,-0.5,0.0,-0.2716072381276642,9960.388263807372,0.6117361926280864,9961.5,9961.0,1.8408935028638074,,-0.5,0.0,-0.2716072381276642,9959.193678217216,1.8063217827839253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9992.0551,-31.055099999999584,-0.8256478082756841,9,0,0
