feature,spread,half_spread,bid_size_1,ask_size_1,bid_size_2,ask_size_2,bid_size_3,ask_size_3,bid_depth_L1,ask_depth_L1,bid_depth_L2,ask_depth_L2,bid_depth_L3,ask_depth_L3,total_depth_L1,total_depth_L2,total_depth_L3,imbalance_L1,imbalance_L2,imbalance_L3,micro_edge_L1,book_wap_edge_L1,book_wap_edge_L2,book_wap_edge_L3,bid_gap_12,ask_gap_12,bid_gap_23,ask_gap_23,mid_change,bid_change,ask_change,spread_change,bid_size_1_change,ask_size_1_change,dev_global_mean,z_global_mean,past_ret_1,past_ret_2,past_ret_3,past_ret_5,past_ret_10,past_ret_20,past_ret_50,roll_vol_ret1_10,dev_roll_mean_10,dev_roll_median_10,z_roll_mean_10,dev_ema_10,roll_vol_ret1_20,dev_roll_mean_20,dev_roll_median_20,z_roll_mean_20,dev_ema_20,roll_vol_ret1_50,dev_roll_mean_50,dev_roll_median_50,z_roll_mean_50,dev_ema_50,roll_vol_ret1_100,dev_roll_mean_100,dev_roll_median_100,z_roll_mean_100,dev_ema_100,roll_vol_ret1_200,dev_roll_mean_200,dev_roll_median_200,z_roll_mean_200,dev_ema_200,roll_vol_ret1_500,dev_roll_mean_500,dev_roll_median_500,z_roll_mean_500,dev_ema_500,roll_vol_ret1_1000,dev_roll_mean_1000,dev_roll_median_1000,z_roll_mean_1000,dev_ema_1000,future_ret_1,future_ret_2,future_ret_3,future_ret_5,future_ret_10,future_ret_20,future_ret_50,future_ret_100,future_ret_200,future_ret_500,future_ret_1000,past_ret_100,past_ret_200,past_ret_500,past_ret_1000
spread,1.0,1.0,0.2473276204558328,0.27153431655116966,0.2976986539727195,0.31712798334230596,-0.6536506389732261,-0.7178899337416338,0.2473276204558328,0.27153431655116966,0.3566695726201776,0.3847207419284196,-0.1704309689838507,-0.17550970316587522,0.2714117723047914,0.4034977524447534,-0.17582635844222858,-0.04346301802038842,-0.031556457797444724,0.011245150775762717,0.01444705796452391,,-0.08534139169730272,-0.07895717943894968,-0.5492959411023604,-0.6204782966692449,0.757297867981588,0.8463820376009515,0.039557196557324,-0.2665195711988361,0.3283558490479004,0.700447487185127,0.17246221770407544,0.18563428429778958,0.04005034046611142,0.04005034046611131,0.039557196557324,0.033151169706451,0.024533743561290507,0.024580187234417582,0.0127650505675901,0.0006750960911425863,0.018093523765200164,-0.10921604096807656,0.025673242913558394,0.025982208826595972,0.02188026056407227,0.026892077168035506,-0.08522866531166874,0.016831267583605616,0.01685601702964233,0.0175987742383278,0.019541608355696665,-0.0656333120343111,0.013659164926516192,0.01358380649161949,0.018827173895377313,0.017853086165113944,-0.0350192248069562,0.019654225107770262,0.021446406362320338,0.022039678047681317,0.020415608636752694,-0.030808421197532448,0.0208708539709867,0.018962774828545713,0.022023899820825456,0.02245684167365987,-0.01759415125443786,0.020176441316220588,0.01880690402812702,0.021880048691264534,0.023684573768554696,-0.014341499087279552,0.023846258893131266,0.02246390472407347,0.02583272325711735,0.024834242609047454,-0.020234216615270972,-0.027082488739587282,-0.02082845108588154,-0.0193194949507269,-0.013372594967193337,-0.024709447466797426,-0.017669329099163907,-0.024892618240798105,-0.01865236413375207,-0.023175518378910177,-0.041018152157912276,0.016108413724765933,0.016343252359194444,0.019791703046849397,0.021125621081845822
half_spread,1.0,1.0,0.2473276204558328,0.27153431655116966,0.2976986539727195,0.31712798334230596,-0.6536506389732261,-0.7178899337416338,0.2473276204558328,0.27153431655116966,0.3566695726201776,0.3847207419284196,-0.1704309689838507,-0.17550970316587522,0.2714117723047914,0.4034977524447534,-0.17582635844222858,-0.04346301802038842,-0.031556457797444724,0.011245150775762717,0.01444705796452391,,-0.08534139169730272,-0.07895717943894968,-0.5492959411023604,-0.6204782966692449,0.757297867981588,0.8463820376009515,0.039557196557324,-0.2665195711988361,0.3283558490479004,0.700447487185127,0.17246221770407544,0.18563428429778958,0.04005034046611142,0.04005034046611131,0.039557196557324,0.033151169706451,0.024533743561290507,0.024580187234417582,0.0127650505675901,0.0006750960911425863,0.018093523765200164,-0.10921604096807656,0.025673242913558394,0.025982208826595972,0.02188026056407227,0.026892077168035506,-0.08522866531166874,0.016831267583605616,0.01685601702964233,0.0175987742383278,0.019541608355696665,-0.0656333120343111,0.013659164926516192,0.01358380649161949,0.018827173895377313,0.017853086165113944,-0.0350192248069562,0.019654225107770262,0.021446406362320338,0.022039678047681317,0.020415608636752694,-0.030808421197532448,0.0208708539709867,0.018962774828545713,0.022023899820825456,0.02245684167365987,-0.01759415125443786,0.020176441316220588,0.01880690402812702,0.021880048691264534,0.023684573768554696,-0.014341499087279552,0.023846258893131266,0.02246390472407347,0.02583272325711735,0.024834242609047454,-0.020234216615270972,-0.027082488739587282,-0.02082845108588154,-0.0193194949507269,-0.013372594967193337,-0.024709447466797426,-0.017669329099163907,-0.024892618240798105,-0.01865236413375207,-0.023175518378910177,-0.041018152157912276,0.016108413724765933,0.016343252359194444,0.019791703046849397,0.021125621081845822
bid_size_1,0.2473276204558328,0.2473276204558328,1.0,0.8271458471044346,0.15284135204580335,-0.015417598432945408,-0.37075648580218135,0.006529045764546101,1.0,0.8271458471044346,0.56413352921972,0.35109542426343193,0.31882309850661683,0.40527455831076115,0.9559059989972485,0.49880851884498173,0.3679935163184896,0.29287575161088236,0.27349533181133195,-0.23907632113190264,0.30921899210374815,,0.19489058313495364,0.23396865626354985,-0.2999844402728046,0.012301826184131639,-0.033578603041304306,0.08123318777208849,-0.06652413486028562,-0.1378642166119682,0.014921981171039135,0.17721941300841856,0.7077565077517268,0.5860481898128382,0.00870002832070335,0.008700028320703391,-0.06652413486028562,-0.04977012139286166,-0.04093174822316485,-0.01897597782695794,-0.0196502516487753,-0.022514241308721466,-0.018929495631464874,-0.02371994271097104,-0.030341762984646244,-0.02835737785096227,-0.03605846148299717,-0.036542340503144644,-0.024531565303931312,-0.025261946895255953,-0.020375738844433264,-0.02722960389675701,-0.029556515589002293,-0.0026038079148243886,-0.023513925618399253,-0.022702526015765157,-0.019291546898716778,-0.0257826373629433,-0.0034001253600617672,-0.021755253673720765,-0.02109108583462611,-0.0195526092195937,-0.023949986071135167,-0.007806549824722511,-0.0205256436677387,-0.01928824696293084,-0.020823605019844003,-0.02197581953757591,0.0018792722103897908,-0.016509194527788592,-0.014702853592399341,-0.020586154560396013,-0.017001179729211526,0.00671592642280629,-0.00931661540291371,-0.007579719964842797,-0.012760524051069684,-0.011154694326282848,0.09304894873196708,0.08165583019652495,0.06606763993822415,0.040673480029854145,0.028941758274380648,0.0198617432122033,0.01759882118213761,0.006863515001715449,0.007462409917816651,0.011951137161817029,-0.006571701125262131,-0.02124075145436123,-0.015731877264898175,-0.004986749044304066,-0.005825000544620343
ask_size_1,0.27153431655116966,0.27153431655116966,0.8271458471044346,1.0,-0.011895549579705563,0.14518305186526514,0.002531006537691223,-0.36409295042382817,0.8271458471044347,1.0,0.3510563070950008,0.5614794894068502,0.405370296940074,0.3280594956623344,0.9557140743556386,0.4961456185573123,0.37280867403880885,-0.2897670572977305,-0.25984514916899526,0.21639945669374663,-0.2714342930021554,,-0.20982673118941134,-0.24234285612566156,-0.004825391053360368,-0.30410592383422214,-0.01267154688762504,0.09567626270420662,0.10255512205735375,0.011562609456332716,0.1714694546314471,0.19149988542103522,0.5848187660372666,0.707264637603255,0.00843467687088736,0.008434676870887343,0.10255512205735375,0.07308745411602802,0.05996160575328309,0.06119406587009817,0.036245606402644244,0.0168292460244717,0.0065036392387730355,-0.03142016361898525,0.06490730166116461,0.06567932309728887,0.05905525535401209,0.06640192338499631,-0.03512927997968435,0.04230331211425022,0.044344133929566064,0.0518365433544047,0.04644308900771994,-0.011581773350973722,0.020266820873287066,0.019843541122838246,0.0325767641837524,0.024023276053122527,-0.010340111660346632,0.009051272346351372,0.0081193877486046,0.017628919014636254,0.012106528217829149,-0.005711959430313175,0.0016073159959078657,0.0020751898037855766,0.0035191579085859103,0.004559303688765322,-0.0008243275720192406,-0.0015519256037768113,-0.0006374909775879295,-0.0028740463106453978,0.0006849376656810484,0.003998235717226457,0.0018346982894683888,0.0027474835834731134,0.0019226165213142657,0.0018673069620678477,-0.08405638949762752,-0.055281926818568236,-0.04957300833311474,-0.04592669210673081,-0.0321947558530288,-0.024224647103855166,-0.017990347809771597,-0.016000719217900583,-0.009730385075235406,-0.006095198864709638,-0.011803439968732348,-0.00437325227736037,0.00011346215265592174,0.0011815133014011136,0.004552539821410096
bid_size_2,0.2976986539727195,0.2976986539727195,0.15284135204580335,-0.011895549579705563,1.0,0.7706479745437567,-0.45590101684884765,0.028296225656426578,0.15284135204580335,-0.011895549579705568,0.9022053307852035,0.639298244257722,0.6314862564261664,0.7519727353220889,0.07382252278373078,0.8398630889690579,0.7031070435693892,0.27887850334076786,0.34081763730213005,-0.32941175908635073,0.2964865489828599,,0.20863754365915718,0.2785763879647211,-0.3591941535682142,0.01389695607392648,-0.01267154688762504,0.028019183491592853,-0.1018060908386122,-0.18075464451675946,-0.0064142129134370455,0.20131493065265652,0.10621875260242543,-0.00790046916271536,0.014870608243145678,0.014870608243145645,-0.1018060908386122,-0.08276605896744656,-0.06838278522306829,-0.05020992972706936,-0.032497282196110686,-0.0340499424974996,-0.020182581986394242,-0.017512761035169744,-0.05887751323091794,-0.05899548649288723,-0.06124194519588597,-0.0655985444231412,-0.0018992913871173794,-0.04407509484970995,-0.0440801649020235,-0.050290316021523854,-0.04998219912226685,-0.003291443703491314,-0.03096911017584209,-0.03128253539247143,-0.034263161091181,-0.03397203534750481,0.0054976556679938934,-0.020057994549624147,-0.019446614378938288,-0.020047405164851078,-0.024415976264467548,-0.0059854337689381875,-0.014795112205220735,-0.014172351767503916,-0.014171515144385345,-0.01879860761627617,0.006833999125762992,-0.011174868248274038,-0.012701279142576497,-0.007481181641706427,-0.012274067320173086,0.016674676082311556,-0.005811577020493793,-0.0034520383738750353,-0.008830329361865077,-0.006614823678089266,0.11568465110857103,0.08550455369296758,0.07085701369496451,0.06127756752899732,0.04497144104070189,0.024340429131300353,0.010113481378052184,0.010846974214331952,0.01430530161739624,0.016123122255542775,-0.0065445600868527,-0.003068879075138401,-0.01272607096383244,0.001246449090263336,-0.006265760489134287
ask_size_2,0.31712798334230596,0.31712798334230596,-0.015417598432945408,0.14518305186526514,0.7706479745437567,1.0,0.026324914353373235,-0.43909803696009964,-0.0154175984329454,0.14518305186526517,0.637147672613716,0.9002405408609788,0.755007273191646,0.6496159952685283,0.06779328282177484,0.8361361928060786,0.7139633362803637,-0.2752779182074405,-0.321559150752034,0.29223045614519677,-0.2562174467719128,,-0.2410122494536902,-0.29617423194774106,0.011829255324629528,-0.3711498580724152,-0.020842950810693685,0.08123318777208849,0.10954451936588992,0.00971229782858132,0.18570856443336073,0.21065168826794653,-0.013703721683762337,0.101124503629282,0.013779356336144384,0.013779356336144407,0.10954451936588992,0.07546046236854828,0.05820263045342353,0.055183082957888166,0.04133020304614642,0.016280793193958455,0.009986541544421995,-0.02727074460541477,0.06419228299048906,0.0630075020659425,0.059166938805250195,0.06680086342324722,-0.013814771546837561,0.043855363954669095,0.03943581033682193,0.04817489790985341,0.047875740858311436,-0.011077992841417608,0.023986024402759952,0.021492508531418607,0.028930371661294432,0.028392954752302243,0.0005124904970834782,0.01598183237571464,0.015646670350376247,0.021687989452595917,0.018596955494937412,-0.0024439023516985127,0.008973381414029528,0.008057821399299368,0.01116178174897084,0.011378894071115019,0.006866076744660395,0.005320459498631741,0.0023468228804662972,0.011146444263224595,0.0074947076955542025,0.014488310966077125,0.007129360439017325,0.008417226416781522,0.007046873887571045,0.008337002530363789,-0.10434643456527272,-0.08178067319885678,-0.07058556944607802,-0.04977088663578293,-0.03435800923275387,-0.03214633998394752,-0.03185813863181713,-0.014621743837287838,-0.004799581401351196,-0.0028358541400688706,-0.012065543134929,0.01215856351572615,0.0026988867882170565,0.007273077086353659,0.006801035387825992
bid_size_3,-0.6536506389732261,-0.6536506389732261,-0.37075648580218135,0.002531006537691223,-0.45590101684884765,0.026324914353373235,1.0,-0.016390225319746005,-0.37075648580218135,0.002531006537691224,-0.5427162831104202,0.02313067672888046,0.26411489901209034,0.012325955832114167,-0.19283203859468337,-0.28443659540961047,0.14061513531017686,-0.6263271982875602,-0.7146524845937083,0.6982344769489259,-0.6642082350754414,,-0.4612102272938518,-0.5981010384713752,0.7843771073069942,-0.022398594234705478,-0.020842950810693685,,0.21127629071945747,0.3944975166000177,-0.005442778429231473,-0.46259905270089446,-0.2592354444686196,0.005946947131510317,-0.0034326681341054536,-0.0034326681341054367,0.21127629071945747,0.15529648712843938,0.12672635910962754,0.10203860411944224,0.07407839591539453,0.059496253830013585,0.02680772385826021,0.06587484974818669,0.12123274944155223,0.11962357597100637,0.1217353743958299,0.13138782167075935,0.04527097419121299,0.08873618939575867,0.08370578752745557,0.10102911313042308,0.09857532120189413,0.03415072342712414,0.056072004098610316,0.05414584511771834,0.06278546031058348,0.062066810103079205,0.015792424632565184,0.032891417683107195,0.030269718677637465,0.03821987026521062,0.040541740798175206,0.020515423657014274,0.01975346890886349,0.019764322012694988,0.020816658165882292,0.02658324362362145,0.0043051412150957894,0.014551493179129437,0.013588931814513993,0.015767628998606703,0.016845459033596497,0.0019502988739322638,0.01047838696644715,0.009082346549546243,0.012255175276022162,0.013353735517401611,-0.2379537089610632,-0.17450808138426796,-0.1496368503991221,-0.11648342604121802,-0.08393895266824417,-0.0500772032840725,-0.04227630470048008,-0.019238860812308495,-0.01841492814400608,-0.020054312953741823,0.007726036831474514,0.01414935435380837,0.013369171672663532,0.00272349669419312,0.012778689031519344
ask_size_3,-0.7178899337416338,-0.7178899337416338,0.006529045764546101,-0.36409295042382817,0.028296225656426578,-0.43909803696009964,-0.016390225319746005,1.0,0.00652904576454609,-0.36409295042382817,0.026491000103142502,-0.527461558316933,0.015876632502426918,0.2540920682909244,-0.1868418021948781,-0.2711384490861387,0.137110191676882,0.6234595197136767,0.6932916134666935,-0.6560512043623354,0.5807787307543741,,0.5332614527459253,0.6514928858479851,-0.009232222985400862,0.8254355194800828,,0.028019183491592853,-0.2471872820432897,-0.011301176407370465,-0.4293229043649707,-0.49987977009520757,0.008565786411954003,-0.2502169586275327,-0.0023761599634994847,-0.0023761599634994396,-0.2471872820432897,-0.1865231767292797,-0.14874460685589166,-0.1256161366845945,-0.0849024618543384,-0.05084994734115297,-0.04127378506748778,0.08907999534358957,-0.14459058441096162,-0.14352506235899526,-0.13955604278135889,-0.15523071225195814,0.07552561101142716,-0.10186560763236059,-0.0981174640431823,-0.11380127402979304,-0.1137966263059853,0.05605409231077251,-0.06448950911584284,-0.062282818396430926,-0.0766397896180417,-0.07492881362937838,0.030375834086165874,-0.04838269333903329,-0.04858864228759794,-0.05682431807661123,-0.05587549366127809,0.014215280555636913,-0.03605137141416677,-0.03292765262271835,-0.039035830106054416,-0.0425847802898897,0.006997629928342094,-0.024120977369327428,-0.022106180565084097,-0.028549522871750044,-0.0291172845678222,0.008255254096174959,-0.01934233551323205,-0.017964930549480777,-0.02571642326012028,-0.02139903753059077,0.24213975827071624,0.19131155439341294,0.16147856191825927,0.1254450724524976,0.08918695888353413,0.07127211803246382,0.051036684675514074,0.03827184804039748,0.025368934276744158,0.02528983384327231,0.02146427238201978,-0.024736457285363677,-0.023913783756179436,-0.011803528141215405,-0.0154826117656131
bid_depth_L1,0.2473276204558328,0.2473276204558328,1.0,0.8271458471044347,0.15284135204580335,-0.0154175984329454,-0.37075648580218135,0.00652904576454609,1.0,0.8271458471044346,0.56413352921972,0.35109542426343193,0.31882309850661683,0.40527455831076115,0.9559059989972485,0.49880851884498173,0.3679935163184896,0.29287575161088236,0.27349533181133195,-0.23907632113190264,0.30921899210374815,,0.19489058313495364,0.23396865626354985,-0.2999844402728046,0.012301826184131639,-0.033578603041304306,0.08123318777208849,-0.06652413486028562,-0.1378642166119682,0.014921981171039135,0.17721941300841856,0.7077565077517268,0.5860481898128382,0.00870002832070335,0.008700028320703391,-0.06652413486028562,-0.04977012139286166,-0.04093174822316485,-0.01897597782695794,-0.0196502516487753,-0.022514241308721466,-0.018929495631464874,-0.02371994271097104,-0.030341762984646244,-0.02835737785096227,-0.03605846148299717,-0.036542340503144644,-0.024531565303931312,-0.025261946895255953,-0.020375738844433264,-0.02722960389675701,-0.029556515589002293,-0.0026038079148243886,-0.023513925618399253,-0.022702526015765157,-0.019291546898716778,-0.0257826373629433,-0.0034001253600617672,-0.021755253673720765,-0.02109108583462611,-0.0195526092195937,-0.023949986071135167,-0.007806549824722511,-0.0205256436677387,-0.01928824696293084,-0.020823605019844003,-0.02197581953757591,0.0018792722103897908,-0.016509194527788592,-0.014702853592399341,-0.020586154560396013,-0.017001179729211526,0.00671592642280629,-0.00931661540291371,-0.007579719964842797,-0.012760524051069684,-0.011154694326282848,0.09304894873196708,0.08165583019652495,0.06606763993822415,0.040673480029854145,0.028941758274380648,0.0198617432122033,0.01759882118213761,0.006863515001715449,0.007462409917816651,0.011951137161817029,-0.006571701125262131,-0.02124075145436123,-0.015731877264898175,-0.004986749044304066,-0.005825000544620343
ask_depth_L1,0.27153431655116966,0.27153431655116966,0.8271458471044346,1.0,-0.011895549579705568,0.14518305186526517,0.002531006537691224,-0.36409295042382817,0.8271458471044346,1.0,0.3510563070950008,0.5614794894068502,0.405370296940074,0.3280594956623344,0.9557140743556386,0.4961456185573123,0.37280867403880885,-0.2897670572977305,-0.25984514916899526,0.21639945669374663,-0.2714342930021554,,-0.20982673118941134,-0.24234285612566156,-0.004825391053360368,-0.30410592383422214,-0.01267154688762504,0.09567626270420662,0.10255512205735375,0.011562609456332716,0.1714694546314471,0.19149988542103522,0.5848187660372666,0.707264637603255,0.00843467687088736,0.008434676870887343,0.10255512205735375,0.07308745411602802,0.05996160575328309,0.06119406587009817,0.036245606402644244,0.0168292460244717,0.0065036392387730355,-0.03142016361898525,0.06490730166116461,0.06567932309728887,0.05905525535401209,0.06640192338499631,-0.03512927997968435,0.04230331211425022,0.044344133929566064,0.0518365433544047,0.04644308900771994,-0.011581773350973722,0.020266820873287066,0.019843541122838246,0.0325767641837524,0.024023276053122527,-0.010340111660346632,0.009051272346351372,0.0081193877486046,0.017628919014636254,0.012106528217829149,-0.005711959430313175,0.0016073159959078657,0.0020751898037855766,0.0035191579085859103,0.004559303688765322,-0.0008243275720192406,-0.0015519256037768113,-0.0006374909775879295,-0.0028740463106453978,0.0006849376656810484,0.003998235717226457,0.0018346982894683888,0.0027474835834731134,0.0019226165213142657,0.0018673069620678477,-0.08405638949762752,-0.055281926818568236,-0.04957300833311474,-0.04592669210673081,-0.0321947558530288,-0.024224647103855166,-0.017990347809771597,-0.016000719217900583,-0.009730385075235406,-0.006095198864709638,-0.011803439968732348,-0.00437325227736037,0.00011346215265592174,0.0011815133014011136,0.004552539821410096
