event,rel_step,avg_mid_minus_event_mid
tight_spread_bottom_10pct,-20,0.5775
tight_spread_bottom_10pct,-19,0.5925
tight_spread_bottom_10pct,-18,0.605
tight_spread_bottom_10pct,-17,0.585
tight_spread_bottom_10pct,-16,0.6525
tight_spread_bottom_10pct,-15,0.6225
tight_spread_bottom_10pct,-14,0.85
tight_spread_bottom_10pct,-13,1.1225
tight_spread_bottom_10pct,-12,0.97
tight_spread_bottom_10pct,-11,1.09
tight_spread_bottom_10pct,-10,1.0825
tight_spread_bottom_10pct,-9,1.31
tight_spread_bottom_10pct,-8,1.195
tight_spread_bottom_10pct,-7,1.01
tight_spread_bottom_10pct,-6,0.73
tight_spread_bottom_10pct,-5,0.6575
tight_spread_bottom_10pct,-4,0.25
tight_spread_bottom_10pct,-3,0.4675
tight_spread_bottom_10pct,-2,0.2875
tight_spread_bottom_10pct,-1,0.155
tight_spread_bottom_10pct,0,0.0
tight_spread_bottom_10pct,1,-0.1
tight_spread_bottom_10pct,2,-0.07
tight_spread_bottom_10pct,3,-0.315
tight_spread_bottom_10pct,4,-0.19
tight_spread_bottom_10pct,5,0.0475
tight_spread_bottom_10pct,6,-0.025
tight_spread_bottom_10pct,7,-0.2025
tight_spread_bottom_10pct,8,-0.195
tight_spread_bottom_10pct,9,-0.1425
tight_spread_bottom_10pct,10,-0.035
tight_spread_bottom_10pct,11,-0.3775
tight_spread_bottom_10pct,12,-0.24
tight_spread_bottom_10pct,13,0.0075
tight_spread_bottom_10pct,14,0.1475
tight_spread_bottom_10pct,15,-0.0275
tight_spread_bottom_10pct,16,-0.2875
tight_spread_bottom_10pct,17,-0.1725
tight_spread_bottom_10pct,18,-0.175
tight_spread_bottom_10pct,19,-0.285
tight_spread_bottom_10pct,20,-0.04
tight_spread_bottom_10pct,21,-0.215
tight_spread_bottom_10pct,22,0.185
tight_spread_bottom_10pct,23,0.2375
tight_spread_bottom_10pct,24,0.4775
tight_spread_bottom_10pct,25,0.535
tight_spread_bottom_10pct,26,0.3825
tight_spread_bottom_10pct,27,0.445
tight_spread_bottom_10pct,28,0.79
tight_spread_bottom_10pct,29,0.7875
tight_spread_bottom_10pct,30,0.925
tight_spread_bottom_10pct,31,1.005
tight_spread_bottom_10pct,32,0.8675
tight_spread_bottom_10pct,33,0.855
tight_spread_bottom_10pct,34,0.84
tight_spread_bottom_10pct,35,1.0975
tight_spread_bottom_10pct,36,1.28
tight_spread_bottom_10pct,37,1.3025
tight_spread_bottom_10pct,38,1.36
tight_spread_bottom_10pct,39,1.445
tight_spread_bottom_10pct,40,1.505
tight_spread_bottom_10pct,41,1.485
tight_spread_bottom_10pct,42,1.395
tight_spread_bottom_10pct,43,1.11
tight_spread_bottom_10pct,44,1.0175
tight_spread_bottom_10pct,45,0.71
tight_spread_bottom_10pct,46,0.89
tight_spread_bottom_10pct,47,0.67
tight_spread_bottom_10pct,48,0.5375
tight_spread_bottom_10pct,49,0.3425
tight_spread_bottom_10pct,50,0.305
tight_spread_bottom_10pct,51,0.4025
tight_spread_bottom_10pct,52,0.1225
tight_spread_bottom_10pct,53,0.0625
tight_spread_bottom_10pct,54,0.4025
tight_spread_bottom_10pct,55,0.45
tight_spread_bottom_10pct,56,0.125
tight_spread_bottom_10pct,57,0.2175
tight_spread_bottom_10pct,58,0.325
tight_spread_bottom_10pct,59,0.22
tight_spread_bottom_10pct,60,-0.1025
tight_spread_bottom_10pct,61,-0.0125
tight_spread_bottom_10pct,62,0.0925
tight_spread_bottom_10pct,63,0.275
tight_spread_bottom_10pct,64,0.1425
tight_spread_bottom_10pct,65,0.145
tight_spread_bottom_10pct,66,0.2375
