timestamp,buyer,seller,symbol,currency,price,quantity,mid_price,best_bid,best_ask,spread,imbalance_L1,microprice_L1,micro_edge_L1,future_ret_1,future_ret_2,future_ret_3,future_ret_5,future_ret_10,future_ret_20,future_ret_50,future_ret_100,future_ret_200,future_ret_500,future_ret_1000,trade_vs_mid,trade_vs_microprice,side_guess,signed_qty
5100,,,HYDROGEL_PACK,XIRECS,9960.0,4,9956.0,9952,9960,8,0.4666666666666667,9957.866666666667,1.866666666666788,0.0,2.0,0.5,-4.0,-7.0,-7.0,-12.0,1.0,-3.0,-8.0,-6.0,4.0,2.133333333333212,buyer_initiated,4
6200,,,HYDROGEL_PACK,XIRECS,9955.0,5,9947.0,9939,9955,16,0.0,9947.0,0.0,-1.0,0.0,-6.5,-2.0,-1.0,-2.0,-6.0,9.0,-5.0,3.0,5.0,8.0,8.0,buyer_initiated,5
15000,,,HYDROGEL_PACK,XIRECS,9966.0,4,9958.5,9951,9966,15,0.0,9958.5,0.0,-1.5,-2.5,-1.5,-1.5,-0.5,-11.5,-7.5,-6.5,-6.5,-20.0,-13.5,7.5,7.5,buyer_initiated,4
22800,,,HYDROGEL_PACK,XIRECS,9946.0,6,9954.0,9946,9962,16,0.0,9954.0,0.0,0.0,-1.0,-1.0,-3.0,-1.0,-1.0,-14.0,2.0,0.0,11.0,-5.0,-8.0,-8.0,seller_initiated,-6
30800,,,HYDROGEL_PACK,XIRECS,9940.0,2,9948.0,9940,9956,16,0.0,9948.0,0.0,-2.0,-2.0,-3.0,-1.0,0.0,8.0,1.5,-3.0,27.0,37.0,6.0,-8.0,-8.0,seller_initiated,-2
31400,,,HYDROGEL_PACK,XIRECS,9953.0,3,9945.0,9937,9953,16,0.0,9945.0,0.0,0.0,0.0,2.0,0.5,5.0,10.0,4.0,-1.0,31.0,28.0,4.0,8.0,8.0,buyer_initiated,3
32000,,,HYDROGEL_PACK,XIRECS,9938.0,5,9946.0,9938,9954,16,0.0,9946.0,0.0,1.0,1.0,3.0,6.0,9.0,5.0,1.0,5.0,27.0,24.0,0.0,-8.0,-8.0,seller_initiated,-5
33600,,,HYDROGEL_PACK,XIRECS,9948.0,6,9956.0,9948,9964,16,0.0,9956.0,0.0,-1.0,-3.0,-2.0,-6.0,-6.0,-2.0,-13.0,6.5,10.0,19.0,2.0,-8.0,-8.0,seller_initiated,-6
37400,,,HYDROGEL_PACK,XIRECS,9936.0,4,9944.0,9936,9952,16,0.0,9944.0,0.0,2.0,4.0,2.0,7.0,1.0,-1.0,17.0,25.0,9.0,19.5,12.5,-8.0,-8.0,seller_initiated,-4
40900,,,HYDROGEL_PACK,XIRECS,9951.0,5,9943.0,9935,9951,16,0.0,9943.0,0.0,1.0,1.0,2.0,1.0,5.0,10.0,26.0,36.0,11.0,14.0,16.0,8.0,8.0,buyer_initiated,5
