metric,count,missing,mean,median,std,min,p01,p05,p10,p25,p75,p90,p95,p99,max,n_unique
mid_price,10000,0,9989.4034,9993.0,31.622160972116607,9891.0,9908.0,9926.0,9944.0,9971.0,10012.0,10027.0,10035.0,10044.0,10051.0,307
computed_mid,10000,0,9989.4034,9993.0,31.622160972116607,9891.0,9908.0,9926.0,9944.0,9971.0,10012.0,10027.0,10035.0,10044.0,10051.0,307
mid_error,10000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
best_bid,10000,0,9981.5359,9985.0,31.601287558065305,9883.0,9900.99,9918.0,9936.0,9964.0,10004.0,10019.0,10027.0,10036.0,10046.0,161
best_ask,10000,0,9997.2709,10001.0,31.6587103430329,9898.0,9916.0,9934.0,9952.0,9979.0,10020.0,10035.0,10043.0,10051.0,10059.0,161
spread,10000,0,15.735,16.0,1.4093876817127842,7.0,8.0,15.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,6
half_spread,10000,0,7.8675,8.0,0.7046938408563921,3.5,4.0,7.5,8.0,8.0,8.0,8.0,8.0,8.5,8.5,6
bid_size_1,10000,0,12.4388,12.0,1.8276730010753803,4.0,8.0,10.0,10.0,11.0,14.0,15.0,15.0,15.0,15.0,12
ask_size_1,10000,0,12.4239,12.0,1.8571358823113988,4.0,8.0,10.0,10.0,11.0,14.0,15.0,15.0,15.0,15.0,12
bid_size_2,10000,0,24.8579,25.0,3.475559745070447,10.0,14.0,20.0,20.0,22.0,28.0,29.0,30.0,30.0,30.0,17
ask_size_2,10000,0,24.8164,25.0,3.529098538387582,10.0,13.0,20.0,20.0,22.0,28.0,29.0,30.0,30.0,30.0,17
bid_size_3,10000,0,0.3485,0.0,2.935900151737128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,12
ask_size_3,10000,0,0.421,0.0,3.2594510890854327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,30.0,12
bid_depth_L1,10000,0,12.4388,12.0,1.8276730010753803,4.0,8.0,10.0,10.0,11.0,14.0,15.0,15.0,15.0,15.0,12
ask_depth_L1,10000,0,12.4239,12.0,1.8571358823113988,4.0,8.0,10.0,10.0,11.0,14.0,15.0,15.0,15.0,15.0,12
bid_depth_L2,10000,0,37.2967,37.0,4.156199767774759,14.0,21.0,31.0,32.0,35.0,40.0,42.0,43.0,45.0,45.0,28
ask_depth_L2,10000,0,37.2403,37.0,4.263117794212674,14.0,20.0,31.0,32.0,35.0,40.0,42.0,43.0,45.0,45.0,28
bid_depth_L3,10000,0,37.6452,38.0,3.6918125504947836,30.0,30.0,32.0,33.0,35.0,40.0,43.0,44.0,45.0,53.0,24
ask_depth_L3,10000,0,37.6613,38.0,3.711948297864155,30.0,30.0,32.0,33.0,35.0,40.0,43.0,44.0,45.0,55.0,24
imbalance_L1,10000,0,0.0008522100953965941,0.0,0.05724768784149723,-0.5789473684210527,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2382142857142883,0.5789473684210527,69
imbalance_L2,10000,0,0.0009667472166137855,0.0,0.05645915025092953,-0.4716981132075472,-0.27586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.29826315789473723,0.45454545454545453,169
imbalance_L3,10000,0,-0.00019207382168265027,0.0,0.015564788753885733,-0.13157894736842105,-0.07463059701492536,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.1388888888888889,140
microprice_L1,10000,0,9989.40469620008,9993.0,31.62344566396029,9891.0,9908.0,9926.0,9944.0,9971.0,10012.0,10027.0,10035.0,10043.789578947368,10051.0,556
micro_edge_L1,10000,0,0.0012962000803352566,0.0,0.22715368791893353,-2.605263157895024,-0.869565217391937,0.0,0.0,0.0,0.0,0.0,0.0,0.8751388888888899,2.315789473685072,122
bid_gap_12,10000,0,2.5718,3.0,0.776469606942249,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,7.0,8.0,4
ask_gap_12,10000,0,2.5933,3.0,0.9143187124142146,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,8.0,9.0,4
bid_gap_23,141,9859,2.4609929078014185,2.0,0.5002532286817191,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2
ask_gap_23,167,9833,2.5149700598802394,3.0,0.5012789357107935,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2
dev_global_mean,10000,0,7.625203579664231e-13,3.5966000000007625,31.62216097211661,-98.40339999999924,-81.40339999999924,-63.40339999999924,-45.40339999999924,-18.403399999999237,22.596600000000763,37.59660000000076,45.59660000000076,54.59660000000076,61.59660000000076,307
z_global_mean,10000,0,2.4135715648299082e-14,0.11373669254204757,0.9999999999999999,-3.1118493162680485,-2.574251648133033,-2.0050305877547805,-1.4358095273765281,-0.5819779368091497,0.7145811451635361,1.1889320288120797,1.4419191667579696,1.7265296969470958,1.9478934426497494,307
