metric,count,missing,mean,median,std,min,p01,p05,p10,p25,p75,p90,p95,p99,max,n_unique,horizon,positive_pct,negative_pct,zero_pct,mean_abs
past_ret_1,9999,1,-0.00010001000100010001,0.0,2.169928963892751,-8.0,-5.0,-4.0,-3.0,-1.0,1.0,3.0,3.5,5.0,11.0,34,1,0.4083408340834083,0.41084108410841086,0.18081808180818082,1.6655665566556657
past_ret_2,9998,2,-0.00020004000800160032,0.0,2.8700820844260537,-10.0,-7.0,-5.0,-4.0,-2.0,2.0,4.0,5.0,7.0,12.0,43,2,0.4353870774154831,0.4360872174434887,0.1285257051410282,2.2554510902180436
past_ret_3,9997,3,-0.00020006001800540162,0.0,3.4596080001922176,-13.0,-8.0,-6.0,-4.0,-2.0,2.0,4.0,6.0,8.0,14.0,53,3,0.4472341702510753,0.4437331199359808,0.10903270981294388,2.7340202060618184
past_ret_5,9995,5,-0.0008004002001000501,0.0,4.383221068556929,-17.0,-10.0,-7.0,-6.0,-3.0,3.0,5.5,7.0,10.0,17.0,63,5,0.4623311655827914,0.4539269634817409,0.08374187093546773,3.473736868434217
past_ret_10,9990,10,0.0002002002002002002,0.0,6.093619234483914,-24.0,-14.0,-10.0,-8.0,-4.0,4.0,8.0,10.0,14.5,25.0,84,10,0.4757757757757758,0.4690690690690691,0.05515515515515516,4.853053053053053
past_ret_20,9980,20,-0.005561122244488978,0.0,8.452812503429236,-29.0,-18.0,-14.0,-11.0,-6.0,6.0,11.0,14.0,20.0,31.5,110,20,0.4806613226452906,0.4790581162324649,0.04028056112224449,6.81437875751503
past_ret_50,9950,50,-0.027035175879396984,0.0,12.977172205293519,-43.0,-30.0,-22.0,-16.0,-8.0,8.0,17.0,22.0,30.0,45.0,160,50,0.46984924623115576,0.49809045226130655,0.03206030150753769,10.227437185929649
past_ret_100,9900,100,-0.018434343434343435,-1.0,17.7984341894208,-68.0,-42.5,-28.0,-22.0,-12.0,12.0,24.0,30.0,39.50500000000011,58.0,225,100,0.4668686868686869,0.5121212121212121,0.02101010101010101,14.138838383838383
past_ret_200,9800,200,-0.24663265306122448,0.0,23.90768057372146,-84.0,-63.0,-38.0,-30.0,-17.0,18.0,30.0,36.0,52.0,68.0,274,200,0.4893877551020408,0.49785714285714283,0.012755102040816327,19.30112244897959
past_ret_500,9500,500,-0.030421052631578946,1.0,32.056318559151904,-112.0,-91.0,-54.5,-42.0,-18.0,22.0,40.0,48.0,72.0,109.0,386,500,0.5086315789473684,0.47768421052631577,0.01368421052631579,24.700315789473684
past_ret_1000,9000,1000,2.5764444444444443,6.0,39.310632194845454,-123.0,-107.505,-86.0,-47.0,-16.0,28.0,50.0,62.5,74.0,88.0,393,1000,0.5753333333333334,0.41255555555555556,0.01211111111111111,29.92
