bucket,count,timestamp_min,timestamp_max,mid_start,mid_end,mid_mean,mid_std,spread_mean,ret1_std,imbalance_L1_mean,future_abs_ret_1_mean,imbalance_corr_future_ret_1,dev500_corr_future_ret_1,future_abs_ret_2_mean,imbalance_corr_future_ret_2,dev500_corr_future_ret_2,future_abs_ret_3_mean,imbalance_corr_future_ret_3,dev500_corr_future_ret_3,future_abs_ret_5_mean,imbalance_corr_future_ret_5,dev500_corr_future_ret_5,future_abs_ret_10_mean,imbalance_corr_future_ret_10,dev500_corr_future_ret_10,future_abs_ret_20_mean,imbalance_corr_future_ret_20,dev500_corr_future_ret_20,future_abs_ret_50_mean,imbalance_corr_future_ret_50,dev500_corr_future_ret_50,future_abs_ret_100_mean,imbalance_corr_future_ret_100,dev500_corr_future_ret_100,future_abs_ret_200_mean,imbalance_corr_future_ret_200,dev500_corr_future_ret_200,future_abs_ret_500_mean,imbalance_corr_future_ret_500,dev500_corr_future_ret_500,future_abs_ret_1000_mean,imbalance_corr_future_ret_1000,dev500_corr_future_ret_1000
0,50,0,4900,10011.0,10028.0,10021.62,6.161566193686771,15.68,2.077167747279968,0.006,1.68,0.3420625278784152,-0.24339264911804068,2.3,0.10334885997115087,-0.3120497825357331,3.12,-0.011309329808676154,-0.3988606002302237,3.94,-0.07589945969091327,-0.47829362729369707,6.05,-0.10766010098463043,-0.6585772453022669,7.25,0.1075480529896834,-0.8252817532052408,6.81,0.009243462531866477,-0.9116207101917885,7.56,-0.019736247446190323,-0.8581622720452003,18.15,-0.027080713678438506,-0.5937172315076897,76.87,-0.09164290079534061,-0.83016344480307,,,
1,50,5000,9900,10027.0,10021.0,10018.89,2.9455777992489987,15.74,2.279097565767142,0.009473684210526315,1.86,0.13076424146014548,-0.4389849514308851,2.14,0.002011723276677918,-0.47258797060980273,2.48,-0.0035883590298390992,-0.4805073627503768,2.96,0.028819520885211752,-0.46616154506747265,4.1,0.17606743500380598,-0.7260870976369788,3.8,0.23671229180998102,-0.6983205863246351,3.11,-0.06859181437616345,-0.04188931034444599,4.74,0.13192604146796688,-0.45013335488114753,24.43,0.17422040253150534,-0.4174504782353903,68.6,0.017177246058347195,-0.5151469172562412,,,
2,50,10000,14900,10023.0,10023.0,10017.58,4.539351747299859,15.88,2.3901157003845004,-0.008888888888888889,1.9,0.304020189556696,-0.2415627965492996,2.24,0.1155731662935155,-0.3345604279245102,2.96,-0.040798101416438456,-0.39917944462717003,3.92,-0.08937883103228864,-0.496877110986903,4.96,-0.027926315881916762,-0.4808756458740815,7.79,0.1836451016295124,-0.7051526308851669,5.21,-0.1391550802356943,-0.5865874559105183,13.71,-0.03525193192139855,-0.6080552713092142,15.03,0.17954136252684205,-0.7278939184117027,46.51,0.14324732671933244,-0.5972548783914623,,,
3,50,15000,19900,10023.0,10018.0,10020.11,5.14413674557188,15.7,2.307927774486216,0.011111111111111112,1.84,0.44346149515642885,-0.21004764524172165,2.3,0.28535895111824056,-0.23010900402258203,2.4,0.2191519932184518,-0.24897676828471352,2.78,0.17555072229979485,-0.2618065926845011,4.43,-0.003557408477729373,-0.23364351555925217,6.59,0.23777012195930894,-0.33628486692860987,16.24,-0.053773178708005034,-0.2854885794647321,25.65,0.26233682506067985,-0.9182853499956874,30.69,0.39373762649971505,-0.6512676771579236,33.75,0.26029240181165275,-0.8828849391559153,,,
4,50,20000,24900,10016.0,9992.0,10003.87,5.915915924393263,15.46,2.4660138867808343,0.022593440122044242,1.94,0.41012481375334936,-0.21729529848404905,2.73,0.3951218761764136,-0.30675985363925534,3.27,0.40315946842914974,-0.33146966004695116,4.29,0.430833886364618,-0.33678642889367877,5.41,0.20781237250514298,0.09986482944973425,8.56,0.18708907815383233,-0.14626151016522426,12.81,0.18279174995470454,-0.9161951175482806,8.78,0.23403154112054597,-0.7833146387336416,15.38,0.46704468667812543,-0.7483538498071766,22.4,0.11044653508005449,-0.3869114927453758,,,
5,50,25000,29900,9990.0,10005.0,9994.46,6.667649587403957,15.56,2.414327979342644,-0.007714213068904145,1.78,0.5740711265061713,-0.09258568510858738,2.63,0.4539509064777804,-0.1372176723639772,3.25,0.37777735739421897,-0.20351469739489086,4.15,0.25344550791088427,-0.31887152427678667,5.89,0.19987761153969952,-0.5837495529087497,7.58,0.06719157990461859,-0.8003890822769252,8.35,0.03150611440629644,-0.47693570963846915,8.88,0.1907839726346925,-0.9214763889756398,24.63,0.14919563323773,-0.9675519489539741,34.69,0.0990876091546896,-0.9139344124965713,,,
6,50,30000,34900,10005.0,10003.0,10002.59,6.061496077197241,15.66,2.461623821125944,0.006493506493506493,2.02,0.4868859001427402,-0.1873530725570644,2.84,0.3120607145786845,-0.2475698158100687,3.46,0.2397009267477253,-0.2939201495172579,4.62,0.07347560312003193,-0.40282196679543036,7.06,0.06492141167125132,-0.6501975836467241,10.5,-0.059961891475366354,-0.8833112892393382,13.33,-0.08787238457687319,-0.9177310891445662,14.1,-0.012348144550839355,-0.8771329102375738,57.84,-0.08744130432423208,-0.8827555190066049,47.8,0.006805117005449751,-0.8983147782843528,,,
7,50,35000,39900,10000.0,9992.0,9989.42,3.9658748423653156,15.84,1.9513469968308599,-0.003157894736842105,1.44,0.4035444447845767,-0.34823903049851473,1.78,0.20446261970735496,-0.44695285804529244,2.14,0.2782250864525409,-0.5160168324121288,2.84,0.07378269510632171,-0.6340641402439792,4.0,0.07829794818716897,-0.7600468393437687,4.66,-0.11524209676926087,-0.7356237022074853,4.23,0.04290234214202939,-0.7340088797825459,19.59,0.11520782721537215,-0.11813058966764113,39.13,0.07434084366008094,-0.7361376470378035,48.1,-0.15458727112859097,-0.328197963331996,,,
8,50,40000,44900,9993.0,9981.0,9988.49,4.003174760520118,15.5,2.3346546307533282,0.0012192513368983959,1.74,0.43980472141888566,-0.281719796726873,2.38,0.30701267738167987,-0.36853475877816017,2.79,0.2150631566559567,-0.3614985626071176,3.39,0.13213088920264934,-0.47577606398788336,4.41,0.2116000878842067,-0.4507796738018289,4.93,0.29665338502899424,-0.43247585739598216,18.66,-0.07462481216024647,0.1570404413902057,43.74,0.3072575125079197,-0.5331032916274374,17.62,0.3606727774501945,-0.7360403997234903,63.61,0.4246821194020753,-0.8182838138986827,,,
9,50,45000,49900,9981.0,9955.0,9969.83,9.781599760650147,15.46,2.3385849550180415,-0.0036363636363636364,1.96,0.4185145676384802,-0.05723978267122932,2.26,0.3199665965920672,-0.09114084685236112,2.97,0.4402525774477065,-0.10556530412396993,3.75,0.3481467323122843,-0.13669634625641067,5.95,0.4023154713528797,-0.20826764572310066,12.86,0.4631053529626711,-0.4510592880193263,25.08,0.17029982950978,-0.8649278100037304,19.78,-0.1144889541611292,-0.9622413184843256,16.81,-0.048260260224763166,-0.9473592713191887,26.04,-0.07308748352661404,-0.9816406416444461,,,
10,50,50000,54900,9952.0,9944.0,9944.75,5.161919038813502,15.7,2.1479938433385715,0.003157894736842105,1.58,0.38452892969032476,-0.26949669004697435,2.44,0.33515291188103696,-0.42591807719818187,2.96,0.24995965594564407,-0.5341316583925053,3.58,0.13096127296602983,-0.6527318021405261,5.32,0.16687676105151303,-0.7712349997801999,6.63,0.26385135084268374,-0.5701551350502123,8.82,0.24849087262568015,-0.8565027435186363,26.32,0.17639077471428463,-0.7005546211151701,36.72,0.17354892800676475,-0.39908992888505207,,,,,,
11,50,55000,59900,9945.0,9957.0,9950.29,3.9019749055145527,15.82,2.304033729911832,0.004347826086956522,1.6,0.46100633347271014,-0.10499038808822149,2.3,0.35865188025370104,-0.13327891638899642,2.66,0.17038934880350398,-0.11791972830627657,3.55,0.2498221776067397,-0.14388800383831943,5.29,0.09090230274227412,-0.021430311077816563,7.59,0.20356831711594864,0.5779419323981464,20.78,0.12117184813695996,0.2576019121029681,36.07,-0.0020178316727188323,-0.1186023490221354,11.28,-0.03905686909465708,-0.8863255776273776,,,,,,
12,50,60000,64900,9962.0,9983.0,9971.07,5.661371075011741,15.62,2.2766785689074447,0.014224598930481282,1.82,0.40029677337553354,-0.039467748921281756,2.66,0.3932425652030938,-0.020295291291070255,3.16,0.19885511652393192,0.034609530363833255,3.39,0.044338362539468774,0.04583380872364985,4.77,-0.04818921408103751,0.1350115607904845,7.47,0.003595644999020495,-0.3078861131625408,15.29,0.05787888380967843,-0.4532615761810675,12.32,0.17422908896844774,-0.958990837559682,16.42,0.18631108586139603,-0.9562406135447354,,,,,,
13,50,65000,69900,9987.0,9996.0,9986.36,5.677596502113929,15.84,1.9358065344386848,0.003157894736842105,1.38,0.21887945880017137,-0.03352121835954522,2.04,0.09860019795028208,-0.07710836078831597,2.56,0.11941255371384436,-0.15703422711363846,3.3,0.054017276287300964,-0.24240279684026284,5.0,-0.0682446367421171,-0.38552133433158164,8.42,-0.05162034011513222,-0.8073204605692755,8.13,0.2012736560392921,-0.894995789662769,26.59,0.224890502803821,-0.7324820292839629,45.04,0.09696871703202216,-0.9503704535197397,,,,,,
