event,rel_step,avg_mid_minus_event_mid
tight_spread_bottom_10pct,-20,2.005
tight_spread_bottom_10pct,-19,1.9675
tight_spread_bottom_10pct,-18,1.93
tight_spread_bottom_10pct,-17,1.8475
tight_spread_bottom_10pct,-16,1.725
tight_spread_bottom_10pct,-15,1.55
tight_spread_bottom_10pct,-14,1.5125
tight_spread_bottom_10pct,-13,1.27
tight_spread_bottom_10pct,-12,1.38
tight_spread_bottom_10pct,-11,1.06
tight_spread_bottom_10pct,-10,1.0975
tight_spread_bottom_10pct,-9,1.0775
tight_spread_bottom_10pct,-8,0.9625
tight_spread_bottom_10pct,-7,0.75
tight_spread_bottom_10pct,-6,0.585
tight_spread_bottom_10pct,-5,0.615
tight_spread_bottom_10pct,-4,0.32
tight_spread_bottom_10pct,-3,0.3075
tight_spread_bottom_10pct,-2,0.0675
tight_spread_bottom_10pct,-1,0.1425
tight_spread_bottom_10pct,0,0.0
tight_spread_bottom_10pct,1,0.02
tight_spread_bottom_10pct,2,-0.32
tight_spread_bottom_10pct,3,-0.4
tight_spread_bottom_10pct,4,-0.3275
tight_spread_bottom_10pct,5,-0.5875
tight_spread_bottom_10pct,6,-0.685
tight_spread_bottom_10pct,7,-0.86
tight_spread_bottom_10pct,8,-0.7675
tight_spread_bottom_10pct,9,-0.895
tight_spread_bottom_10pct,10,-0.93
tight_spread_bottom_10pct,11,-1.1275
tight_spread_bottom_10pct,12,-1.385
tight_spread_bottom_10pct,13,-1.275
tight_spread_bottom_10pct,14,-1.55
tight_spread_bottom_10pct,15,-1.75
tight_spread_bottom_10pct,16,-1.85
tight_spread_bottom_10pct,17,-1.8325
tight_spread_bottom_10pct,18,-1.9525
tight_spread_bottom_10pct,19,-1.955
tight_spread_bottom_10pct,20,-2.2125
tight_spread_bottom_10pct,21,-2.365
tight_spread_bottom_10pct,22,-2.36
tight_spread_bottom_10pct,23,-2.555
tight_spread_bottom_10pct,24,-2.72
tight_spread_bottom_10pct,25,-2.87
tight_spread_bottom_10pct,26,-2.79
tight_spread_bottom_10pct,27,-3.005
tight_spread_bottom_10pct,28,-2.88
tight_spread_bottom_10pct,29,-3.055
tight_spread_bottom_10pct,30,-3.3125
tight_spread_bottom_10pct,31,-3.1775
tight_spread_bottom_10pct,32,-3.47
tight_spread_bottom_10pct,33,-3.62
tight_spread_bottom_10pct,34,-3.78
tight_spread_bottom_10pct,35,-3.665
tight_spread_bottom_10pct,36,-3.8525
tight_spread_bottom_10pct,37,-3.7575
tight_spread_bottom_10pct,38,-3.96
tight_spread_bottom_10pct,39,-4.1475
tight_spread_bottom_10pct,40,-4.025
tight_spread_bottom_10pct,41,-4.265
tight_spread_bottom_10pct,42,-4.375
tight_spread_bottom_10pct,43,-4.6625
tight_spread_bottom_10pct,44,-4.5725
tight_spread_bottom_10pct,45,-4.65
tight_spread_bottom_10pct,46,-4.575
tight_spread_bottom_10pct,47,-4.7625
tight_spread_bottom_10pct,48,-4.9725
tight_spread_bottom_10pct,49,-4.8925
tight_spread_bottom_10pct,50,-5.0825
tight_spread_bottom_10pct,51,-5.155
tight_spread_bottom_10pct,52,-5.4925
tight_spread_bottom_10pct,53,-5.465
tight_spread_bottom_10pct,54,-5.4925
tight_spread_bottom_10pct,55,-5.345
tight_spread_bottom_10pct,56,-5.61
tight_spread_bottom_10pct,57,-5.725
tight_spread_bottom_10pct,58,-5.6175
tight_spread_bottom_10pct,59,-5.7625
tight_spread_bottom_10pct,60,-5.85
tight_spread_bottom_10pct,61,-6.19
tight_spread_bottom_10pct,62,-6.065
tight_spread_bottom_10pct,63,-6.19
tight_spread_bottom_10pct,64,-6.02
tight_spread_bottom_10pct,65,-6.2725
tight_spread_bottom_10pct,66,-6.38
tight_spread_bottom_10pct,67,-6.365
