metric,count,missing,mean,median,std,min,p01,p05,p10,p25,p75,p90,p95,p99,max,n_unique
mid_price,1000,0,9979.2935,9983.0,29.697037255789873,9915.0,9921.0,9931.0,9941.0,9952.875,10005.0,10019.05,10023.0,10028.0,10031.0,158
computed_mid,1000,0,9979.2935,9983.0,29.697037255789873,9915.0,9921.0,9931.0,9941.0,9952.875,10005.0,10019.05,10023.0,10028.0,10031.0,158
mid_error,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
best_bid,1000,0,9971.471,9975.0,29.685760953753622,9907.0,9913.0,9923.0,9933.0,9945.0,9997.0,10011.1,10015.0,10020.0,10023.0,115
best_ask,1000,0,9987.116,9991.0,29.730294893163013,9923.0,9929.0,9939.0,9948.9,9960.0,10013.0,10027.0,10031.0,10036.0,10039.0,115
spread,1000,0,15.645,16.0,1.6166597009230446,7.0,7.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,6
half_spread,1000,0,7.8225,8.0,0.8083298504615223,3.5,3.5,7.5,8.0,8.0,8.0,8.0,8.0,8.0,8.5,6
bid_size_1,1000,0,12.416,12.0,1.8499638824491593,4.0,8.99,10.0,10.0,11.0,14.0,15.0,15.0,15.0,15.0,11
ask_size_1,1000,0,12.337,12.0,1.9553143620027584,4.0,6.99,10.0,10.0,11.0,14.0,15.0,15.0,15.0,15.0,12
bid_size_2,1000,0,24.85,25.0,3.4507111451710077,10.0,14.99,20.0,21.0,22.0,28.0,29.0,30.0,30.0,30.0,17
ask_size_2,1000,0,24.697,25.0,3.635437718818383,10.0,13.0,20.0,20.0,22.0,28.0,29.0,30.0,30.0,30.0,17
bid_size_3,1000,0,0.34,0.0,2.879355950675548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,9
ask_size_3,1000,0,0.655,0.0,4.054678213547336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,10
bid_depth_L1,1000,0,12.416,12.0,1.8499638824491593,4.0,8.99,10.0,10.0,11.0,14.0,15.0,15.0,15.0,15.0,11
ask_depth_L1,1000,0,12.337,12.0,1.9553143620027584,4.0,6.99,10.0,10.0,11.0,14.0,15.0,15.0,15.0,15.0,12
bid_depth_L2,1000,0,37.266,37.0,4.114629287575513,15.0,21.0,31.0,32.0,35.0,40.0,42.0,43.0,45.0,45.0,25
ask_depth_L2,1000,0,37.034,37.0,4.487424760481337,16.0,19.0,31.0,32.0,35.0,40.0,42.0,43.0,45.0,45.0,25
bid_depth_L3,1000,0,37.606,38.0,3.6323488210740384,30.0,30.0,32.0,33.0,35.0,40.0,42.0,44.0,45.0,51.0,19
ask_depth_L3,1000,0,37.689,38.0,3.7497119008450954,30.0,30.0,32.0,33.0,35.0,40.0,43.0,44.0,47.0,52.0,22
imbalance_L1,1000,0,0.004068302683392198,0.0,0.0690603347622736,-0.5789473684210527,-0.15813397129186602,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5789473684210527,31
imbalance_L2,1000,0,0.003836479485173489,0.0,0.06349743390015741,-0.4,-0.24642507909117053,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.43859649122807015,33
imbalance_L3,1000,0,-0.0009724430339723148,0.0,0.017804536431461283,-0.12,-0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.06850589359668682,0.13513513513513514,34
microprice_L1,1000,0,9979.306902074972,9983.0,29.700728088606983,9915.0,9921.0,9931.0,9941.0,9952.875,10005.0,10019.05,10023.0,10028.0,10031.0,178
micro_edge_L1,1000,0,0.013402074972560513,0.0,0.27243006291200283,-2.605263157895024,-0.7106937799048683,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666660603,2.2222222222226264,35
bid_gap_12,1000,0,2.572,3.0,0.7716290633532484,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,7.0,8.0,4
ask_gap_12,1000,0,2.635,2.0,1.0756077035480602,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,9.0,9.0,4
bid_gap_23,14,986,2.5,2.5,0.5188745216627708,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2
ask_gap_23,26,974,2.5384615384615383,3.0,0.508391127441794,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2
dev_global_mean,1000,0,2.3283064365386963e-13,3.706500000000233,29.697037255789873,-64.29349999999977,-58.29349999999977,-48.29349999999977,-38.29349999999977,-26.418499999999767,25.706500000000233,39.756500000000244,43.70650000000023,48.70650000000023,51.70650000000023,158
z_global_mean,1000,0,7.787548383930699e-15,0.1248104303494988,1.0,-2.1649802788816856,-1.9629399221848165,-1.626205994356701,-1.2894720665285857,-0.8896005272326988,0.8656250715713526,1.338736240169855,1.4717461416619602,1.6401131055760179,1.7411332839244524,158
