metric,count,missing,mean,median,std,min,p01,p05,p10,p25,p75,p90,p95,p99,max,n_unique
roll_mean_10,998,2,9979.481592550179,9983.25,29.611607040668044,9919.0,9921.597,9931.3425,9940.27,9952.8125,10005.05,10019.55,10022.345,10027.015,10028.6,730
roll_std_mid_10,998,2,2.59897310225565,2.4039897221688675,0.9895948340020045,0.5773502691897571,0.9442810321411462,1.263754626271618,1.4907119852405972,1.90029237516986,3.118157835716848,4.064990291499473,4.524639269914988,5.251385694812473,7.33333333341604,947
roll_vol_ret1_10,997,3,2.2171488760715006,2.1628170930011135,0.6219258027601567,0.5773502691896258,0.9660917830793005,1.2684186269286604,1.4298407059684837,1.7795130420052214,2.6055496327817083,3.1110912620908473,3.3082388735465362,3.8359116628241074,4.157990967870046,784
dev_roll_mean_10,998,2,-0.2526346343480757,-0.2000000000007276,3.4149033203232775,-11.100000000000364,-7.609000000000342,-5.899999999999636,-4.600000000000364,-2.600000000000364,2.2000000000007276,4.100000000000364,5.357500000000254,7.251499999999977,9.600000000000364,277
z_roll_mean_10,998,2,-0.06063526017181328,-0.11673067468396489,1.1936830363860227,-2.4758535385775544,-2.123317093590321,-1.8361223724327957,-1.6006649131889032,-1.0848608559346702,0.9783943014766988,1.5563498084508767,1.8063659552701026,2.1857868638470856,2.4505077276676994,989
ema_10,998,2,9979.485144128283,9983.410101797674,29.54499526968204,9920.046828235654,9921.783716605869,9931.984878576195,9940.539439459595,9953.086718268443,10005.02219446993,10019.540482755452,10022.271002502564,10026.7786156828,10027.721926907732,998
dev_ema_10,998,2,-0.2561862124503041,-0.2848155242672874,2.9118399855152446,-9.31851439579259,-6.636667066023183,-4.984300544856978,-4.080143084782503,-2.271284617688252,1.8014510713919663,3.4420664113691624,4.546970892685476,6.256168103561831,8.441618020349779,998
roll_mean_20,997,3,9979.767474653836,9983.6,29.51400997798349,9920.925,9921.846,9931.41,9940.89,9952.475,10005.075,10019.57,10022.355,10026.253,10027.575,850
roll_std_mid_20,997,3,3.5814559674162085,3.3560628561892245,1.2544860391550203,0.8164965809279117,1.6686483102155318,2.0094185436043874,2.2014646762021384,2.689526469788767,4.231072403731613,5.271684252674663,5.9547717255791355,7.604099306112031,8.503056725966413,973
roll_vol_ret1_20,996,4,2.2492455853090885,2.237537644655152,0.4122546636980644,0.816496580927726,1.2753675345187214,1.6050899574134663,1.750939436122104,1.9574419397183709,2.5418857085104083,2.7829365691518575,2.9308645625492873,3.1768275460641813,3.268167843399659,849
dev_roll_mean_20,997,3,-0.5713863890420763,-0.75,5.001238631853182,-16.975000000000364,-11.780999999999622,-8.455000000000656,-6.850000000000364,-4.200000000000728,3.0,5.950000000000728,7.554999999999562,10.644999999999982,13.024999999999636,567
z_roll_mean_20,997,3,-0.13394277584000347,-0.26651085774468913,1.3102595769578302,-3.040464148712474,-2.4424406792305633,-2.052950102695413,-1.7611922966949152,-1.2273078510920628,0.9638090636954003,1.6832572806827544,2.048424816819922,2.3923159453857608,2.9947323855224885,990
ema_20,997,3,9979.768504743271,9982.919417362278,29.3556647065438,9922.482890397567,9922.849085440446,9932.499784284639,9941.660357936886,9952.941564511257,10004.883840127002,10019.444919123693,10021.764520616649,10025.400162125761,10026.131843746554,997
dev_ema_20,997,3,-0.572416478477241,-0.48289576229217346,4.3786704056819215,-14.245553605187524,-9.799876614431923,-7.496911589001684,-6.272289055905276,-3.8503267382438935,2.6165614613146317,5.095691235215417,6.5203193745357515,9.168888686850769,11.123056568772881,997
roll_mean_50,991,9,9980.666296981584,9985.85,29.129828718193,9924.23,9924.618999999999,9931.285,9942.65,9955.085,10002.654999999999,10019.21,10021.148333333333,10023.19,10023.41,903
roll_std_mid_50,991,9,5.780461142818322,5.468844970063278,1.7783685260116207,2.221110833194603,2.9001050651272564,3.350363816827568,3.741943727518441,4.447453084886051,6.874190064246333,8.198189197837909,9.377342589469542,10.551006560165694,11.211733103577219,971
roll_vol_ret1_50,990,10,2.2591479813634656,2.2404445548920178,0.2176474222873127,1.7261494247992233,1.8011470044872198,1.9133929255631195,1.990318384144656,2.1053382085890187,2.4178967053563944,2.5514301711721106,2.641057141027756,2.7323459308283584,2.7962985738804274,860
dev_roll_mean_50,991,9,-1.6688196859246993,-2.110000000000582,8.414042677796967,-21.950000000000728,-18.35200000000041,-14.974999999999454,-13.110000000000582,-8.0649999999996,5.210000000000036,9.6200000000008,11.429545454545405,15.33099999999995,17.8700000000008,867
z_roll_mean_50,991,9,-0.206332450590399,-0.4107440474617778,1.388646291265464,-3.2177446702517996,-2.7731193407446466,-2.1652145413580106,-1.8815146276361965,-1.3963742945886097,1.009435849384499,1.6829315249698795,2.006752719829853,2.687317470247342,3.312434345057597,986
ema_50,991,9,9980.636021807213,9984.044909746153,28.54500498823682,9926.259031557815,9926.748117687095,9932.934428676042,9942.040443397516,9955.910505042757,10003.44822292285,10019.370663752443,10020.996546911429,10021.951509499566,10022.656200700745,991
dev_ema_50,991,9,-1.6385445115517554,-1.9422034930485097,7.400744527885195,-20.789175800906378,-16.62118473713672,-13.729241347360585,-11.658228666852665,-6.938999792759205,3.8823856177368725,8.730755188695184,10.420757780975691,13.40634247653707,17.7733107459062,991
roll_mean_100,981,19,9982.504948446083,9983.695,27.988966555530357,9931.115,9931.284,9933.52,9947.365,9957.66,10006.35,10019.615,10020.99,10021.470840539607,10021.76923076923,943
roll_std_mid_100,981,19,8.32383172196764,7.939638123699521,3.0146125090046247,3.7776957061797205,3.912215394415192,4.417435610593502,4.703134029151447,5.835419540273054,10.566971365409232,12.421725631963401,14.092673073018721,15.55876808810071,15.682399418276258,972
roll_vol_ret1_100,980,20,2.2617554055867526,2.272891399416419,0.12812453854390396,1.9262867927909395,1.9885358283484122,2.0530910486842595,2.0931771168940383,2.1594986187432186,2.3511481707133832,2.4231417956067203,2.448975189249308,2.559050753896914,2.5928417388703626,870
dev_roll_mean_100,981,19,-3.9310442666737058,-4.915000000000873,12.467584844470021,-32.215000000000146,-28.46399999999958,-24.295000000000073,-21.204999999999927,-11.920000000000073,4.819999999999709,14.280000000000655,18.30500000000029,22.320999999999913,28.420000000000073,934
z_roll_mean_100,981,19,-0.4372648746018721,-0.6908896135207052,1.3797711916232596,-3.47645839926882,-2.79135859084993,-2.3270355272958203,-2.077886977897827,-1.5372127149069634,0.6737732371945997,1.6911792336888916,1.8919671346121434,2.435394306563415,2.780887585168048,980
ema_100,981,19,9982.183424647517,9981.325040445743,26.920507256903644,9932.972946008234,9933.41771675626,9936.131143481947,9945.482253423157,9959.17074145418,10002.983408883814,10018.673344672157,10019.1494649262,10020.310520305302,10020.432355488905,981
dev_ema_100,981,19,-3.6095204681089896,-4.118675621723014,10.362063652076115,-27.760177943382587,-23.770752232061206,-20.445341160784665,-18.08499846669838,-10.5884858890131,3.935552712791832,10.715840042043055,13.820916141772614,18.045390989577573,23.832028151286067,981
roll_mean_200,981,19,9986.803026559557,9985.3575,25.294555394901902,9941.2825,9941.312,9945.02,9958.6425,9965.4525,10012.6825,10020.052,10020.427884615385,10021.470840539607,10021.76923076923,957
roll_std_mid_200,981,19,11.740604572876927,12.278672730491838,4.604249297938593,4.132509567761513,4.676320569016656,4.982311313510396,5.05885679458026,7.430826309957087,15.781564844669116,17.90067497539188,19.03286218534047,19.425672833293635,19.48997149036131,974
roll_vol_ret1_200,980,20,2.2553217099446474,2.254753255593683,0.088820002377206,2.0060364096430696,2.0720258334835773,2.105579727895945,2.1287308361827164,2.192427863890846,2.3163150969569406,2.377944454510438,2.4068923220135017,2.4217640132584313,2.4469240253693307,880
dev_roll_mean_200,981,19,-8.229122380147487,-8.530000000000655,16.046294951738034,-43.125,-39.61000000000058,-33.61750000000029,-29.107500000000073,-19.892499999999927,1.8700000000008004,11.709999999999127,22.040000000000873,31.24150000000046,35.92749999999978,966
z_roll_mean_200,981,19,-0.707762870989399,-0.9836659702427085,1.2398606270296604,-3.3408093703671717,-2.9414782818142404,-2.4984397369909663,-2.21341603188327,-1.6391992571606022,0.18276949548890398,1.1387599615778385,1.604620367425472,2.001178916854799,2.2982313817384457,980
ema_200,981,19,9985.487016044252,9981.18715175827,24.28467462352518,9942.100159263387,9942.255016921481,9943.185096052475,9953.830288614254,9965.379032818479,10008.748661284586,10016.866390257841,10017.565734115526,10018.64112873417,10018.72221909692,981
dev_ema_200,981,19,-6.9131118648423096,-7.399332859733477,13.203743269669335,-38.37749163069202,-34.69565896074273,-29.576892435843547,-25.143501524167732,-15.93753383308831,3.241903876174547,10.255416187472292,14.350821397494656,21.240728337314433,25.44920292844472,981
roll_mean_500,981,19,9995.376342441607,10001.482,21.098868471701035,9955.875,9955.9644,9958.376,9964.544,9977.76,10014.788679245283,10020.052,10020.427884615385,10021.470840539607,10021.76923076923,979
roll_std_mid_500,981,19,14.816688011952543,16.827476100278865,6.4482362757881635,4.132509567761513,4.676320569016656,4.983405739274571,5.059090180436005,10.360941741915669,19.20573102515141,23.52067056630718,24.608102597065233,25.18688470574278,25.255604965334637,981
roll_vol_ret1_500,980,20,2.263058337799035,2.2805138239318357,0.05918063749801102,2.0060364096430696,2.07265640407959,2.127546578893923,2.1956435239505554,2.2310129849092983,2.304577718075425,2.320574744437594,2.33515444802632,2.3494249155058697,2.359518917081265,939
dev_roll_mean_500,981,19,-16.802438262195654,-16.104225352111825,16.67863774098719,-61.38800000000083,-57.85020000000077,-49.219999999999345,-41.548016701461165,-24.92021276595733,-3.2944444444437977,3.0229999999992287,6.282999999999447,13.010199999999541,16.810999999999694,977
z_roll_mean_500,981,19,-1.0706967067343431,-1.1277996112644664,1.0463989447081874,-3.396558228144331,-3.0781731634590326,-2.713101898406053,-2.456499479505537,-1.7971345382157113,-0.31232267026216,0.2742974877347059,0.7241514994361411,1.5996389340055168,2.151644844560023,981
ema_500,981,19,9992.51928191698,9994.481448637185,18.84450711457141,9956.550185169215,9956.680491688026,9959.152670418538,9966.446549004342,9978.77014290108,10011.523572628957,10014.494146933215,10015.250743583067,10015.6551490356,10015.698552496337,981
dev_ema_500,981,19,-13.945377737571587,-14.253413092979827,16.618026961024892,-53.41686001555536,-50.174062358720406,-43.83919698059799,-38.32979969201915,-24.85152468708293,-0.5501851692151831,7.1454778012412135,10.962921339963941,16.080442210518267,18.89793362815726,981
roll_mean_1000,981,19,10001.782100702747,10001.696078431372,13.618198419189309,9979.2935,9979.54514753998,9981.09411146162,9984.128603104213,9990.633112582782,10014.788679245283,10020.052,10020.427884615385,10021.470840539607,10021.76923076923,980
roll_std_mid_1000,981,19,17.46391224695196,18.55292393548707,8.760686328508726,4.132509567761513,4.676320569016656,4.983405739274571,5.059090180436005,10.360941741915669,25.35890656581705,26.922641306473945,29.31000955349283,29.72150411787584,29.734810506468296,981
roll_vol_ret1_1000,980,20,2.2685868039441,2.2737902901340035,0.05380170660000971,2.0060364096430696,2.07265640407959,2.127546578893923,2.2174484514962156,2.2605371742388396,2.297124006009068,2.3202635676095933,2.33515444802632,2.3494249155058697,2.359518917081265,980
dev_roll_mean_1000,981,19,-23.20819652333869,-20.559417040358312,18.91866692249642,-68.4638157894733,-62.08298740966711,-57.471296296296714,-51.43199554069179,-38.39453621346911,-7.388070692193651,-0.09604519774075015,3.6610738255039905,8.43312500000031,11.757142857142753,980
z_roll_mean_1000,981,19,-1.2175823434520074,-1.3641906561513768,0.9872181616813075,-3.396558228144331,-3.0987931917519846,-2.7458191568148433,-2.4884331306720093,-1.863539781419866,-0.5633483710455651,-0.012758732372333987,0.5885023497340296,1.5996389340055168,2.151644844560023,981
ema_1000,981,19,9998.763334021234,10001.906279669247,13.206258424810967,9971.553424768232,9971.90314952172,9974.338466700672,9979.382513463815,9989.42992304644,10011.537962384935,10013.060669889577,10013.59712095738,10013.778150805038,10013.798133973345,981
dev_ema_1000,981,19,-20.189429841827092,-19.561936842655996,19.920380378878654,-63.27556284068487,-59.6125057200421,-54.76462361092308,-49.335910396537656,-35.02724098994986,-5.144916098064641,6.677053710680411,10.207359779828039,16.00280973674199,19.436213966275318,981
