day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;HYDROGEL_PACK;10003;13;10001;21;;;10019;13;10022;21;;;10011.0;0.0
2;100;HYDROGEL_PACK;10004;15;10001;26;;;10020;15;10023;26;;;10012.0;0.0
2;200;HYDROGEL_PACK;10004;15;10002;30;;;10020;15;10023;30;;;10012.0;0.0
2;300;HYDROGEL_PACK;10005;12;10002;27;;;10021;12;10023;27;;;10013.0;0.0
2;400;HYDROGEL_PACK;10011;8;10003;12;10001;25;10019;12;10022;25;;;10015.0;0.0
2;500;HYDROGEL_PACK;10002;11;9999;22;;;10018;11;10020;22;;;10010.0;0.0
2;600;HYDROGEL_PACK;10002;13;9999;25;;;10018;13;10020;25;;;10010.0;0.0
2;700;HYDROGEL_PACK;10003;11;10001;23;;;10019;11;10022;23;;;10011.0;0.0
2;800;HYDROGEL_PACK;10005;12;10003;27;;;10021;12;10024;27;;;10013.0;0.0
2;900;HYDROGEL_PACK;10009;12;10006;21;;;10025;12;10027;21;;;10017.0;0.0
2;1000;HYDROGEL_PACK;10012;14;10010;28;;;10028;14;10031;28;;;10020.0;0.0
2;1100;HYDROGEL_PACK;10011;13;10009;28;;;10027;13;10030;28;;;10019.0;0.0
2;1200;HYDROGEL_PACK;10013;12;10010;28;;;10029;12;10031;28;;;10021.0;0.0
2;1300;HYDROGEL_PACK;10013;13;10010;23;;;10029;13;10032;23;;;10021.0;0.0
2;1400;HYDROGEL_PACK;10015;10;10012;24;;;10031;10;10033;24;;;10023.0;0.0
2;1500;HYDROGEL_PACK;10017;12;10014;29;;;10024;4;10033;12;10035;29;10020.5;0.0
2;1600;HYDROGEL_PACK;10016;14;10014;23;;;10032;14;10035;23;;;10024.0;0.0
2;1700;HYDROGEL_PACK;10013;13;10010;24;;;10029;13;10031;24;;;10021.0;0.0
2;1800;HYDROGEL_PACK;10011;13;10009;28;;;10027;13;10030;28;;;10019.0;0.0
2;1900;HYDROGEL_PACK;10011;15;10009;24;;;10027;15;10030;24;;;10019.0;0.0
2;2000;HYDROGEL_PACK;10011;13;10009;22;;;10027;13;10030;22;;;10019.0;0.0
2;2100;HYDROGEL_PACK;10009;12;10007;25;;;10025;12;10028;25;;;10017.0;0.0
2;2200;HYDROGEL_PACK;10009;10;10007;29;;;10025;10;10028;29;;;10017.0;0.0
2;2300;HYDROGEL_PACK;10007;14;10004;20;;;10023;14;10025;20;;;10015.0;0.0
2;2400;HYDROGEL_PACK;10010;10;10007;25;;;10026;10;10028;25;;;10018.0;0.0
2;2500;HYDROGEL_PACK;10011;14;10008;27;;;10027;14;10029;27;;;10019.0;0.0
2;2600;HYDROGEL_PACK;10012;13;10009;20;;;10028;13;10030;20;;;10020.0;0.0
2;2700;HYDROGEL_PACK;10014;14;10012;29;;;10030;14;10033;29;;;10022.0;0.0
2;2800;HYDROGEL_PACK;10017;11;10015;22;;;10033;11;10036;22;;;10025.0;0.0
2;2900;HYDROGEL_PACK;10018;15;10016;21;;;10034;15;10037;21;;;10026.0;0.0
2;3000;HYDROGEL_PACK;10019;13;10017;27;;;10035;13;10038;27;;;10027.0;0.0
2;3100;HYDROGEL_PACK;10019;10;10017;25;;;10035;10;10038;25;;;10027.0;0.0
2;3200;HYDROGEL_PACK;10022;12;10019;28;;;10038;12;10040;28;;;10030.0;0.0
2;3300;HYDROGEL_PACK;10021;12;10018;26;;;10037;12;10040;26;;;10029.0;0.0
2;3400;HYDROGEL_PACK;10023;11;10021;25;;;10039;11;10042;25;;;10031.0;0.0
2;3500;HYDROGEL_PACK;10021;10;10018;21;;;10037;10;10039;21;;;10029.0;0.0
2;3600;HYDROGEL_PACK;10022;10;10020;30;;;10038;10;10041;30;;;10030.0;0.0
2;3700;HYDROGEL_PACK;10021;15;10019;24;;;10037;15;10040;24;;;10029.0;0.0
2;3800;HYDROGEL_PACK;10020;13;10017;29;;;10036;13;10038;29;;;10028.0;0.0
2;3900;HYDROGEL_PACK;10016;13;10014;26;;;10032;13;10035;26;;;10024.0;0.0
2;4000;HYDROGEL_PACK;10018;15;10016;30;;;10034;15;10037;30;;;10026.0;0.0
2;4100;HYDROGEL_PACK;10020;14;10017;25;;;10036;14;10038;25;;;10028.0;0.0
2;4200;HYDROGEL_PACK;10022;10;10020;26;;;10038;10;10041;26;;;10030.0;0.0
2;4300;HYDROGEL_PACK;10019;12;10016;24;;;10035;12;10038;24;;;10027.0;0.0
2;4400;HYDROGEL_PACK;10020;10;10017;22;;;10036;10;10038;22;;;10028.0;0.0
2;4500;HYDROGEL_PACK;10017;14;10014;26;;;10033;14;10035;26;;;10025.0;0.0
2;4600;HYDROGEL_PACK;10017;15;10015;21;;;10033;15;10036;21;;;10025.0;0.0
