feature,bucket,count,feature_min,feature_mean,feature_max,future_ret_1_mean,future_ret_1_hit_up,future_abs_ret_1_mean,future_ret_2_mean,future_ret_2_hit_up,future_abs_ret_2_mean,future_ret_3_mean,future_ret_3_hit_up,future_abs_ret_3_mean,future_ret_5_mean,future_ret_5_hit_up,future_abs_ret_5_mean,future_ret_10_mean,future_ret_10_hit_up,future_abs_ret_10_mean,future_ret_20_mean,future_ret_20_hit_up,future_abs_ret_20_mean,future_ret_50_mean,future_ret_50_hit_up,future_abs_ret_50_mean,future_ret_100_mean,future_ret_100_hit_up,future_abs_ret_100_mean,future_ret_200_mean,future_ret_200_hit_up,future_abs_ret_200_mean,future_ret_500_mean,future_ret_500_hit_up,future_abs_ret_500_mean,future_ret_1000_mean,future_ret_1000_hit_up,future_abs_ret_1000_mean
spread,"(6.999, 16.0]",992,7.0,15.634072580645162,16.0,-0.055499495459132187,0.39253279515640765,1.7618567103935419,-0.11414141414141414,0.4313131313131313,2.367676767676768,-0.16177957532861476,0.4408493427704752,2.890798786653185,-0.2689969604863222,0.4387031408308004,3.6185410334346506,-0.554989816700611,0.43075356415478616,5.218940936863544,-1.338991769547325,0.411522633744856,7.627057613168724,-4.0695329087048835,0.3980891719745223,13.016454352441613,-9.544843049327355,0.27802690582959644,19.746636771300448,-19.387626262626263,0.18434343434343434,27.52777777777778,-46.52235772357724,0.006097560975609756,46.57520325203252,,,
spread,"(16.0, 17.0]",8,17.0,17.0,17.0,0.5,0.625,1.375,1.125,0.375,2.25,0.0,0.375,2.125,-2.0625,0.375,3.6875,-5.1875,0.25,5.6875,-3.75,0.125,3.875,-4.0,0.25,7.25,-6.5,0.375,9.875,-36.25,0.0,36.25,-62.9375,0.0,62.9375,,,
imbalance_L1,"(-0.58, 0.0]",975,-0.5789473684210527,-0.004205790599921707,0.0,-0.15862422997946612,0.3788501026694045,1.6976386036960986,-0.1988694758478931,0.42034943473792397,2.330421377183967,-0.2551440329218107,0.43106995884773663,2.860082304526749,-0.3680412371134021,0.42783505154639173,3.6278350515463917,-0.6523316062176165,0.42590673575129534,5.2492227979274615,-1.4042887029288702,0.40794979079497906,7.6281380753138075,-4.044276457883369,0.39740820734341253,12.899568034557236,-9.635844748858448,0.2762557077625571,19.682648401826484,-19.629820051413883,0.18123393316195371,27.750642673521853,-46.967213114754095,0.006147540983606557,47.02049180327869,,,
imbalance_L1,"(0.0, 0.579]",25,0.14285714285714285,0.3267579407326345,0.5789473684210527,4.14,1.0,4.14,3.58,0.84,3.78,3.52,0.8,3.84,3.0,0.84,3.28,1.72,0.56,4.2,0.4583333333333333,0.4583333333333333,6.333333333333333,-5.020833333333333,0.375,15.604166666666666,-5.208333333333333,0.375,18.791666666666668,-16.954545454545453,0.22727272727272727,22.818181818181817,-39.375,0.0,39.375,,,
imbalance_L2,"(-0.401, 0.0]",974,-0.4,-0.004391705253170798,0.0,-0.16392600205549845,0.37821171634121276,1.6942446043165467,-0.20627572016460904,0.41975308641975306,2.325617283950617,-0.262615859938208,0.43048403707518024,2.855818743563337,-0.3746130030959752,0.42724458204334365,3.625386996904025,-0.6613070539419087,0.42531120331950206,5.246369294605809,-1.412041884816754,0.4073298429319372,7.629842931937173,-4.054054054054054,0.39675675675675676,12.908108108108108,-9.650285714285713,0.2754285714285714,19.701714285714285,-19.642213642213644,0.18146718146718147,27.773487773487773,-46.936344969199176,0.006160164271047228,46.98973305954826,,,
imbalance_L2,"(0.0, 0.439]",26,0.19298245614035087,0.3120769385293017,0.43859649122807015,4.173076923076923,1.0,4.173076923076923,3.7115384615384617,0.8461538461538461,3.9038461538461537,3.6538461538461537,0.8076923076923077,3.9615384615384617,3.1153846153846154,0.8461538461538461,3.3846153846153846,1.9615384615384615,0.5769230769230769,4.346153846153846,0.68,0.48,6.32,-4.62,0.4,15.18,-4.88,0.4,18.16,-16.652173913043477,0.21739130434782608,22.26086956521739,-41.11538461538461,0.0,41.11538461538461,,,
imbalance_L3,"(-0.121, 0.0]",986,-0.12,-0.0022214557000321323,0.0,0.023857868020304568,0.4,1.7081218274111676,-0.0391260162601626,0.43597560975609756,2.3328252032520327,-0.08952187182095625,0.44557477110885046,2.8504577822990846,-0.2145769622833843,0.44240570846075433,3.587665647298675,-0.5153688524590164,0.43135245901639346,5.188524590163935,-1.3043478260869565,0.40890269151138714,7.550724637681159,-4.022945570971185,0.3959445037353255,12.931163287086447,-9.426801801801801,0.27927927927927926,19.63063063063063,-19.59418457648546,0.18331226295828065,27.66118836915297,-46.848268839103866,0.006109979633401222,46.90122199592668,,,
imbalance_L3,"(0.0, 0.135]",14,0.045454545454545456,0.08699373473281198,0.13513513513513514,-5.321428571428571,0.0,5.321428571428571,-4.678571428571429,0.07142857142857142,4.75,-5.142857142857143,0.07142857142857142,5.285714285714286,-5.107142857142857,0.14285714285714285,5.821428571428571,-5.964285714285714,0.2857142857142857,7.607142857142857,-5.107142857142857,0.42857142857142855,10.75,-7.384615384615385,0.46153846153846156,15.615384615384615,-16.25,0.25,21.75,-16.22222222222222,0.1111111111111111,23.555555555555557,-43.333333333333336,0.0,43.333333333333336,,,
micro_edge_L1,"(-2.606, 0.0]",975,-2.605263157895024,-0.017721990666935035,0.0,-0.15862422997946612,0.3788501026694045,1.6976386036960986,-0.1988694758478931,0.42034943473792397,2.330421377183967,-0.2551440329218107,0.43106995884773663,2.860082304526749,-0.3680412371134021,0.42783505154639173,3.6278350515463917,-0.6523316062176165,0.42590673575129534,5.2492227979274615,-1.4042887029288702,0.40794979079497906,7.6281380753138075,-4.044276457883369,0.39740820734341253,12.899568034557236,-9.635844748858448,0.2762557077625571,19.682648401826484,-19.629820051413883,0.18123393316195371,27.750642673521853,-46.967213114754095,0.006147540983606557,47.02049180327869,,,
micro_edge_L1,"(0.0, 2.222]",25,0.5,1.2272406349128868,2.2222222222226264,4.14,1.0,4.14,3.58,0.84,3.78,3.52,0.8,3.84,3.0,0.84,3.28,1.72,0.56,4.2,0.4583333333333333,0.4583333333333333,6.333333333333333,-5.020833333333333,0.375,15.604166666666666,-5.208333333333333,0.375,18.791666666666668,-16.954545454545453,0.22727272727272727,22.818181818181817,-39.375,0.0,39.375,,,
