feature,horizon,n,corr,abs_corr,slope_ticks_per_feature_unit,feature_mean,feature_std,future_ret_mean,future_abs_ret_mean,bottom_10pct_feature_cutoff,bottom_10pct_future_ret_mean,bottom_10pct_hit_up,top_10pct_feature_cutoff,top_10pct_future_ret_mean,top_10pct_hit_up,top_minus_bottom_future_ret
dev_roll_mean_500,200,781,-0.8182163347183314,0.8182163347183314,-1.2420557277636821,-15.193812977226557,17.499206046675948,-19.840588988476313,28.06978233034571,-43.39600000000064,33.063291139240505,1.0,3.75,-44.5126582278481,0.0,-77.57594936708861
dev_roll_median_500,200,781,-0.7847481759852474,0.7847481759852474,-1.178081253350075,-17.42445582586428,17.6948282279766,-19.840588988476313,28.06978233034571,-46.0,32.0609756097561,1.0,2.0,-38.15555555555556,0.0,-70.21653116531166
dev_roll_mean_1000,200,781,-0.7695272567359551,0.7695272567359551,-1.1909241444227816,-18.21808317687677,17.164501242601872,-19.840588988476313,28.06978233034571,-46.24422735346343,31.632911392405063,1.0,1.6515151515159232,-32.677215189873415,0.0,-64.31012658227849
dev_ema_500,200,781,-0.7637369124393801,0.7637369124393801,-1.2171112206181929,-11.161194976629387,16.668817674940865,-19.840588988476313,28.06978233034571,-35.72523518628623,33.936708860759495,1.0,8.326483319551699,-38.82911392405063,0.0,-72.76582278481013
dev_roll_median_1000,200,781,-0.7482758640749233,0.7482758640749233,-1.099220367983004,-19.825224071702944,18.08290711133482,-19.840588988476313,28.06978233034571,-50.0,30.803797468354432,1.0,1.0,-31.087209302325583,0.0,-61.891006770680015
dev_roll_mean_200,200,781,-0.7463488108278982,0.7463488108278982,-1.23650973132617,-6.032713258546336,16.033767727462784,-19.840588988476313,28.06978233034571,-27.777500000000146,31.924050632911392,0.9240506329113924,16.784999999999854,-47.860759493670884,0.0,-79.78481012658227
dev_ema_100,500,481,-0.7353178086102393,0.7353178086102393,-1.8499069148782796,-3.832096274059912,7.912661862729042,-45.94282744282744,45.9968814968815,-14.454111407731034,-14.13265306122449,0.061224489795918366,5.96872770155278,-68.98979591836735,0.0,-54.85714285714286
dev_ema_200,200,781,-0.727770284942795,0.727770284942795,-1.4498632449451911,-5.408723900190946,13.333941955923438,-19.840588988476313,28.06978233034571,-24.48158454571967,31.765822784810126,0.9367088607594937,11.729416653772205,-42.64556962025316,0.0,-74.41139240506328
dev_roll_median_200,500,481,-0.7247807374999062,0.7247807374999062,-1.4436696704885623,-8.017671517671518,9.993927822276612,-45.94282744282744,45.9968814968815,-24.0,-14.285714285714286,0.061224489795918366,4.0,-63.445454545454545,0.0,-49.15974025974026
dev_roll_median_200,200,781,-0.721142504413683,0.721142504413683,-1.069007933615595,-6.304097311139564,17.919729382421945,-19.840588988476313,28.06978233034571,-30.0,29.398809523809526,0.8690476190476191,18.5,-45.59493670886076,0.0,-74.99374623267028
dev_roll_mean_200,500,481,-0.7201032008431165,0.7201032008431165,-1.4988961953504838,-7.939104064292509,9.563581929910116,-45.94282744282744,45.9968814968815,-21.67749999999978,-14.316326530612244,0.061224489795918366,3.662500000000364,-65.75510204081633,0.0,-51.43877551020408
z_roll_mean_200,500,481,-0.7157042792227631,0.7157042792227631,-12.541879671422956,-0.8993439898359332,1.1359739773095792,-45.94282744282744,45.9968814968815,-2.4422945382030457,-14.816326530612244,0.061224489795918366,0.5896385619635169,-63.48979591836735,0.0,-48.673469387755105
dev_ema_1000,200,781,-0.7151897160176909,0.7151897160176909,-0.9916705478929739,-15.677334941629988,19.157777595537826,-19.840588988476313,28.06978233034571,-46.06072123281774,31.632911392405063,1.0,7.7814908822492725,-28.189873417721518,0.0,-59.82278481012658
dev_roll_median_100,500,481,-0.7082273165669465,0.7082273165669465,-1.567469052813891,-4.747401247401247,8.994377207867986,-45.94282744282744,45.9968814968815,-18.0,-13.877551020408163,0.061224489795918366,6.5,-62.642857142857146,0.0,-48.76530612244898
dev_ema_200,500,481,-0.7074965563564161,0.7074965563564161,-1.3992250926196346,-5.738124395314584,10.065471978315728,-45.94282744282744,45.9968814968815,-18.748661284585978,-14.112244897959183,0.061224489795918366,6.632495303261749,-69.45918367346938,0.0,-55.346938775510196
dev_ema_50,500,491,-0.6793911224307643,0.6793911224307643,-2.1980752893894113,-2.1644099973348543,6.233771304093865,-46.56008146639511,46.61303462321792,-10.31104684645652,-17.0,0.06,6.2440881125148735,-66.28,0.0,-49.28
dev_roll_median_50,500,491,-0.6683168322669942,0.6683168322669942,-1.8244143927911773,-2.814663951120163,7.38809500446522,-46.56008146639511,46.61303462321792,-12.5,-21.535714285714285,0.05357142857142857,6.75,-63.91,0.0,-42.37428571428571
dev_roll_mean_100,500,481,-0.664897793809777,0.664897793809777,-1.5348687371034762,-4.721048701885487,8.6234500135411,-45.94282744282744,45.9968814968815,-17.100000000000364,-13.755102040816327,0.061224489795918366,6.7549999999992,-62.13265306122449,0.0,-48.37755102040816
z_roll_mean_1000,500,481,-0.6637228577232743,0.6637228577232743,-11.346275003803623,-1.0871911517192685,1.164476872630225,-45.94282744282744,45.9968814968815,-2.5624423741094753,-13.744897959183673,0.061224489795918366,0.5896385619635169,-63.48979591836735,0.0,-49.744897959183675
z_roll_mean_500,500,481,-0.6637228577232743,0.6637228577232743,-11.346275003803623,-1.0871911517192685,1.164476872630225,-45.94282744282744,45.9968814968815,-2.5624423741094753,-13.744897959183673,0.061224489795918366,0.5896385619635169,-63.48979591836735,0.0,-49.744897959183675
