column,dtype,missing_count,missing_pct,present_pct,n_unique
day,int64,0,0.0,1.0,1
timestamp,int64,0,0.0,1.0,1000
product,object,0,0.0,1.0,1
bid_price_1,int64,0,0.0,1.0,115
bid_volume_1,int64,0,0.0,1.0,11
bid_price_2,int64,0,0.0,1.0,115
bid_volume_2,int64,0,0.0,1.0,17
bid_price_3,float64,986,0.986,0.014,14
bid_volume_3,float64,986,0.986,0.014,8
ask_price_1,int64,0,0.0,1.0,115
ask_volume_1,int64,0,0.0,1.0,12
ask_price_2,int64,0,0.0,1.0,115
ask_volume_2,int64,0,0.0,1.0,17
ask_price_3,float64,974,0.974,0.026,23
ask_volume_3,float64,974,0.974,0.026,9
mid_price,float64,0,0.0,1.0,158
profit_and_loss,float64,0,0.0,1.0,1
best_bid,int64,0,0.0,1.0,115
best_ask,int64,0,0.0,1.0,115
computed_mid,float64,0,0.0,1.0,158
mid_error,float64,0,0.0,1.0,1
spread,int64,0,0.0,1.0,6
half_spread,float64,0,0.0,1.0,6
bid_size_1,int64,0,0.0,1.0,11
ask_size_1,int64,0,0.0,1.0,12
bid_size_2,int64,0,0.0,1.0,17
ask_size_2,int64,0,0.0,1.0,17
bid_size_3,float64,0,0.0,1.0,9
ask_size_3,float64,0,0.0,1.0,10
bid_gap_12,int64,0,0.0,1.0,4
bid_gap_23,float64,986,0.986,0.014,2
ask_gap_12,int64,0,0.0,1.0,4
ask_gap_23,float64,974,0.974,0.026,2
bid_depth_L1,int64,0,0.0,1.0,11
ask_depth_L1,int64,0,0.0,1.0,12
total_depth_L1,int64,0,0.0,1.0,13
imbalance_L1,float64,0,0.0,1.0,31
bid_depth_L2,int64,0,0.0,1.0,25
ask_depth_L2,int64,0,0.0,1.0,25
total_depth_L2,int64,0,0.0,1.0,28
imbalance_L2,float64,0,0.0,1.0,33
bid_depth_L3,float64,0,0.0,1.0,19
ask_depth_L3,float64,0,0.0,1.0,22
total_depth_L3,float64,0,0.0,1.0,27
imbalance_L3,float64,0,0.0,1.0,34
microprice_L1,float64,0,0.0,1.0,178
micro_edge_L1,float64,0,0.0,1.0,35
bid_wap_L1,float64,0,0.0,1.0,115
ask_wap_L1,float64,0,0.0,1.0,115
book_wap_mid_L1,float64,0,0.0,1.0,158
book_wap_edge_L1,float64,0,0.0,1.0,1
bid_wap_L2,float64,0,0.0,1.0,954
ask_wap_L2,float64,0,0.0,1.0,949
book_wap_mid_L2,float64,0,0.0,1.0,929
