metric,count,missing,mean,median,std,min,p01,p05,p10,p25,p75,p90,p95,p99,max,n_unique,horizon,positive_pct,negative_pct,zero_pct,mean_abs
past_ret_1,999,1.0,-0.05105105105105105,0.0,2.2759077108294226,-8.0,-5.5,-4.0,-3.0,-1.5,1.5,3.0,3.5,5.5,8.0,31.0,1,0.3943943943943944,0.43343343343343343,0.17217217217217218,1.7587587587587588
past_ret_2,998,2.0,-0.10420841683366733,0.0,2.9810774550535224,-9.0,-7.0,-5.0,-4.0,-2.0,2.0,4.0,5.0,7.0,9.5,37.0,2,0.4308617234468938,0.45691382765531063,0.11222444889779559,2.3667334669338675
past_ret_3,997,3.0,-0.160481444332999,0.0,3.5862610112861284,-11.0,-9.0,-6.0,-5.0,-3.0,2.0,4.5,5.5,8.0,11.5,41.0,3,0.440320962888666,0.4754262788365095,0.08425275827482448,2.884653961885657
past_ret_5,995,5.0,-0.2834170854271357,0.0,4.546935685345634,-14.0,-11.0,-8.0,-6.0,-3.0,3.0,5.5,7.0,10.0,13.0,52.0,5,0.4381909547738693,0.47839195979899496,0.08341708542713568,3.6190954773869346
past_ret_10,990,10.0,-0.5924242424242424,-1.0,6.388365719338744,-21.0,-15.555,-11.0,-9.0,-5.0,4.0,8.0,10.0,13.0,16.0,64.0,10,0.4292929292929293,0.5222222222222223,0.048484848484848485,5.222727272727273
past_ret_20,980,20.0,-1.3586734693877551,-2.0,8.995667796030348,-27.0,-20.21,-16.0,-13.0,-8.0,6.0,11.0,13.0,18.5,23.0,89.0,20,0.4091836734693878,0.5683673469387756,0.022448979591836733,7.5964285714285715
past_ret_50,950,50.0,-4.068947368421052,-4.0,15.027590850591462,-43.0,-32.0,-27.0,-24.0,-16.0,7.0,17.0,21.0,25.754999999999995,30.0,120.0,50,0.3968421052631579,0.5852631578947368,0.017894736842105262,12.967894736842105
past_ret_100,900,100.0,-9.517777777777777,-11.25,21.576086120410434,-53.0,-49.0,-41.0,-36.0,-25.0,3.0,24.0,34.049999999999955,41.0,48.0,155.0,100,0.2788888888888889,0.7111111111111111,0.01,19.65888888888889
past_ret_200,800,200.0,-19.55625,-21.0,26.33294972537351,-71.0,-69.01,-63.0,-56.0,-36.0,-6.0,21.0,35.0,41.004999999999995,44.0,176.0,200,0.1825,0.80875,0.00875,27.615
past_ret_500,500,500.0,-46.785,-45.25,20.056864926037736,-93.0,-90.01,-78.57499999999999,-72.0,-62.0,-35.0,-19.0,-13.975000000000023,-6.485000000000014,7.0,129.0,500,0.006,0.994,0.0,46.837
past_ret_1000,0,,,,,,,,,,,,,,,,1000,,,,
