day,ts,ent_mid,fwd_50,fwd_100,fwd_200,fwd_500,min500,max500,drawdown,max_pain
1,186200,10025.5,-4.5,-19.5,-15.5,-16.5,9979.0,10034.0,46.5,8.5
1,188200,10030.5,-14.5,-27.5,-21.5,-13.5,9979.0,10034.0,51.5,3.5
1,188300,10028.5,-12.5,-22.5,-18.5,-11.5,9979.0,10034.0,49.5,5.5
1,189500,10031.5,-19.5,-10.5,-15.5,-13.5,9979.0,10034.0,52.5,2.5
1,201400,10020.5,-10.5,-14.5,-12.5,-21.5,9979.0,10027.0,41.5,6.5
1,203500,10020.5,-10.5,-27.5,-30.5,-22.5,9979.0,10023.5,41.5,3.0
1,240800,10023.5,-13.5,-27.5,-37.5,-67.5,9946.0,10023.5,77.5,0.0
1,247500,10011.5,-15.5,-37.5,-17.5,-59.5,9946.0,10018.0,65.5,6.5
1,521000,10015.5,-5.5,8.5,4.5,-3.5,9985.5,10030.5,30.0,15.0
1,523200,10017.5,3.5,3.5,-6.5,-5.5,9985.5,10030.5,32.0,13.0
1,523600,10015.5,9.5,5.5,-6.5,-3.5,9985.5,10030.5,30.0,15.0
1,525700,10013.5,7.5,2.5,-0.5,-5.5,9985.5,10030.5,28.0,17.0
1,528500,10022.5,-0.5,-7.5,-9.5,-16.5,9985.5,10030.5,37.0,8.0
1,538700,10010.5,1.5,1.5,-6.5,-9.5,9985.5,10025.0,25.0,14.5
1,540900,10018.5,-4.5,-3.5,-18.5,-23.5,9985.5,10025.0,33.0,6.5
1,546200,10013.5,3.5,2.5,-1.5,6.5,9985.5,10025.0,28.0,11.5
1,549700,10010.5,6.5,-9.5,-1.5,11.5,9985.5,10035.5,25.0,25.0
1,568100,10013.5,-0.5,-11.5,-10.5,-14.5,9976.0,10035.5,37.5,22.0
1,597900,10027.5,-7.5,-3.5,-31.5,-30.5,9976.0,10035.5,51.5,8.0
1,598600,10035.5,-7.5,-17.5,-41.5,-40.5,9976.0,10035.5,59.5,0.0
1,598700,10032.5,-5.5,-15.5,-41.5,-40.5,9976.0,10035.0,56.5,2.5
1,604100,10023.5,-14.5,-17.5,-15.5,-42.5,9976.0,10035.0,47.5,11.5
1,604700,10025.5,-14.5,-22.5,-12.5,-43.5,9976.0,10035.0,49.5,9.5
1,605200,10024.5,-12.5,-29.5,-13.5,-38.5,9976.0,10035.0,48.5,10.5
1,607300,10024.5,-12.5,-35.5,-1.5,-32.5,9976.0,10035.0,48.5,10.5
1,625400,10013.5,-2.5,13.5,-12.5,-5.0,9978.0,10035.0,35.5,21.5
1,630900,10014.5,9.5,19.5,-15.5,-13.5,9978.0,10035.0,36.5,20.5
1,633600,10012.5,14.5,-0.5,-32.5,-10.5,9978.0,10035.0,34.5,22.5
1,634200,10016.5,14.0,-8.5,-38.5,-18.0,9978.0,10035.0,38.5,18.5
1,634700,10018.5,10.5,-14.5,-36.5,-19.5,9978.0,10035.0,40.5,16.5
1,638300,10027.5,-16.5,-36.5,-32.5,-41.5,9978.0,10035.0,49.5,7.5
1,639200,10030.5,-22.5,-38.5,-42.5,-34.5,9978.0,10034.0,52.5,3.5
1,666000,10023.5,-12.5,-16.5,-27.5,26.5,9985.0,10058.0,38.5,34.5
1,668900,10023.5,-21.5,-27.5,-30.5,33.5,9985.0,10063.0,38.5,39.5
1,670300,10023.5,-20.5,-24.5,-21.5,40.5,9985.0,10063.0,38.5,39.5
1,697100,10031.5,4.5,16.5,22.5,25.5,10029.0,10079.0,2.5,47.5
1,700800,10042.5,6.5,-1.5,24.5,9.5,10029.0,10079.0,13.5,36.5
1,702600,10034.5,17.5,8.5,42.5,24.5,10029.0,10079.0,5.5,44.5
1,705100,10051.5,-12.5,-4.5,23.5,16.0,10029.0,10079.0,22.5,27.5
1,709700,10044.5,-3.5,13.5,19.5,14.5,10029.0,10079.0,15.5,34.5
1,712700,10045.5,15.5,30.5,-2.5,2.5,10029.0,10079.0,16.5,33.5
1,716600,10052.5,18.5,15.5,-9.5,3.5,10029.0,10079.0,23.5,26.5
1,718800,10054.5,18.5,11.5,-9.5,8.5,10029.0,10079.0,25.5,24.5
1,721700,10071.5,-4.5,-15.5,-27.5,-1.5,10029.0,10079.0,42.5,7.5
1,722100,10076.5,-5.5,-25.5,-28.5,-5.5,10029.0,10079.0,47.5,2.5
1,722300,10078.5,-8.5,-27.5,-31.5,-2.5,10029.0,10079.0,49.5,0.5
1,723000,10077.5,-7.0,-37.5,-32.5,-1.5,10029.0,10077.5,48.5,0.0
1,723100,10075.5,-9.5,-37.5,-30.5,2.5,10029.0,10077.0,46.5,1.5
1,723400,10071.5,-3.5,-35.5,-20.0,3.5,10029.0,10078.0,42.5,6.5
1,724000,10076.5,-13.5,-42.5,-27.5,-12.5,10029.0,10078.0,47.5,1.5
1,725800,10076.5,-11.5,-26.0,-29.5,-12.5,10029.0,10078.0,47.5,1.5
1,725900,10073.5,-8.5,-23.5,-22.5,-11.5,10029.0,10078.0,44.5,4.5
1,726000,10072.5,-6.5,-24.5,-20.5,-10.5,10029.0,10078.0,43.5,5.5
1,726400,10068.5,-12.5,-27.5,-13.5,-3.0,10029.0,10078.0,39.5,9.5
1,727900,10066.5,-25.0,-21.5,-11.5,-2.0,10029.0,10078.0,37.5,11.5
1,728000,10070.5,-30.5,-27.5,-17.5,-8.5,10029.0,10078.0,41.5,7.5
1,732900,10041.5,3.5,3.5,17.5,26.5,10029.0,10078.0,12.5,36.5
1,735800,10050.5,-9.0,-3.5,16.0,13.5,10038.0,10078.0,12.5,27.5
1,739000,10040.5,8.5,13.5,25.5,19.5,10040.5,10078.0,0.0,37.5
1,739300,10042.5,10.5,7.5,20.5,16.5,10041.0,10078.0,1.5,35.5
1,739900,10045.5,1.5,7.5,10.0,8.5,10041.0,10078.0,4.5,32.5
1,740100,10043.5,1.5,8.5,13.5,5.5,10041.0,10078.0,2.5,34.5
1,740800,10041.5,5.5,10.5,11.0,17.5,10041.0,10078.0,0.5,36.5
1,742000,10050.5,9.5,8.0,0.5,-4.5,10043.0,10078.0,7.5,27.5
1,743200,10046.5,3.5,12.5,8.5,-7.5,10040.0,10078.0,6.5,31.5
1,743400,10051.5,-2.0,10.5,5.5,-11.5,10039.0,10078.0,12.5,26.5
1,744100,10053.5,1.5,9.5,6.0,-12.5,10039.0,10078.0,14.5,24.5
1,747300,10055.5,3.5,15.5,-1.0,-23.5,10032.0,10078.0,23.5,22.5
1,747400,10054.5,6.5,18.5,7.5,-22.5,10032.0,10078.0,22.5,23.5
1,748400,10049.5,12.5,20.5,15.5,-20.5,10030.0,10078.0,19.5,28.5
1,750000,10053.5,12.5,4.5,15.5,-38.0,10019.0,10078.0,34.5,24.5
1,752000,10058.5,15.5,-7.5,15.5,-50.5,10006.0,10078.0,52.5,19.5
1,752200,10058.5,12.5,-11.5,15.5,-46.5,10006.0,10078.0,52.5,19.5
1,755200,10063.5,-7.5,-8.0,2.5,-56.5,10006.0,10078.0,57.5,14.5
1,755600,10067.5,-16.5,-8.5,-2.5,-65.5,10004.0,10078.0,63.5,10.5
1,755800,10066.5,-14.0,-10.5,-2.5,-58.5,10002.0,10078.0,64.5,11.5
1,757500,10071.5,-24.5,-6.5,-4.5,-61.5,10002.0,10078.0,69.5,6.5
1,757700,10070.5,-22.5,-6.5,-4.5,-60.5,10002.0,10078.0,68.5,7.5
1,758000,10068.5,-14.0,-6.5,-6.5,-59.5,10002.0,10078.0,66.5,9.5
1,758600,10071.5,-16.0,-10.5,-1.5,-57.5,10002.0,10078.0,69.5,6.5
1,763000,10054.5,7.5,21.5,10.0,-47.5,10001.0,10078.0,53.5,23.5
1,764000,10057.5,8.5,6.5,8.5,-66.5,9991.0,10078.0,66.5,20.5
1,764100,10059.5,5.5,2.0,7.5,-68.5,9991.0,10078.0,68.5,18.5
1,765200,10055.5,10.5,10.5,8.5,-56.5,9991.0,10078.0,64.5,22.5
1,768700,10062.5,6.5,5.5,-0.5,-55.5,9991.0,10078.0,71.5,15.5
1,769500,10063.5,1.5,2.5,-7.5,-53.5,9991.0,10078.0,72.5,14.5
1,769600,10066.5,-4.5,0.5,-10.5,-55.5,9991.0,10078.0,75.5,11.5
1,770400,10063.5,0.5,9.5,-12.5,-57.5,9991.0,10078.0,72.5,14.5
1,771000,10070.5,-8.5,5.5,-15.5,-68.5,9991.0,10078.0,79.5,7.5
1,771200,10073.5,-11.5,0.5,-14.5,-72.5,9991.0,10078.0,82.5,4.5
1,771600,10071.5,-6.5,-2.5,-21.0,-71.5,9991.0,10078.0,80.5,6.5
