mark,product,day,side,n,vol,mean_ret_500
Mark 38,HYDROGEL_PACK,2,BUY,165,658,11.532467532467532
Mark 22,VELVETFRUIT_EXTRACT,3,BUY,6,34,9.416666666666666
Mark 01,VEV_5200,3,BUY,11,34,7.409090909090909
Mark 49,VELVETFRUIT_EXTRACT,2,BUY,6,40,5.4
Mark 22,VELVETFRUIT_EXTRACT,2,BUY,9,51,4.555555555555555
Mark 38,VEV_4000,3,SELL,78,144,4.328947368421052
Mark 55,VELVETFRUIT_EXTRACT,1,BUY,186,1011,4.219444444444444
Mark 14,HYDROGEL_PACK,1,BUY,183,729,3.8488372093023258
Mark 14,VEV_4000,3,SELL,71,141,3.798507462686567
Mark 22,VELVETFRUIT_EXTRACT,2,SELL,37,241,3.772727272727273
Mark 38,HYDROGEL_PACK,2,SELL,146,586,3.539568345323741
Mark 14,HYDROGEL_PACK,1,SELL,187,738,3.1779661016949152
Mark 67,VELVETFRUIT_EXTRACT,1,BUY,58,519,3.0090909090909093
Mark 14,VELVETFRUIT_EXTRACT,2,SELL,118,627,3.0
Mark 14,VEV_4000,2,BUY,64,132,2.6440677966101696
Mark 38,VEV_4000,1,SELL,91,185,2.466292134831461
Mark 49,VELVETFRUIT_EXTRACT,3,SELL,34,329,1.9375
Mark 14,HYDROGEL_PACK,3,BUY,171,689,1.8364779874213837
Mark 14,VEV_5200,2,BUY,8,26,1.8125
Mark 38,VEV_4000,1,BUY,73,148,1.7205882352941178
Mark 01,VELVETFRUIT_EXTRACT,2,SELL,92,528,1.434065934065934
Mark 14,VEV_5200,1,BUY,6,21,1.3
Mark 14,VELVETFRUIT_EXTRACT,3,SELL,116,623,1.0495495495495495
Mark 01,VELVETFRUIT_EXTRACT,3,BUY,93,486,0.9764705882352941
Mark 22,VEV_5300,2,SELL,45,162,0.7926829268292683
Mark 01,VEV_5300,1,BUY,32,110,0.7096774193548387
Mark 14,VEV_5300,2,BUY,14,55,0.7083333333333334
Mark 38,VEV_4000,2,BUY,64,124,0.6666666666666666
Mark 55,VELVETFRUIT_EXTRACT,2,SELL,193,1099,0.6049723756906077
Mark 01,VEV_5300,3,BUY,69,222,0.5588235294117647
Mark 67,VELVETFRUIT_EXTRACT,3,BUY,46,424,0.4418604651162791
Mark 14,HYDROGEL_PACK,3,SELL,159,654,0.4271523178807947
Mark 14,VEV_5200,3,BUY,19,75,0.39473684210526316
Mark 01,VEV_5400,1,BUY,76,267,0.3904109589041096
Mark 01,VELVETFRUIT_EXTRACT,1,BUY,76,426,0.3472222222222222
Mark 22,VEV_5400,2,SELL,80,283,0.3037974683544304
Mark 22,VEV_5500,2,SELL,94,335,0.2722222222222222
Mark 14,VELVETFRUIT_EXTRACT,2,BUY,92,542,0.2558139534883721
Mark 55,VELVETFRUIT_EXTRACT,1,SELL,198,1098,0.1631578947368421
Mark 14,VEV_5300,1,BUY,6,19,0.08333333333333333
Mark 22,VEV_5400,3,SELL,115,390,0.07142857142857142
Mark 22,VEV_5500,3,SELL,120,413,0.0641025641025641
Mark 01,VEV_5500,1,BUY,89,310,0.05172413793103448
Mark 49,VELVETFRUIT_EXTRACT,1,SELL,34,342,0.030303030303030304
Mark 01,VEV_5400,3,BUY,109,368,0.0047169811320754715
Mark 01,VEV_6500,2,BUY,95,337,0.0
Mark 01,VEV_6000,2,BUY,95,337,0.0
Mark 01,VEV_6000,3,BUY,124,423,0.0
Mark 01,VEV_6500,1,BUY,98,345,0.0
Mark 22,VEV_6500,2,SELL,95,337,0.0
Mark 22,VEV_6500,3,SELL,124,423,0.0
Mark 01,VEV_6000,1,BUY,98,345,0.0
Mark 01,VEV_6500,3,BUY,124,423,0.0
Mark 22,VEV_6000,1,SELL,98,345,0.0
Mark 22,VEV_6000,2,SELL,95,337,0.0
Mark 22,VEV_6000,3,SELL,124,423,0.0
Mark 22,VEV_6500,1,SELL,98,345,0.0
Mark 22,VEV_5500,1,SELL,92,321,-0.005555555555555556
Mark 14,VELVETFRUIT_EXTRACT,1,BUY,114,630,-0.022727272727272728
Mark 01,VEV_5500,3,BUY,119,408,-0.06465517241379311
Mark 01,VELVETFRUIT_EXTRACT,3,SELL,71,389,-0.06716417910447761
Mark 67,VELVETFRUIT_EXTRACT,2,BUY,61,567,-0.13157894736842105
Mark 01,VEV_5500,2,BUY,91,324,-0.22413793103448276
Mark 22,VEV_5400,1,SELL,81,286,-0.25
Mark 22,VEV_5300,3,SELL,79,253,-0.2857142857142857
Mark 01,VEV_5400,2,BUY,78,276,-0.33766233766233766
Mark 38,HYDROGEL_PACK,3,BUY,161,662,-0.3431372549019608
Mark 14,VELVETFRUIT_EXTRACT,3,BUY,110,589,-0.45794392523364486
Mark 55,VELVETFRUIT_EXTRACT,3,BUY,194,1053,-0.5706521739130435
Mark 22,VEV_5300,1,SELL,39,130,-0.6578947368421053
Mark 14,VEV_4000,2,SELL,64,124,-0.6666666666666666
Mark 55,VELVETFRUIT_EXTRACT,3,SELL,209,1100,-0.7070707070707071
Mark 22,VELVETFRUIT_EXTRACT,3,SELL,24,182,-0.7380952380952381
Mark 14,VEV_5500,1,BUY,3,11,-1.3333333333333333
Mark 01,VEV_5300,2,BUY,31,107,-1.4137931034482758
Mark 14,VEV_5400,3,BUY,6,22,-1.4166666666666667
Mark 22,VEV_5200,1,SELL,7,22,-1.4166666666666667
Mark 38,HYDROGEL_PACK,3,SELL,175,705,-1.5766871165644172
Mark 14,VEV_4000,1,SELL,72,147,-1.6044776119402986
Mark 22,VELVETFRUIT_EXTRACT,1,BUY,10,61,-1.65
Mark 14,VEV_5500,2,BUY,3,11,-1.6666666666666667
Mark 14,VEV_5300,3,BUY,10,31,-1.7777777777777777
Mark 14,VEV_5400,1,BUY,5,19,-1.8
Mark 22,VEV_5200,2,SELL,8,26,-1.8125
Mark 01,VELVETFRUIT_EXTRACT,2,BUY,91,505,-2.0294117647058822
Mark 55,VELVETFRUIT_EXTRACT,2,BUY,218,1190,-2.0552884615384617
Mark 14,VEV_4000,1,BUY,91,185,-2.466292134831461
Mark 38,VEV_4000,2,SELL,64,132,-2.6440677966101696
Mark 01,VELVETFRUIT_EXTRACT,1,SELL,81,458,-2.6907894736842106
Mark 22,VEV_5200,3,SELL,31,111,-2.870967741935484
Mark 38,HYDROGEL_PACK,1,BUY,189,745,-3.0279329608938546
Mark 22,VELVETFRUIT_EXTRACT,1,SELL,40,274,-3.1184210526315788
Mark 14,HYDROGEL_PACK,2,BUY,142,571,-3.2037037037037037
Mark 38,HYDROGEL_PACK,1,SELL,186,740,-3.5
Mark 38,VEV_4000,3,BUY,72,143,-3.676470588235294
Mark 14,VEV_4000,3,BUY,77,141,-4.346666666666667
Mark 49,VELVETFRUIT_EXTRACT,2,SELL,37,400,-5.057142857142857
Mark 14,VELVETFRUIT_EXTRACT,1,SELL,97,513,-5.739583333333333
Mark 49,VELVETFRUIT_EXTRACT,3,BUY,5,37,-5.75
Mark 22,HYDROGEL_PACK,2,SELL,4,17,-8.333333333333334
Mark 22,HYDROGEL_PACK,3,BUY,4,16,-8.75
Mark 14,HYDROGEL_PACK,2,SELL,161,641,-11.596026490066226
Mark 49,VELVETFRUIT_EXTRACT,1,BUY,6,38,-14.833333333333334
Mark 22,HYDROGEL_PACK,2,BUY,4,15,-14.875
Mark 22,HYDROGEL_PACK,1,BUY,3,11,-16.5
