mark,product,trades,trades_buy,trades_sell,buy_share,vol_buy,vol_sell,avg_qty,ts_min,ts_max
Mark 01,VELVETFRUIT_EXTRACT,504,260,244,0.5158730158730159,1417,1375,5.5396825396825395,2700,988000
Mark 01,VEV_5200,11,11,0,1.0,34,0,3.090909090909091,128700,890900
Mark 01,VEV_5300,132,132,0,1.0,439,0,3.3257575757575757,14800,993800
Mark 01,VEV_5400,263,263,0,1.0,911,0,3.463878326996198,4500,997100
Mark 01,VEV_5500,299,299,0,1.0,1042,0,3.4849498327759196,4500,997100
Mark 01,VEV_6000,317,317,0,1.0,1105,0,3.4858044164037856,4500,997100
Mark 01,VEV_6500,317,317,0,1.0,1105,0,3.4858044164037856,4500,997100
Mark 14,HYDROGEL_PACK,1003,496,507,0.4945164506480558,1989,2033,4.009970089730808,4400,996500
Mark 14,VELVETFRUIT_EXTRACT,647,316,331,0.4884080370942813,1761,1763,5.446676970633694,2900,997500
Mark 14,VEV_4000,439,232,207,0.5284738041002278,458,412,1.9817767653758542,1300,998800
Mark 14,VEV_5200,33,33,0,1.0,122,0,3.696969696969697,98900,988100
Mark 14,VEV_5300,30,30,0,1.0,105,0,3.5,79300,983300
Mark 14,VEV_5400,13,13,0,1.0,48,0,3.6923076923076925,33600,943900
Mark 14,VEV_5500,7,7,0,1.0,27,0,3.857142857142857,53400,848900
Mark 22,HYDROGEL_PACK,19,11,8,0.5789473684210527,42,32,3.8947368421052633,5100,993200
Mark 22,VELVETFRUIT_EXTRACT,126,25,101,0.1984126984126984,146,697,6.690476190476191,9900,992900
Mark 22,VEV_4000,3,1,2,0.3333333333333333,3,3,2.0,155400,437100
Mark 22,VEV_4500,3,1,2,0.3333333333333333,3,3,2.0,155400,437100
Mark 22,VEV_5000,3,1,2,0.3333333333333333,3,3,2.0,155400,437100
Mark 22,VEV_5100,3,1,2,0.3333333333333333,3,3,2.0,155400,437100
Mark 22,VEV_5200,47,1,46,0.02127659574468085,3,159,3.4468085106382977,98900,988100
Mark 22,VEV_5300,164,1,163,0.006097560975609756,3,545,3.341463414634146,14800,993800
Mark 22,VEV_5400,276,0,276,0.0,0,959,3.4746376811594204,4500,997100
Mark 22,VEV_5500,306,0,306,0.0,0,1069,3.4934640522875817,4500,997100
Mark 22,VEV_6000,317,0,317,0.0,0,1105,3.4858044164037856,4500,997100
Mark 22,VEV_6500,317,0,317,0.0,0,1105,3.4858044164037856,4500,997100
Mark 38,HYDROGEL_PACK,1022,515,507,0.5039138943248532,2065,2031,4.007827788649706,4400,996500
Mark 38,VEV_4000,442,209,233,0.47285067873303166,415,461,1.9819004524886878,1300,998800
Mark 38,VEV_4500,3,2,1,0.6666666666666666,3,3,2.0,155400,437100
Mark 38,VEV_5000,3,2,1,0.6666666666666666,3,3,2.0,155400,437100
Mark 38,VEV_5100,3,2,1,0.6666666666666666,3,3,2.0,155400,437100
Mark 38,VEV_5200,3,2,1,0.6666666666666666,3,3,2.0,155400,437100
Mark 38,VEV_5300,2,1,1,0.5,1,3,2.0,370100,437100
Mark 49,VELVETFRUIT_EXTRACT,122,17,105,0.13934426229508196,115,1071,9.721311475409836,900,993500
Mark 55,VELVETFRUIT_EXTRACT,1198,598,600,0.4991652754590985,3254,3297,5.468280467445743,2700,997500
Mark 67,VELVETFRUIT_EXTRACT,165,165,0,1.0,1510,0,9.151515151515152,900,993500
