mark,product,n,vol,mean_ret_h100,t_h100,buy_share,avg_qty
Mark 14,HYDROGEL_PACK,999,4022,0.6916916916916916,1.2011020147602955,0.4945164506480558,4.009970089730808
Mark 38,HYDROGEL_PACK,1017,4096,-0.5683382497541789,-0.9934118591221549,0.5039138943248532,4.007827788649706
Mark 22,HYDROGEL_PACK,18,74,-6.277777777777778,-1.3422592736394408,0.5789473684210527,3.8947368421052633
Mark 67,VELVETFRUIT_EXTRACT,164,1510,1.478658536585366,2.0114056473363218,1.0,9.151515151515152
Mark 55,VELVETFRUIT_EXTRACT,1190,6551,0.7247899159663865,2.751785281597716,0.4991652754590985,5.468280467445743
Mark 22,VELVETFRUIT_EXTRACT,125,843,0.132,0.15266643260906737,0.1984126984126984,6.690476190476191
Mark 01,VELVETFRUIT_EXTRACT,504,2792,-0.24305555555555555,-0.5844333509435806,0.5158730158730159,5.5396825396825395
Mark 14,VELVETFRUIT_EXTRACT,639,3524,-1.177621283255086,-3.3816183558339015,0.4884080370942813,5.446676970633694
Mark 49,VELVETFRUIT_EXTRACT,120,1186,-2.0541666666666667,-2.572752554203644,0.13934426229508196,9.721311475409836
Mark 14,VEV_4000,434,870,0.1336405529953917,0.31270815637061417,0.5284738041002278,1.9817767653758542
Mark 38,VEV_4000,437,876,-0.08924485125858124,-0.20788973452009304,0.47285067873303166,1.9819004524886878
Mark 01,VEV_5200,11,34,2.772727272727273,1.6188859319906685,1.0,3.090909090909091
Mark 14,VEV_5200,33,122,-0.09090909090909091,-0.08208546896238408,1.0,3.696969696969697
Mark 22,VEV_5200,47,162,-0.648936170212766,-0.687196761529679,0.02127659574468085,3.4468085106382977
Mark 14,VEV_5300,30,105,0.65,1.1549231186364701,1.0,3.5
Mark 01,VEV_5300,131,439,0.026717557251908396,0.09438270074145173,1.0,3.3257575757575757
Mark 22,VEV_5300,163,548,-0.15644171779141106,-0.6088673853529555,0.006097560975609756,3.341463414634146
Mark 22,VEV_5400,273,959,0.038461538461538464,0.4213093326287699,0.0,3.4746376811594204
Mark 01,VEV_5400,260,911,0.0038461538461538464,0.042481044090478634,1.0,3.463878326996198
Mark 14,VEV_5400,13,48,-0.8846153846153846,-1.4624684667275758,1.0,3.6923076923076925
Mark 22,VEV_5500,304,1069,0.03618421052631579,0.8817968548358787,0.0,3.4934640522875817
Mark 01,VEV_5500,297,1042,-0.02356902356902357,-0.5699484745307889,1.0,3.4849498327759196
Mark 14,VEV_5500,7,27,-0.5714285714285714,-2.2478059477960657,1.0,3.857142857142857
Mark 01,VEV_6000,314,1105,0.0,,1.0,3.4858044164037856
Mark 22,VEV_6000,314,1105,0.0,,0.0,3.4858044164037856
Mark 01,VEV_6500,314,1105,0.0,,1.0,3.4858044164037856
Mark 22,VEV_6500,314,1105,0.0,,0.0,3.4858044164037856
