timestamp,buyer,seller,symbol,currency,price,quantity,day,mid_at_trade,mid_next,mid_fwd_10,mid_fwd_100,mid_fwd_500
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,18.5,18.5,18.5,15.0,16.0
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,8.5,8.5,8.5,6.5,7.5
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0.5,0.5,0.5,0.5,0.5
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,0.5,0.5,0.5,0.5,0.5
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,9956.0,9956.0,9949.0,9957.0,9948.0
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,1253.5,1255.5,1252.5,1233.5,1245.5
6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5255.0,3,1,5252.5,5252.5,5248.5,5231.5,5245.5
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,9947.0,9946.0,9946.0,9956.0,9950.0
9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,8,1,5243.5,5244.0,5239.5,5228.5,5247.0
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,17.0,16.5,16.0,13.5,16.5
9600,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,7.5,7.5,7.5,6.5,7.5
9600,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0.5,0.5,0.5,0.5
9600,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0.5,0.5,0.5,0.5
10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5240.0,12,1,5239.5,5241.5,5243.5,5228.5,5248.5
11800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,7.5,7.5,6.5,6.5,7.5
11800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0.5,0.5,0.5,0.5
11800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0.5,0.5,0.5,0.5
14300,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5238.0,6,1,5235.5,5233.5,5233.5,5234.5,5242.5
14800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,6,1,5234.5,5234.5,5232.0,5233.5,5242.5
14800,Mark 01,Mark 22,VEV_5300,XIRECS,42.0,4,1,43.0,43.0,42.0,43.0,45.0
14800,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,4,1,15.0,14.5,14.5,14.5,16.0
14800,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,4,1,6.5,6.5,6.5,6.5,7.0
14800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0.5,0.5,0.5,0.5
14800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0.5,0.5,0.5,0.5
15000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9966.0,4,1,9958.5,9957.0,9958.0,9952.0,9938.5
16700,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,2,1,1226.0,1230.5,1233.5,1230.5,1242.5
16700,Mark 01,Mark 22,VEV_5300,XIRECS,41.0,2,1,42.0,42.0,43.0,41.0,45.0
16700,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,2,1,14.5,14.5,14.5,14.0,16.0
16700,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,2,1,6.5,6.5,6.5,6.5,7.5
16700,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0.5,0.5,0.5,0.5,0.5
16700,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,0.5,0.5,0.5,0.5,0.5
17300,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,1,1,1231.5,1231.0,1230.5,1235.5,1246.5
17400,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5230.0,8,1,5229.0,5232.5,5229.5,5236.5,5248.5
17900,Mark 38,Mark 14,VEV_4000,XIRECS,1243.0,1,1,1233.0,1232.5,1228.5,1237.5,1247.5
19300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5226.0,5,1,5228.5,5228.5,5226.5,5239.5,5245.5
20200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5224.0,5,1,5226.5,5226.5,5227.0,5237.5,5241.5
22800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9946.0,6,1,9954.0,9954.0,9953.0,9956.0,9965.0
25700,Mark 38,Mark 14,VEV_4000,XIRECS,1241.0,3,1,1231.0,1232.0,1230.5,1234.0,1237.5
29300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5237.0,4,1,5239.5,5238.5,5237.0,5234.5,5239.5
30800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9940.0,2,1,9948.0,9946.0,9948.0,9945.0,9985.0
31400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9953.0,3,1,9945.0,9945.0,9950.0,9944.0,9973.0
31700,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5237.0,4,1,5234.5,5234.5,5238.0,5228.0,5237.0
32000,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9938.0,5,1,9946.0,9947.0,9955.0,9951.0,9970.0
32600,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5240.0,5,1,5237.5,5238.0,5236.5,5230.5,5237.5
32800,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5238.0,7,1,5237.0,5239.0,5235.5,5231.5,5235.5
33600,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9948.0,6,1,9956.0,9955.0,9950.0,9962.5,9975.0
36200,Mark 38,Mark 14,VEV_4000,XIRECS,1244.0,3,1,1233.5,1232.5,1233.5,1248.5,1237.5
36500,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,7,1,5233.5,5231.0,5231.5,5246.5,5236.5
37400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9936.0,4,1,9944.0,9946.0,9945.0,9969.0,9963.5
38500,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,5,1,6.5,6.5,6.5,7.5,7.0
38500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,5,1,0.5,0.5,0.5,0.5,0.5
38500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,5,1,0.5,0.5,0.5,0.5,0.5
38700,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5228.0,8,1,5231.0,5230.5,5235.0,5245.5,5242.0
39400,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5234.0,5,1,5232.5,5233.5,5233.5,5243.5,5242.5
39400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5233.0,9,1,5232.5,5233.5,5233.5,5243.5,5242.5
39800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,4,1,5235.0,5234.5,5231.5,5246.5,5243.5
40400,Mark 01,Mark 22,VEV_5300,XIRECS,41.0,4,1,42.0,42.0,40.0,47.0,46.0
40400,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,4,1,14.5,14.5,13.5,16.5,16.0
40400,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,4,1,6.5,6.5,5.5,7.5,7.0
40400,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0.5,0.5,0.5,0.5
40400,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0.5,0.5,0.5,0.5
40900,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9951.0,5,1,9943.0,9944.0,9948.0,9979.0,9957.0
41300,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9953.0,5,1,9945.0,9944.0,9959.0,9976.0,9958.0
43400,Mark 01,Mark 22,VEV_5400,XIRECS,13.0,5,1,14.0,13.5,15.5,15.5,16.0
43400,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,5,1,6.5,6.0,6.5,7.5,7.0
43400,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,5,1,0.5,0.5,0.5,0.5,0.5
43400,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,5,1,0.5,0.5,0.5,0.5,0.5
43600,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5229.0,4,1,5231.5,5232.5,5239.5,5243.5,5243.5
43900,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9952.0,6,1,9960.0,9964.0,9969.0,9966.0,9968.0
45200,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9961.0,2,1,9969.0,9964.0,9971.0,9946.0,9962.0
45400,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5241.0,8,1,5240.0,5243.5,5244.0,5247.5,5244.5
47700,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5243.0,4,1,5244.0,5246.5,5245.5,5247.5,5243.0
48300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9960.0,3,1,9967.5,9966.0,9975.0,9954.0,9954.0
48900,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5241.0,6,1,5243.5,5244.0,5247.5,5245.5,5246.5
49800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5244.0,3,1,5246.5,5247.5,5245.0,5247.0,5247.5
50200,Mark 14,Mark 38,VEV_4000,XIRECS,1236.0,2,1,1246.5,1246.5,1245.5,1247.5,1248.5
