pattern,window_ms,n,mean_fwd,t_stat
Mark 22S -> Mark 55S,10000,181,2.066,3.17
Mark 22S -> Mark 55S,100000,543,1.159,3.08
Mark 01S -> Mark 01B,1000,20,-4.45,-3.06
Mark 49S -> Mark 55S,100000,574,1.131,3.05
Mark 49S -> Mark 14B,100000,302,-1.411,-2.87
Mark 22S -> Mark 14B,100000,285,-1.416,-2.86
Mark 49B -> Mark 55S,100000,273,1.452,2.85
Mark 14S -> Mark 55S,100000,583,1.023,2.77
Mark 22B -> Mark 49S,100000,57,-3.0,-2.67
Mark 67B -> Mark 55S,10000,263,1.411,2.62
Mark 55B -> Mark 14S,10000,289,-1.355,-2.61
Mark 22S -> Mark 49B,100000,16,-3.406,-2.56
Mark 14S -> Mark 14B,100000,307,-1.259,-2.55
Mark 22S -> Mark 14S,100000,307,-1.311,-2.55
Mark 01B -> Mark 14B,100000,315,-1.217,-2.51
Mark 01S -> Mark 14B,100000,315,-1.217,-2.51
Mark 14B -> Mark 55S,100000,597,0.917,2.51
Mark 55B -> Mark 14B,100000,315,-1.217,-2.51
Mark 55S -> Mark 14B,100000,315,-1.217,-2.51
Mark 67B -> Mark 14B,100000,315,-1.217,-2.51
Mark 55S -> Mark 14B,10000,271,-1.319,-2.5
Mark 01B -> Mark 49B,100000,17,-3.147,-2.46
Mark 01B -> Mark 55S,100000,598,0.897,2.46
Mark 01S -> Mark 49B,100000,17,-3.147,-2.46
Mark 01S -> Mark 55S,100000,599,0.897,2.46
Mark 14B -> Mark 49B,100000,17,-3.147,-2.46
Mark 14S -> Mark 49B,100000,17,-3.147,-2.46
Mark 55B -> Mark 49B,100000,17,-3.147,-2.46
Mark 55B -> Mark 55S,100000,599,0.897,2.46
Mark 55S -> Mark 49B,100000,17,-3.147,-2.46
Mark 67B -> Mark 49B,100000,17,-3.147,-2.46
Mark 67B -> Mark 55S,100000,599,0.897,2.46
Mark 67B -> Mark 14B,10000,135,-1.789,-2.45
Mark 01B -> Mark 49S,100000,103,-2.17,-2.45
Mark 14B -> Mark 49S,100000,103,-2.17,-2.45
Mark 55S -> Mark 49S,100000,103,-2.17,-2.45
Mark 67B -> Mark 49S,100000,103,-2.17,-2.45
Mark 49B -> Mark 55S,10000,45,2.833,2.43
Mark 01S -> Mark 55S,1000,50,2.46,2.38
Mark 49B -> Mark 01B,100000,125,-1.848,-2.38
Mark 14S -> Mark 67B,10000,103,2.015,2.35
Mark 14B -> Mark 55S,10000,377,1.058,2.32
Mark 22S -> Mark 01B,10000,80,-2.194,-2.28
Mark 01B -> Mark 14S,100000,329,-1.122,-2.28
Mark 01S -> Mark 14S,100000,329,-1.122,-2.28
Mark 14B -> Mark 14S,100000,329,-1.122,-2.28
Mark 55B -> Mark 14S,100000,329,-1.122,-2.28
Mark 55S -> Mark 14S,100000,329,-1.122,-2.28
Mark 67B -> Mark 14S,100000,329,-1.122,-2.28
Mark 49B -> Mark 67B,100000,68,2.522,2.24
Mark 14S -> Mark 49S,100000,101,-1.995,-2.23
Mark 01B -> Mark 67B,100000,164,1.619,2.21
Mark 55S -> Mark 67B,100000,164,1.619,2.21
Mark 22S -> Mark 14B,10000,92,-2.027,-2.19
Mark 22B -> Mark 14S,100000,172,-1.549,-2.18
Mark 14B -> Mark 49S,10000,58,-2.31,-2.17
Mark 55S -> Mark 01B,1000,39,-2.756,-2.16
Mark 14B -> Mark 67B,100000,163,1.583,2.15
Mark 49S -> Mark 49B,100000,16,-2.844,-2.15
Mark 49B -> Mark 01B,10000,21,-3.595,-2.11
Mark 01S -> Mark 49S,100000,105,-1.881,-2.11
Mark 01S -> Mark 67B,100000,165,1.542,2.11
Mark 55B -> Mark 49S,100000,105,-1.881,-2.11
Mark 55B -> Mark 67B,100000,165,1.542,2.11
Mark 22B -> Mark 67B,100000,92,2.065,2.09
Mark 55S -> Mark 14S,10000,273,-1.148,-2.08
Mark 22B -> Mark 55B,100000,321,1.079,2.07
Mark 55B -> Mark 55S,1000,109,1.803,2.06
Mark 14S -> Mark 67B,100000,160,1.531,2.06
Mark 14B -> Mark 14S,10000,198,-1.323,-2.05
Mark 55S -> Mark 49S,10000,84,-1.863,-2.03
Mark 14S -> Mark 49S,10000,66,-2.121,-2.02
Mark 55S -> Mark 49B,10000,15,-2.767,-2.02
Mark 22B -> Mark 14B,10000,33,-3.394,-1.98
Mark 22S -> Mark 49S,10000,31,-3.774,-1.97
Mark 22S -> Mark 49S,100000,91,-1.797,-1.97
Mark 22S -> Mark 67B,100000,150,1.49,1.97
Mark 22S -> Mark 67B,10000,50,2.8,1.96
Mark 22S -> Mark 55B,100000,553,0.77,1.96
Mark 01B -> Mark 49S,10000,53,-2.415,-1.94
Mark 22B -> Mark 55S,10000,59,2.466,1.93
Mark 49B -> Mark 49S,100000,36,-2.958,-1.92
Mark 55B -> Mark 67B,10000,143,1.472,1.9
Mark 01B -> Mark 55S,1000,46,2.163,1.88
Mark 49S -> Mark 14S,100000,317,-0.94,-1.87
Mark 01S -> Mark 55S,10000,309,0.96,1.86
Mark 67B -> Mark 49S,10000,43,-3.0,-1.85
Mark 14S -> Mark 14B,1000,27,-3.148,-1.8
Mark 01S -> Mark 14S,10000,185,-1.149,-1.78
Mark 01S -> Mark 55B,10000,341,0.859,1.78
Mark 01B -> Mark 55S,10000,346,0.838,1.76
Mark 01S -> Mark 01B,10000,135,-1.3,-1.72
Mark 14S -> Mark 55B,100000,590,0.646,1.71
Mark 49S -> Mark 67B,100000,160,1.244,1.68
Mark 55B -> Mark 01B,1000,51,-2.284,-1.67
Mark 55B -> Mark 14B,10000,262,-0.872,-1.66
Mark 01B -> Mark 22B,10000,18,3.444,1.64
Mark 55S -> Mark 01S,1000,44,1.898,1.63
Mark 55B -> Mark 55S,10000,497,0.653,1.63
Mark 01B -> Mark 55B,100000,593,0.61,1.62
Mark 14B -> Mark 55B,100000,593,0.61,1.62
Mark 55S -> Mark 55B,100000,593,0.61,1.62
Mark 67B -> Mark 55B,100000,594,0.608,1.62
Mark 49S -> Mark 01B,100000,250,-0.916,-1.59
Mark 55S -> Mark 14B,1000,58,-1.724,-1.56
Mark 01S -> Mark 55B,100000,595,0.582,1.54
Mark 22B -> Mark 14S,10000,21,3.048,1.53
Mark 14B -> Mark 55S,1000,51,1.922,1.52
Mark 55S -> Mark 67B,10000,134,1.142,1.52
Mark 49B -> Mark 14B,100000,137,-1.073,-1.52
Mark 49S -> Mark 14S,10000,100,-1.345,-1.51
Mark 55B -> Mark 14S,1000,74,-1.5,-1.5
Mark 55B -> Mark 49S,10000,88,-1.426,-1.47
Mark 01S -> Mark 14B,10000,163,-1.018,-1.44
Mark 01S -> Mark 67B,10000,97,1.412,1.42
Mark 14S -> Mark 01B,100000,253,-0.822,-1.42
Mark 49B -> Mark 55B,100000,250,0.816,1.42
Mark 22S -> Mark 01B,100000,236,-0.843,-1.4
Mark 55B -> Mark 22B,10000,22,3.045,1.39
Mark 55S -> Mark 01B,10000,228,-0.842,-1.38
Mark 14S -> Mark 55B,10000,400,0.618,1.36
Mark 55B -> Mark 14B,1000,54,-1.565,-1.34
Mark 14B -> Mark 01S,1000,26,2.038,1.32
Mark 49S -> Mark 55B,10000,186,0.825,1.28
Mark 14S -> Mark 67B,1000,18,2.722,1.26
Mark 67B -> Mark 01B,10000,117,-1.034,-1.24
Mark 49B -> Mark 14S,100000,138,-0.957,-1.23
Mark 55S -> Mark 55B,10000,507,0.497,1.22
Mark 22S -> Mark 55S,1000,19,2.921,1.21
Mark 49S -> Mark 55B,100000,572,0.463,1.21
Mark 22B -> Mark 55B,10000,44,-1.602,-1.19
Mark 49S -> Mark 67B,10000,46,1.565,1.18
Mark 55S -> Mark 22B,10000,23,2.239,1.18
Mark 01B -> Mark 14B,10000,174,-0.75,-1.12
Mark 01S -> Mark 01B,100000,260,-0.635,-1.11
Mark 14B -> Mark 01B,100000,259,-0.633,-1.11
Mark 55B -> Mark 01B,100000,260,-0.635,-1.11
Mark 55S -> Mark 01B,100000,259,-0.633,-1.11
Mark 67B -> Mark 01B,100000,260,-0.635,-1.11
Mark 01B -> Mark 22B,100000,25,2.2,1.1
Mark 01S -> Mark 22B,100000,25,2.2,1.1
Mark 14B -> Mark 22B,100000,25,2.2,1.1
Mark 55B -> Mark 22B,100000,25,2.2,1.1
Mark 55S -> Mark 22B,100000,25,2.2,1.1
Mark 67B -> Mark 22B,100000,25,2.2,1.1
Mark 01B -> Mark 67B,10000,82,1.11,1.08
Mark 01S -> Mark 49S,10000,53,-1.368,-1.08
Mark 14S -> Mark 55S,1000,58,1.405,1.07
Mark 14B -> Mark 55B,10000,371,0.503,1.06
Mark 49B -> Mark 01S,100000,103,-0.917,-1.05
Mark 01B -> Mark 14S,10000,187,-0.666,-1.02
Mark 49S -> Mark 22B,100000,23,2.174,1.0
Mark 01B -> Mark 01S,1000,18,1.694,0.96
Mark 49B -> Mark 14B,10000,22,-1.568,-0.94
Mark 67B -> Mark 55S,1000,27,1.796,0.93
Mark 49S -> Mark 22S,10000,34,-1.029,-0.93
Mark 55B -> Mark 01B,10000,215,-0.57,-0.91
Mark 01S -> Mark 22S,10000,65,-1.069,-0.9
Mark 14S -> Mark 55B,1000,81,0.864,0.88
Mark 14B -> Mark 01S,10000,156,0.635,0.88
Mark 22B -> Mark 55S,100000,333,0.425,0.87
Mark 01S -> Mark 14S,1000,26,-1.346,-0.86
Mark 49B -> Mark 22S,100000,46,-1.185,-0.86
Mark 01B -> Mark 55B,10000,335,0.418,0.85
Mark 67B -> Mark 14S,10000,146,-0.647,-0.85
Mark 22B -> Mark 14B,100000,166,-0.551,-0.85
Mark 67B -> Mark 55B,1000,25,1.32,0.8
Mark 14S -> Mark 55S,10000,381,0.362,0.8
Mark 01S -> Mark 14B,1000,27,-1.13,-0.78
Mark 55B -> Mark 22S,10000,90,-0.767,-0.77
Mark 14B -> Mark 01B,10000,155,-0.565,-0.76
Mark 14B -> Mark 22S,10000,66,0.818,0.75
Mark 14B -> Mark 22B,10000,16,1.781,0.74
Mark 14B -> Mark 67B,10000,93,0.656,0.74
Mark 67B -> Mark 55B,10000,258,0.409,0.7
Mark 22B -> Mark 01B,10000,26,-1.288,-0.69
Mark 67B -> Mark 22S,10000,50,-0.74,-0.67
Mark 14S -> Mark 22B,100000,23,1.348,0.65
Mark 14B -> Mark 14S,1000,24,-0.979,-0.64
Mark 55B -> Mark 67B,1000,34,-1.088,-0.62
Mark 22B -> Mark 01S,100000,134,-0.474,-0.6
Mark 14S -> Mark 22S,10000,61,-0.697,-0.58
Mark 14S -> Mark 14B,10000,195,-0.338,-0.57
Mark 01B -> Mark 55B,1000,44,-0.761,-0.56
Mark 22S -> Mark 14S,10000,94,0.537,0.56
Mark 01B -> Mark 22S,10000,54,0.685,0.52
Mark 14S -> Mark 01B,10000,172,-0.358,-0.5
Mark 55S -> Mark 55B,1000,97,-0.428,-0.49
Mark 01B -> Mark 22S,100000,101,-0.455,-0.49
Mark 01S -> Mark 22S,100000,101,-0.455,-0.49
Mark 55B -> Mark 22S,100000,101,-0.455,-0.49
Mark 55S -> Mark 22S,100000,101,-0.455,-0.49
Mark 67B -> Mark 22S,100000,101,-0.455,-0.49
Mark 01B -> Mark 14B,1000,25,-0.78,-0.48
Mark 22S -> Mark 55B,10000,170,-0.368,-0.48
Mark 55S -> Mark 01S,10000,213,0.298,0.48
Mark 22B -> Mark 01B,100000,152,-0.362,-0.48
Mark 49S -> Mark 14B,10000,102,-0.377,-0.47
Mark 01B -> Mark 67B,1000,15,-1.2,-0.46
Mark 55B -> Mark 22S,1000,16,1.156,0.44
Mark 14B -> Mark 22S,100000,100,-0.385,-0.41
Mark 49S -> Mark 55B,1000,17,0.676,0.4
Mark 49B -> Mark 55B,10000,25,-0.68,-0.39
Mark 14S -> Mark 22S,100000,98,-0.372,-0.39
Mark 01S -> Mark 55B,1000,46,0.5,0.38
Mark 14S -> Mark 22B,10000,16,0.906,0.38
Mark 01B -> Mark 01S,10000,138,-0.257,-0.34
Mark 55S -> Mark 14S,1000,48,-0.417,-0.32
Mark 22B -> Mark 01S,10000,21,0.548,0.31
Mark 49S -> Mark 01B,10000,68,0.324,0.31
Mark 22S -> Mark 22B,100000,23,0.565,0.31
Mark 55S -> Mark 49S,1000,20,-0.6,-0.3
Mark 14S -> Mark 01S,10000,163,0.206,0.29
Mark 55B -> Mark 49S,1000,21,0.619,0.28
Mark 55S -> Mark 67B,1000,28,-0.536,-0.28
Mark 67B -> Mark 01S,10000,103,-0.233,-0.25
Mark 67B -> Mark 14S,1000,15,-0.5,-0.21
Mark 49S -> Mark 01S,100000,234,0.128,0.21
Mark 55S -> Mark 22S,1000,18,-0.472,-0.18
