# Per-product AC(1) statistics for r5_v3 STRATEGY_CONFIG
# Computed from R5 days 2/3/4 mid-price returns
# rev_coeff = -clip(mean(|AC1|), 0.05, 0.30) if mean(AC1) < -0.02

                      product    ac1_d2    ac1_d3    ac1_d4  avg_signed  avg_abs  rev_coeff
                ROBOT_IRONING -0.155578 -0.080176 -0.114471   -0.116742 0.116742  -0.116742
  OXYGEN_SHAKE_EVENING_BREATH -0.163005 -0.094863 -0.077472   -0.111780 0.111780  -0.111780
                 ROBOT_DISHES  0.000354 -0.003778 -0.289367   -0.097597 0.097833  -0.097833
       OXYGEN_SHAKE_CHOCOLATE -0.118819 -0.007800 -0.101322   -0.075980 0.075980  -0.075980
          SNACKPACK_CHOCOLATE -0.024128 -0.036489 -0.031919   -0.030846 0.030846  -0.050000
            SNACKPACK_VANILLA -0.022657 -0.027172 -0.031077   -0.026969 0.026969  -0.050000
          SNACKPACK_PISTACHIO -0.033885 -0.022446 -0.018930   -0.025087 0.025087  -0.050000
             MICROCHIP_SQUARE -0.019801 -0.012023 -0.034603   -0.022143 0.022143  -0.050000
                   PEBBLES_XS -0.007693 -0.023581 -0.020270   -0.017181 0.017181        NaN
          SNACKPACK_RASPBERRY -0.006923 -0.019969 -0.024241   -0.017044 0.017044        NaN
    GALAXY_SOUNDS_BLACK_HOLES -0.017690 -0.005683 -0.026791   -0.016721 0.016721        NaN
         SNACKPACK_STRAWBERRY -0.010596 -0.017773 -0.013026   -0.013798 0.013798        NaN
                ROBOT_MOPPING -0.018489 -0.014466 -0.003705   -0.012220 0.012220        NaN
   GALAXY_SOUNDS_SOLAR_FLAMES -0.024049 -0.002952 -0.009036   -0.012013 0.012013        NaN
    GALAXY_SOUNDS_DARK_MATTER  0.002221 -0.023762 -0.012864   -0.011468 0.012949        NaN
                    PANEL_2X2 -0.013273 -0.018505  0.002473   -0.009768 0.011417        NaN
         TRANSLATOR_VOID_BLUE -0.013923 -0.008940 -0.004642   -0.009168 0.009168        NaN
              ROBOT_VACUUMING -0.007701 -0.012669 -0.003751   -0.008040 0.008040        NaN
           MICROCHIP_TRIANGLE -0.000273 -0.007093 -0.015906   -0.007757 0.007757        NaN
    GALAXY_SOUNDS_SOLAR_WINDS -0.011713  0.001796 -0.011917   -0.007278 0.008475        NaN
               MICROCHIP_OVAL -0.000827 -0.015100 -0.005831   -0.007253 0.007253        NaN
  TRANSLATOR_ECLIPSE_CHARCOAL -0.003932  0.000847 -0.017979   -0.007021 0.007586        NaN
       TRANSLATOR_ASTRO_BLACK -0.000916 -0.016365 -0.002838   -0.006706 0.006706        NaN
              SLEEP_POD_SUEDE -0.002576 -0.012528 -0.004705   -0.006603 0.006603        NaN
                    PANEL_4X4  0.000149 -0.018966  0.000234   -0.006194 0.006450        NaN
  OXYGEN_SHAKE_MORNING_BREATH  0.002294 -0.009790 -0.008345   -0.005281 0.006810        NaN
             MICROCHIP_CIRCLE -0.008534 -0.008559  0.001358   -0.005245 0.006150        NaN
                    PEBBLES_M  0.000414 -0.009763 -0.003592   -0.004314 0.004590        NaN
                 UV_VISOR_RED -0.001351 -0.014746  0.004524   -0.003858 0.006874        NaN
     TRANSLATOR_GRAPHITE_MIST -0.003115  0.009660 -0.017694   -0.003716 0.010156        NaN
             UV_VISOR_MAGENTA -0.007108  0.000441 -0.003010   -0.003226 0.003520        NaN
GALAXY_SOUNDS_PLANETARY_RINGS -0.004418 -0.003130 -0.002082   -0.003210 0.003210        NaN
          OXYGEN_SHAKE_GARLIC  0.005915 -0.014196 -0.001147   -0.003143 0.007086        NaN
            OXYGEN_SHAKE_MINT  0.011163 -0.010902 -0.009673   -0.003138 0.010580        NaN
               UV_VISOR_AMBER -0.005650 -0.000886 -0.002841   -0.003126 0.003126        NaN
          MICROCHIP_RECTANGLE -0.003221 -0.002270 -0.002334   -0.002609 0.002609        NaN
             SLEEP_POD_COTTON  0.009572 -0.015853 -0.000965   -0.002415 0.008796        NaN
                    PANEL_1X2  0.000404 -0.007056 -0.000267   -0.002306 0.002576        NaN
                    PANEL_2X4 -0.024376  0.011447  0.007783   -0.001715 0.014535        NaN
                    PANEL_1X4 -0.004132  0.010049 -0.010340   -0.001475 0.008174        NaN
          SLEEP_POD_POLYESTER  0.005602 -0.008316 -0.001464   -0.001393 0.005127        NaN
              SLEEP_POD_NYLON -0.003429  0.017762 -0.012235    0.000699 0.011142        NaN
              UV_VISOR_ORANGE -0.003568  0.009161 -0.001763    0.001277 0.004830        NaN
              UV_VISOR_YELLOW  0.015794 -0.009786  0.002991    0.003000 0.009524        NaN
          SLEEP_POD_LAMB_WOOL -0.007651  0.002106  0.016770    0.003742 0.008842        NaN
                ROBOT_LAUNDRY  0.002937  0.003899  0.011252    0.006029 0.006029        NaN
                    PEBBLES_L  0.006331  0.004181  0.011284    0.007265 0.007265        NaN
        TRANSLATOR_SPACE_GRAY  0.019520 -0.008905  0.011556    0.007390 0.013327        NaN
                    PEBBLES_S  0.014285 -0.003290  0.013919    0.008305 0.010498        NaN
                   PEBBLES_XL  0.001479  0.007717  0.018136    0.009111 0.009111        NaN
